Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Суетская														
														
Итоги голосования 														
														
		Сумма	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
1	"Число избирателей, внесенных в список"	4647	603	454	1849	196	1098	190	257					
2	Число полученных избирательных бюллетеней	4705	600	460	1880	190	1110	205	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3310	461	359	1242	171	760	146	171					
5	"Число избирательных бюллетеней, выданных вне помещения"	253	36	16	97	5	25	15	59					
6	Число погашенных избирательных бюллетеней	1142	103	85	541	14	325	44	30					
7	Число избирательных бюллетеней в переносных ящиках	253	36	16	97	5	25	15	59					
8	Число бюллетеней в стационарных ящиках для голосования	3310	461	359	1242	171	760	146	171					
9	Число недействительных избирательных бюллетеней	41	3	6	17	0	6	5	4					
10	Число действительных избирательных бюллетеней	3522	494	369	1322	176	779	156	226					
11	Число полученных открепительных  удостоверений	95	15	15	17	10	20	10	8					
12	Число выданных открепительных удостоверений	14	1	2	6	0	4	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	0	2	2	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	81	14	13	11	10	16	9	8					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	4	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	112	9	9	55	5	26	3	5					
		3.14%	1.81%	2.40%	4.11%	2.84%	3.31%	1.86%	2.17%					
19	. Малышкин Олег Александрович	126	18	11	46	7	27	7	10					
		3.54%	3.62%	2.93%	3.44%	3.98%	3.44%	4.35%	4.35%					
20	. Миронов Сергей Михайлович	18	1	0	11	1	3	1	1					
		0.51%	0.20%	0.00%	0.82%	0.57%	0.38%	0.62%	0.43%					
21	. Путин Владимир Владимирович	2538	375	322	840	129	562	124	186					
		71.23%	75.45%	85.87%	62.73%	73.30%	71.59%	77.02%	80.87%					
22	. Хакамада Ирина Муцуовна	40	2	6	21	2	6	0	3					
		1.12%	0.40%	1.60%	1.57%	1.14%	0.76%	0.00%	1.30%					
23	. Харитонов Николай Михайлович	659	85	19	336	31	152	18	18					
		18.50%	17.10%	5.07%	25.09%	17.61%	19.36%	11.18%	7.83%					
														
24	Против всех	29	4	2	13	1	3	3	3					
		0.81%	0.80%	0.53%	0.97%	0.57%	0.38%	1.86%	1.30%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
