Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Троицкая городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
1	"Число избирателей, внесенных в список"	59249	1637	736	979	1582	2224	2453	1551	1050	1184	2349	204	1824	2861	1482	779	2380	2346	1124	1290	2462	1350	972	1484	1100	1501	1409	2057	2350	1324	746	615	2295	2479	1236	2635	1536	820	843					
2	Число полученных избирательных бюллетеней	56600	1600	700	1000	1500	2100	2300	1500	1000	1100	2100	200	1700	2500	1400	800	2200	2300	1100	1200	2400	1500	900	1400	1100	1400	1300	2000	2200	1300	700	600	2100	2500	1200	2500	1500	800	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34907	1033	504	636	1078	1490	1446	855	565	605	1485	163	933	1822	769	483	1451	1303	675	676	1666	731	506	738	650	900	658	1358	1172	882	316	427	1445	1432	652	1393	928	494	587					
5	"Число избирательных бюллетеней, выданных вне помещения"	3674	144	55	63	89	134	113	144	90	70	161	24	131	122	81	69	85	133	100	122	107	196	53	74	27	41	159	137	88	94	139	48	139	102	110	108	37	54	31					
6	Число погашенных избирательных бюллетеней	18019	423	141	301	333	476	741	501	345	425	454	13	636	556	550	248	664	864	325	402	627	573	341	588	423	459	483	505	940	324	245	125	516	966	438	999	535	252	282					
7	Число избирательных бюллетеней в переносных ящиках	3674	144	55	63	89	134	113	144	90	70	161	24	131	122	81	69	85	133	100	122	107	196	53	74	27	41	159	137	88	94	139	48	139	102	110	108	37	54	31					
8	Число бюллетеней в стационарных ящиках для голосования	34888	1033	504	636	1078	1490	1446	855	565	605	1485	163	933	1810	769	483	1451	1301	675	676	1666	731	506	738	650	900	658	1358	1172	882	316	427	1445	1432	652	1388	928	494	587					
9	Число недействительных избирательных бюллетеней	240	10	1	2	6	12	14	3	7	9	7	5	0	9	9	4	9	11	9	4	5	4	8	10	10	8	3	9	6	0	4	1	4	10	10	5	0	12	0					
10	Число действительных избирательных бюллетеней	38322	1167	558	697	1161	1612	1545	996	648	666	1639	182	1064	1923	841	548	1527	1423	766	794	1768	923	551	802	667	933	814	1486	1254	976	451	474	1580	1524	752	1491	965	536	618					
11	Число полученных открепительных  удостоверений	794	20	15	15	20	21	30	35	18	70	19	10	15	49	25	15	35	15	15	10	17	15	15	10	15	15	15	22	10	10	10	10	15	20	15	20	20	13	75					
12	Число выданных открепительных удостоверений	635	17	8	12	19	20	24	30	14	68	19	9	11	48	18	9	19	15	15	4	17	4	9	8	6	12	10	21	8	9	10	3	15	16	1	14	10	13	70					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	376	5	5	5	2	20	7	11	27	16	12	9	14	28	16	10	9	12	17	7	10	4	2	7	10	15	2	3	2	1	8	4	17	4	6	3	6	32	8					
14	Число неиспользованных открепительных удостоверений	159	3	7	3	1	1	6	5	4	2	0	1	4	1	7	6	16	0	0	6	0	11	6	2	9	3	5	1	2	1	0	7	0	4	14	6	10	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1373	66	34	39	35	71	80	37	21	21	55	9	30	59	17	9	76	52	22	27	45	25	18	27	34	27	28	40	34	16	17	12	57	71	42	47	41	16	16					
		3.56%	5.61%	6.08%	5.58%	3.00%	4.37%	5.13%	3.70%	3.21%	3.11%	3.34%	4.81%	2.82%	3.05%	2.00%	1.63%	4.95%	3.63%	2.84%	3.38%	2.54%	2.70%	3.22%	3.33%	5.02%	2.87%	3.43%	2.68%	2.70%	1.64%	3.74%	2.53%	3.60%	4.63%	5.51%	3.14%	4.25%	2.92%	2.59%					
19	. Малышкин Олег Александрович	1090	36	17	21	24	38	23	31	16	22	39	4	30	39	25	11	32	60	53	32	54	44	23	28	18	32	30	29	44	20	11	10	40	25	28	46	19	16	20					
