Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Бежецкая																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75					
1	"Число избирателей, внесенных в список"	34567	148	1042	900	1299	907	2064	1283	1838	2093	1474	2179	1994	1316	2122	2206	796	519	290	524	370	485	341	565	166	386	302	107	370	376	977	490	346	294	129	322	450	470	356	425	891	237	221	337	160					
2	Число полученных избирательных бюллетеней	33845	157	1008	881	1277	877	2029	1257	1777	2052	1421	2143	1956	1277	2094	2138	780	510	288	523	369	475	315	556	172	382	295	111	364	372	947	469	340	292	131	319	438	467	349	419	876	232	223	332	155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16511	114	510	445	667	462	1116	613	958	1060	714	1010	886	620	1149	1141	399	223	212	237	200	150	116	221	59	172	115	61	208	182	490	178	134	134	52	117	177	244	126	200	291	120	78	91	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	3137	31	21	12	11	12	41	6	49	30	21	54	47	25	28	27	5	153	40	119	60	162	119	196	75	89	96	24	67	102	20	149	117	98	48	97	127	86	90	114	180	32	90	118	49					
6	Число погашенных избирательных бюллетеней	14197	12	477	424	599	403	872	638	770	962	686	1079	1023	632	917	970	376	134	36	167	109	163	80	139	38	121	84	26	89	88	437	142	89	60	31	105	134	137	133	105	405	80	55	123	47					
7	Число избирательных бюллетеней в переносных ящиках	3137	31	21	12	11	12	41	6	49	30	21	54	47	25	28	27	5	153	40	119	60	162	119	196	75	89	96	24	67	102	20	149	117	98	48	97	127	86	90	114	180	32	90	118	49					
8	Число бюллетеней в стационарных ящиках для голосования	16510	114	510	445	667	462	1116	613	958	1060	714	1010	886	620	1148	1141	399	223	212	237	200	150	116	221	59	172	115	61	208	182	490	178	134	134	52	117	177	244	126	200	291	120	78	91	59					
9	Число недействительных избирательных бюллетеней	72	1	2	2	3	3	5	2	4	4	3	0	2	7	6	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	6	2	1	1	0	0	0	3	0	3	1	4	0	0	0					
10	Число действительных избирательных бюллетеней	19575	144	529	455	675	471	1152	617	1003	1086	732	1064	931	638	1170	1167	404	375	252	355	259	311	234	417	134	260	211	85	275	284	504	325	250	231	100	214	304	327	216	311	470	148	168	209	108					
