Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Октябрьская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852					
1	"Число избирателей, внесенных в список"	18770	1035	1897	1175	1246	1789	560	1111	509	1651	526	1565	695	565	384	131	1105	178	446	479	163	146	134	591	262	213	214					
2	Число полученных избирательных бюллетеней	18185	992	1824	1106	1183	1713	565	1055	516	1562	536	1492	684	566	383	129	1055	179	444	476	164	149	135	590	263	215	209					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8351	722	968	579	580	877	204	600	182	580	221	554	222	172	166	79	373	83	236	210	76	74	60	190	104	114	125					
5	"Число избирательных бюллетеней, выданных вне помещения"	3368	37	89	77	100	101	141	163	142	373	135	328	253	233	124	38	237	60	87	101	70	45	49	197	102	36	50					
6	Число погашенных избирательных бюллетеней	6466	233	767	450	503	735	220	292	192	609	180	610	209	161	93	12	445	36	121	165	18	30	26	203	57	65	34					
7	Число избирательных бюллетеней в переносных ящиках	3368	37	89	77	100	101	141	163	142	373	135	328	253	233	124	38	237	60	87	101	70	45	49	197	102	36	50					
8	Число бюллетеней в стационарных ящиках для голосования	8351	722	968	579	580	877	204	600	182	580	221	554	222	172	166	79	373	83	236	210	76	74	60	190	104	114	125					
9	Число недействительных избирательных бюллетеней	108	9	8	6	12	7	2	11	0	4	5	10	7	0	0	3	6	3	3	0	1	1	3	4	0	2	1					
10	Число действительных избирательных бюллетеней	11611	750	1049	650	668	971	343	752	324	949	351	872	468	405	290	114	604	140	320	311	145	118	106	383	206	148	174					
11	Число полученных открепительных  удостоверений	125	9	9	9	8	9	3	7	5	8	3	7	4	4	4	3	7	2	4	4	2	2	2	4	2	2	2					
12	Число выданных открепительных удостоверений	29	2	2	1	0	2	2	7	1	0	0	2	0	0	0	0	3	0	1	1	0	0	0	2	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	1	3	1	0	2	1	0	1	2	0	1	0	2	1	0	3	2	4	1	2	2	1	2	0	0	1					
14	Число неиспользованных открепительных удостоверений	96	7	7	8	8	7	1	0	4	8	3	5	4	4	4	3	4	2	3	3	2	2	2	2	0	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	2	0	1	0	0	0	0	2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
