Выборы Президента Российской Федерации																																																																										
Дата голосования: 18.03.2018																																																																										
																																																																										
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																										
																																																																										
Сводная таблица итогов голосования																																																																										
																																																																										
	Число участковых избирательных комиссий	63																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	63																																																																								
																																																																										
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361	УИК №4362	УИК №4398	УИК №4399									
1	"Число избирателей, включенных в список избирателей"	102667	141	279	117	2624	1650	521	2000	2221	2796	2457	2366	2708	2540	3479	1144	1198	2414	1556	1661	1200	1712	1242	1411	1860	1516	725	2093	2452	920	746	1887	2847	3095	1756	2471	2290	2212	2210	961	2680	734	752	789	1100	722	1702	1966	1950	2110	979	590	258	1854	1816	3412	416	1579	2361	2318	1161	1789	61	90									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90620	120	220	100	2600	1600	400	1500	2200	2600	2200	2100	2600	2430	2900	1100	1050	1700	1350	1400	900	1400	1000	1200	2000	1300	700	1700	2500	700	550	1500	2400	2400	1400	1800	1800	1800	1900	850	2000	600	700	540	800	600	2500	1700	1800	2500	800	500	220	1700	1750	2700	400	1500	2100	2100	1600	1350	80	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	64330	106	220	100	1747	1096	313	876	1586	1352	1428	1310	1963	2138	2255	928	693	1364	1001	1059	788	1081	802	810	1389	922	521	1348	1402	583	456	1025	1729	1965	997	1305	1420	1393	1152	699	1631	543	452	440	565	450	1654	1238	1120	1285	509	392	164	1173	1322	2483	297	876	1181	1153	730	1200	61	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3371	0	0	0	120	118	52	145	57	77	51	35	91	17	36	11	109	19	92	18	42	31	20	33	25	26	74	80	39	23	16	29	30	22	49	33	18	40	23	13	23	16	80	42	65	37	21	42	31	430	21	89	49	169	41	16	26	84	116	63	157	39	0	0									
6	Число погашенных избирательных бюллетеней	22919	14	0	0	733	386	35	479	557	1171	721	755	546	275	609	161	248	317	257	323	70	288	178	357	586	352	105	272	1059	94	78	446	641	413	354	462	362	367	725	138	346	41	168	58	170	113	825	420	649	785	270	19	7	358	387	201	77	540	803	884	713	111	19	21									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3370	0	0	0	119	118	52	145	57	77	51	35	91	17	36	11	109	19	92	18	42	31	20	33	25	26	74	80	39	23	16	29	30	22	49	33	18	40	23	13	23	16	80	42	65	37	21	42	31	430	21	89	49	169	41	16	26	84	116	63	157	39	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	64304	106	220	100	1747	1096	313	876	1586	1352	1428	1307	1963	2138	2255	924	693	1364	991	1059	788	1079	800	810	1389	922	521	1347	1402	583	456	1025	1729	1965	997	1305	1420	1392	1152	698	1631	543	452	440	565	450	1653	1238	1120	1285	509	392	163	1173	1322	2483	297	876	1181	1153	730	1200	61	89									
9	Число недействительных избирательных бюллетеней	933	3	3	0	25	35	0	21	11	28	10	17	0	23	32	8	9	26	12	0	0	11	12	9	6	6	1	20	20	9	8	11	29	28	19	15	18	28	12	100	21	10	4	4	21	3	20	23	25	21	4	3	2	22	11	36	4	10	16	19	8	17	3	1									
10	Число действительных избирательных бюллетеней	66741	103	217	100	1841	1179	365	1000	1632	1401	1469	1325	2054	2132	2259	927	793	1357	1071	1077	830	1099	808	834	1408	942	594	1407	1421	597	464	1043	1730	1959	1027	1323	1420	1404	1163	611	1633	549	528	478	609	484	1654	1257	1126	1694	526	478	210	1320	1352	2463	319	950	1281	1197	879	1222	58	88									
