Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Долинская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в список"	22074	635	539	1733	1205	2205	1777	1836	2129	95	247	356	314	1622	1269	938	1266	895	1875	1138					
2	Число полученных избирательных бюллетеней	20889	589	504	1652	1111	2061	1671	1761	1947	98	279	353	285	1445	1152	927	1244	858	1822	1130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10831	318	421	1040	369	1110	859	885	972	52	99	113	279	770	639	462	666	363	870	544					
5	"Число избирательных бюллетеней, выданных вне помещения"	770	63	25	60	20	34	36	54	31	43	27	22	0	27	46	61	99	54	35	33					
6	Число погашенных избирательных бюллетеней	9288	208	58	552	722	917	776	822	944	3	153	218	6	648	467	404	479	441	917	553					
7	Число избирательных бюллетеней в переносных ящиках	770	63	25	60	20	34	36	54	31	43	27	22	0	27	46	61	99	54	35	33					
8	Число бюллетеней в стационарных ящиках для голосования	10819	318	421	1040	369	1110	858	882	972	52	99	113	279	762	639	462	666	363	870	544					
9	Число недействительных избирательных бюллетеней	125	0	1	6	6	11	10	10	13	0	0	1	2	14	17	5	5	5	12	7					
10	Число действительных избирательных бюллетеней	11464	381	445	1094	383	1133	884	926	990	95	126	134	277	775	668	518	760	412	893	570					
11	Число полученных открепительных  удостоверений	380	10	10	25	20	35	35	30	35	0	3	5	12	30	25	8	32	15	30	20					
12	Число выданных открепительных удостоверений	161	10	4	9	0	8	22	10	15	0	1	0	9	14	2	3	26	6	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	7	3	4	3	5	13	3	2	0	0	1	8	5	7	2	1	2	2	1					
14	Число неиспользованных открепительных удостоверений	219	0	6	16	20	27	13	20	20	0	2	5	3	16	23	5	6	9	17	11					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	465	21	5	39	18	36	40	47	46	4	1	3	8	25	20	10	28	25	49	40					
		4.01%	5.51%	1.12%	3.55%	4.63%	3.15%	4.47%	5.02%	4.59%	4.21%	0.79%	2.22%	2.87%	3.17%	2.92%	1.91%	3.66%	6.00%	5.41%	6.93%					
19	. Малышкин Олег Александрович	362	14	5	31	12	31	24	29	26	4	8	2	20	24	21	9	28	18	28	28					
		3.12%	3.67%	1.12%	2.82%	3.08%	2.71%	2.68%	3.10%	2.59%	4.21%	6.35%	1.48%	7.17%	3.04%	3.07%	1.72%	3.66%	4.32%	3.09%	4.85%					
20	. Миронов Сергей Михайлович	82	0	1	3	3	12	7	4	8	5	0	2	2	4	3	6	4	1	9	8					
		0.71%	0.00%	0.22%	0.27%	0.77%	1.05%	0.78%	0.43%	0.80%	5.26%	0.00%	1.48%	0.72%	0.51%	0.44%	1.15%	0.52%	0.24%	0.99%	1.39%					
21	. Путин Владимир Владимирович	8170	288	386	828	274	775	610	651	684	56	100	110	211	591	490	373	539	251	604	349					
		70.50%	75.59%	86.55%	75.27%	70.44%	67.74%	68.23%	69.55%	68.20%	58.95%	79.37%	81.48%	75.63%	74.90%	71.53%	71.32%	70.46%	60.19%	66.74%	60.49%					
22	. Хакамада Ирина Муцуовна	391	4	3	42	22	48	29	41	44	5	5	5	6	31	22	18	17	11	24	14					
		3.37%	1.05%	0.67%	3.82%	5.66%	4.20%	3.24%	4.38%	4.39%	5.26%	3.97%	3.70%	2.15%	3.93%	3.21%	3.44%	2.22%	2.64%	2.65%	2.43%					
23	. Харитонов Николай Михайлович	1548	46	38	119	37	179	132	109	127	19	11	9	15	73	95	89	110	92	142	106					
		13.36%	12.07%	8.52%	10.82%	9.51%	15.65%	14.77%	11.65%	12.66%	20.00%	8.73%	6.67%	5.38%	9.25%	13.87%	17.02%	14.38%	22.06%	15.69%	18.37%					
																										
24	Против всех	446	8	7	32	17	52	42	45	55	2	1	3	15	27	17	13	34	14	37	25					
		3.85%	2.10%	1.57%	2.91%	4.37%	4.55%	4.70%	4.81%	5.48%	2.11%	0.79%	2.22%	5.38%	3.42%	2.48%	2.49%	4.44%	3.36%	4.09%	4.33%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
