Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Кигинская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679					
1	"Число избирателей, внесенных в список"	13197	338	397	138	177	413	143	209	1783	1627	1396	110	401	175	166	533	324	218	117	305	301	450	361	274	245	602	203	199	986	71	379	156					
2	Число полученных избирательных бюллетеней	13283	345	405	140	176	415	145	211	1784	1590	1364	112	409	177	166	552	330	222	118	323	308	455	368	273	250	615	206	203	1006	72	387	156					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11925	332	375	130	176	387	143	195	1515	1381	1109	108	369	170	164	459	324	218	116	286	298	450	337	256	231	517	187	194	943	57	347	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	1040	3	16	8	0	26	0	13	198	206	251	0	32	5	2	56	0	0	0	9	3	0	21	14	13	64	14	5	38	14	24	5					
6	Число погашенных избирательных бюллетеней	318	10	14	2	0	2	2	3	71	3	4	4	8	2	0	37	6	4	2	28	7	5	10	3	6	34	5	4	25	1	16	0					
7	Число избирательных бюллетеней в переносных ящиках	1040	3	16	8	0	26	0	13	198	206	251	0	32	5	2	56	0	0	0	9	3	0	21	14	13	64	14	5	38	14	24	5					
8	Число бюллетеней в стационарных ящиках для голосования	11925	332	375	130	176	387	143	195	1515	1381	1109	108	369	170	164	459	324	218	116	286	298	450	337	256	231	517	187	194	943	57	347	151					
9	Число недействительных избирательных бюллетеней	24	3	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0					
10	Число действительных избирательных бюллетеней	12941	332	391	138	176	413	143	208	1713	1578	1360	108	396	175	166	515	324	217	116	295	301	450	358	269	244	581	201	199	976	71	371	156					
11	Число полученных открепительных  удостоверений	198	5	5	5	2	6	2	5	23	23	22	2	8	2	2	8	6	6	2	5	2	8	6	5	5	8	3	3	8	2	8	1					
12	Число выданных открепительных удостоверений	80	2	0	0	1	1	0	3	21	16	11	0	4	0	2	4	1	0	0	2	0	1	1	4	2	1	2	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	3	1	1	0	1	0	0	4	6	3	1	2	0	2	2	2	0	0	0	0	0	1	0	0	1	1	2	3	2	1	0					
14	Число неиспользованных открепительных удостоверений	118	3	5	5	1	5	2	2	2	7	11	2	4	2	0	4	5	6	2	3	2	7	5	1	3	7	1	3	7	2	8	1					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	19	0	1	0	0	0	0	0	1	4	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	2					
		0.15%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.25%	0.22%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.27%	1.28%					
19	. Малышкин Олег Александрович	11	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.51%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	12	0	0	0	0	0	0	0	2	3	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0					
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.19%	0.15%	0.00%	0.00%	0.00%	0.60%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	12730	330	384	137	174	406	141	205	1684	1558	1335	108	393	172	164	506	319	214	114	290	297	442	355	266	241	576	198	197	936	70	365	153					
		98.19%	98.51%	98.21%	99.28%	98.86%	98.31%	98.60%	98.56%	98.31%	98.17%	98.16%	100.00%	98.00%	98.29%	98.80%	98.25%	98.46%	98.17%	98.28%	98.31%	98.67%	98.22%	99.16%	98.52%	98.77%	99.14%	98.51%	98.99%	95.41%	98.59%	98.38%	98.08%					
22	. Хакамада Ирина Муцуовна	20	0	0	0	0	0	0	0	3	2	2	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	1	6	0	1	0					
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.13%	0.15%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.86%	0.00%	0.66%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.50%	0.61%	0.00%	0.27%	0.00%					
23	. Харитонов Николай Михайлович	133	0	6	1	2	7	1	2	19	5	16	0	2	3	1	5	5	3	1	3	1	8	1	3	3	5	2	1	21	1	4	1					
		1.03%	0.00%	1.53%	0.72%	1.14%	1.69%	0.70%	0.96%	1.11%	0.32%	1.18%	0.00%	0.50%	1.71%	0.60%	0.97%	1.54%	1.38%	0.86%	1.02%	0.33%	1.78%	0.28%	1.11%	1.23%	0.86%	1.00%	0.50%	2.14%	1.41%	1.08%	0.64%					
																																						
24	Против всех	16	2	0	0	0	0	1	1	1	4	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0					
		0.12%	0.60%	0.00%	0.00%	0.00%	0.00%	0.70%	0.48%	0.06%	0.25%	0.15%	0.00%	0.25%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
