Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Лодейнопольская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
1	"Число избирателей, внесенных в список"	26383	2074	2103	1770	2624	2004	1681	324	1879	2019	1416	714	196	845	200	376	122	123	543	272	1592	138	268	124	144	109	549	1162	1012					
2	Число полученных избирательных бюллетеней	26595	2080	2110	1785	2600	1990	1670	324	1865	2040	1405	760	202	877	224	327	131	129	600	282	1570	154	286	127	171	111	560	1180	1035					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13791	1070	1238	987	1509	1130	811	110	742	874	830	422	106	493	121	136	105	74	283	171	762	88	175	77	96	60	308	476	537					
5	"Число избирательных бюллетеней, выданных вне помещения"	1394	83	59	36	29	38	55	175	31	28	4	46	11	29	34	138	4	22	58	13	114	15	45	18	24	38	41	124	82					
6	Число погашенных избирательных бюллетеней	11410	927	813	762	1062	822	804	39	1092	1138	571	292	85	355	69	53	22	33	259	98	694	51	66	32	51	13	211	580	416					
7	Число избирательных бюллетеней в переносных ящиках	1394	83	59	36	29	38	55	175	31	28	4	46	11	29	34	138	4	22	58	13	114	15	45	18	24	38	41	124	82					
8	Число бюллетеней в стационарных ящиках для голосования	13789	1070	1236	987	1509	1130	811	110	742	874	830	422	106	493	121	136	105	74	283	171	762	88	175	77	96	60	308	476	537					
9	Число недействительных избирательных бюллетеней	71	6	13	11	3	0	4	0	9	3	3	3	1	0	1	2	0	1	1	2	0	0	2	1	0	3	0	1	1					
10	Число действительных избирательных бюллетеней	15112	1147	1282	1012	1535	1168	862	285	764	899	831	465	116	522	154	272	109	95	340	182	876	103	218	94	120	95	349	599	618					
11	Число полученных открепительных  удостоверений	476	22	22	24	20	27	12	0	12	9	36	35	3	10	30	15	5	10	46	10	15	10	22	5	5	5	30	16	20					
12	Число выданных открепительных удостоверений	468	22	22	24	20	27	12	0	11	9	32	33	3	10	30	15	5	10	46	10	15	10	22	5	5	5	30	15	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	259	29	24	8	19	15	9	0	25	5	10	9	3	3	7	7	17	6	6	4	8	3	6	5	1	3	9	9	9					
14	Число неиспользованных открепительных удостоверений	8	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	24	2	3	0	6	0	2	0	1	1	2	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	374	33	30	38	40	36	25	2	12	17	44	13	0	10	1	5	1	1	2	3	17	0	4	0	4	1	12	13	10					
		2.46%	2.86%	2.32%	3.71%	2.60%	3.08%	2.89%	0.70%	1.55%	1.88%	5.28%	2.78%	0.00%	1.92%	0.65%	1.82%	0.92%	1.04%	0.59%	1.63%	1.94%	0.00%	1.82%	0.00%	3.33%	1.02%	3.44%	2.17%	1.62%					
19	. Малышкин Олег Александрович	202	12	15	9	26	14	16	2	9	17	12	8	0	10	2	3	2	1	1	3	9	0	1	0	3	0	10	6	11					
		1.33%	1.04%	1.16%	0.88%	1.69%	1.20%	1.85%	0.70%	1.16%	1.88%	1.44%	1.71%	0.00%	1.92%	1.29%	1.09%	1.83%	1.04%	0.29%	1.63%	1.03%	0.00%	0.45%	0.00%	2.50%	0.00%	2.87%	1.00%	1.78%					
20	. Миронов Сергей Михайлович	89	11	8	5	4	9	7	0	7	0	10	4	1	7	2	1	2	0	0	0	3	0	0	1	0	0	2	1	4					
		0.59%	0.95%	0.62%	0.49%	0.26%	0.77%	0.81%	0.00%	0.91%	0.00%	1.20%	0.85%	0.85%	1.34%	1.29%	0.36%	1.83%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	1.05%	0.00%	0.00%	0.57%	0.17%	0.65%					
21	. Путин Владимир Владимирович	12405	885	1027	808	1215	939	700	267	647	761	657	369	112	428	142	248	86	87	307	156	746	100	192	82	86	76	286	494	502					
		81.70%	76.76%	79.31%	78.98%	79.00%	80.39%	80.83%	93.68%	83.70%	84.37%	78.78%	78.85%	95.73%	81.99%	91.61%	90.51%	78.90%	90.62%	90.03%	84.78%	85.16%	97.09%	87.27%	86.32%	71.67%	77.55%	81.95%	82.33%	81.10%					
22	. Хакамада Ирина Муцуовна	299	31	25	30	38	36	30	4	5	14	15	8	0	4	2	3	0	0	6	5	12	0	0	3	2	2	8	14	2					
