Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Обоянская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826					
1	"Число избирателей, внесенных в список"	27251	405	187	251	158	230	2079	1523	2215	1268	1691	2189	234	1085	935	418	178	769	481	436	322	263	1248	411	677	452	723	409	768	560	333	247	648	515	555	301	343	256	339	139	192	446	372					
2	Число полученных избирательных бюллетеней	25720	390	185	240	160	220	1900	1400	2020	1200	1520	2040	300	1020	900	400	178	740	450	410	310	250	1160	390	640	430	690	384	730	530	320	240	630	500	530	290	340	240	330	141	192	430	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16116	221	110	184	130	165	1209	875	1240	738	926	1367	20	571	550	224	75	390	255	210	205	169	806	236	394	272	456	218	443	340	219	127	457	391	305	179	203	204	237	100	148	284	263					
5	"Число избирательных бюллетеней, выданных вне помещения"	2595	92	30	22	15	39	50	36	78	54	68	81	183	55	71	84	51	69	67	85	56	33	89	56	62	51	52	124	106	70	43	45	84	82	65	38	96	22	42	18	19	70	42					
6	Число погашенных избирательных бюллетеней	7009	77	45	34	15	16	641	489	702	408	526	592	97	394	279	92	52	281	128	115	49	48	265	98	184	107	182	42	181	120	58	68	89	27	160	73	41	14	51	23	25	76	45					
7	Число избирательных бюллетеней в переносных ящиках	2595	92	30	22	15	39	50	36	78	54	68	81	183	55	71	84	51	69	67	85	56	33	89	56	62	51	52	124	106	70	43	45	84	82	65	38	96	22	42	18	19	70	42					
8	Число бюллетеней в стационарных ящиках для голосования	16116	221	110	184	130	165	1209	875	1240	738	926	1367	20	571	550	224	75	390	255	210	205	169	806	236	394	272	456	218	443	340	219	127	457	391	305	179	203	204	237	100	148	284	263					
9	Число недействительных избирательных бюллетеней	217	1	4	10	6	7	9	7	8	8	7	23	0	6	6	5	0	6	6	6	1	1	12	1	1	5	4	4	8	10	5	2	3	5	5	1	4	4	3	2	2	5	4					
10	Число действительных избирательных бюллетеней	18494	312	136	196	139	197	1250	904	1310	784	987	1425	203	620	615	303	126	453	316	289	260	201	883	291	455	318	504	338	541	400	257	170	538	468	365	216	295	222	276	116	165	349	301					
