Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Каспийская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597					
1	"Число избирателей, внесенных в список"	46278	2645	2280	2753	1767	2140	2330	1034	2386	2616	2171	2318	2276	2028	1807	2048	2872	1342	2506	2357	2338	2264					
2	Число полученных избирательных бюллетеней	46699	2628	2296	2758	1783	2140	2390	948	2401	2636	2183	2328	2294	2048	1805	2105	2930	1494	2506	2392	2240	2394					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43848	2449	2128	2739	1711	2027	2302	900	2243	2498	2017	2233	2260	1946	1652	2007	2703	1294	2355	2249	2111	2024					
5	"Число избирательных бюллетеней, выданных вне помещения"	38	0	2	0	0	0	0	0	7	12	5	4	8	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2813	179	166	19	72	113	88	48	151	126	161	91	26	102	153	98	227	200	151	143	129	370					
7	Число избирательных бюллетеней в переносных ящиках	38	0	2	0	0	0	0	0	7	12	5	4	8	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43848	2449	2128	2739	1711	2027	2302	900	2243	2498	2017	2233	2260	1946	1652	2007	2703	1294	2355	2249	2111	2024					
9	Число недействительных избирательных бюллетеней	117	3	13	0	11	11	0	3	10	2	0	3	12	22	4	1	0	8	1	0	5	8					
10	Число действительных избирательных бюллетеней	43769	2446	2117	2739	1700	2016	2302	897	2240	2508	2022	2234	2256	1924	1648	2006	2703	1286	2354	2249	2106	2016					
11	Число полученных открепительных  удостоверений	1000	50	50	50	50	50	25	50	50	10	50	50	50	50	90	50	50	25	50	50	50	50					
12	Число выданных открепительных удостоверений	64	0	6	1	1	0	1	0	1	0	1	0	0	0	27	0	0	0	0	0	1	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	10	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	2	3					
14	Число неиспользованных открепительных удостоверений	936	50	44	49	49	50	24	50	49	10	49	50	50	50	63	50	50	25	50	50	49	25					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	144	18	2	3	18	0	6	5	0	7	22	2	0	0	20	7	10	0	2	1	4	17					
		0.33%	0.73%	0.09%	0.11%	1.05%	0.00%	0.26%	0.56%	0.00%	0.28%	1.09%	0.09%	0.00%	0.00%	1.21%	0.35%	0.37%	0.00%	0.08%	0.04%	0.19%	0.84%					
19	. Малышкин Олег Александрович	71	5	7	1	3	1	0	0	0	1	13	3	0	0	1	1	5	4	1	0	2	23					
		0.16%	0.20%	0.33%	0.04%	0.18%	0.05%	0.00%	0.00%	0.00%	0.04%	0.64%	0.13%	0.00%	0.00%	0.06%	0.05%	0.18%	0.31%	0.04%	0.00%	0.09%	1.14%					
20	. Миронов Сергей Михайлович	50	3	3	0	1	5	0	6	0	1	6	3	0	0	1	0	5	0	1	1	2	12					
		0.11%	0.12%	0.14%	0.00%	0.06%	0.25%	0.00%	0.67%	0.00%	0.04%	0.30%	0.13%	0.00%	0.00%	0.06%	0.00%	0.18%	0.00%	0.04%	0.04%	0.09%	0.59%					
21	. Путин Владимир Владимирович	41053	2231	1890	2677	1551	1783	2187	815	2128	2460	1849	2143	2167	1815	1495	1885	2622	1139	2237	2152	2012	1815					
		93.54%	91.10%	88.73%	97.74%	90.65%	87.96%	95.00%	90.56%	94.58%	98.01%	91.44%	95.80%	95.55%	93.27%	90.50%	93.92%	97.00%	88.02%	94.99%	95.69%	95.31%	89.67%					
22	. Хакамада Ирина Муцуовна	115	11	3	2	10	7	5	5	0	2	8	3	0	0	6	3	10	0	2	0	2	36					
		0.26%	0.45%	0.14%	0.07%	0.58%	0.35%	0.22%	0.56%	0.00%	0.08%	0.40%	0.13%	0.00%	0.00%	0.36%	0.15%	0.37%	0.00%	0.08%	0.00%	0.09%	1.78%					
23	. Харитонов Николай Михайлович	2141	157	196	52	111	193	102	60	107	35	117	78	87	104	118	108	51	140	109	95	84	37					
		4.88%	6.41%	9.20%	1.90%	6.49%	9.52%	4.43%	6.67%	4.76%	1.39%	5.79%	3.49%	3.84%	5.34%	7.14%	5.38%	1.89%	10.82%	4.63%	4.22%	3.98%	1.83%					
																												
24	Против всех	195	21	16	4	6	27	2	6	5	2	7	2	2	5	7	2	0	3	2	0	0	76					
		0.44%	0.86%	0.75%	0.15%	0.35%	1.33%	0.09%	0.67%	0.22%	0.08%	0.35%	0.09%	0.09%	0.26%	0.42%	0.10%	0.00%	0.23%	0.08%	0.00%	0.00%	3.75%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
