Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Ольхонская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016					
1	"Число избирателей, внесенных в список"	5695	58	656	173	50	301	90	149	2352	126	136	202	119	309	35	100	787	52					
2	Число полученных избирательных бюллетеней	5647	58	650	173	47	303	86	149	2353	124	135	201	113	304	32	101	764	54					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3705	41	445	144	37	241	74	70	1521	75	87	153	103	174	24	51	431	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	706	4	88	9	6	29	9	47	167	40	28	40	10	51	7	39	118	14					
6	Число погашенных избирательных бюллетеней	1236	13	117	20	4	33	3	32	665	9	20	8	0	79	1	11	215	6					
7	Число избирательных бюллетеней в переносных ящиках	706	4	88	9	6	29	9	47	167	40	28	40	10	51	7	39	118	14					
8	Число бюллетеней в стационарных ящиках для голосования	3705	41	445	144	37	241	74	70	1521	75	87	153	103	174	24	51	431	34					
9	Число недействительных избирательных бюллетеней	22	1	0	1	0	1	0	1	14	0	0	1	0	1	0	0	2	0					
10	Число действительных избирательных бюллетеней	4389	44	533	152	43	269	83	116	1674	115	115	192	113	224	31	90	547	48					
11	Число полученных открепительных  удостоверений	280	3	33	9	3	15	3	9	106	6	6	12	6	15	3	6	42	3					
12	Число выданных открепительных удостоверений	83	0	14	1	0	3	0	0	48	0	1	8	2	3	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	2	5	5	2	2	4	2	12	2	3	7	2	4	4	2	13	0					
14	Число неиспользованных открепительных удостоверений	197	3	19	8	3	12	3	9	58	6	5	4	4	12	3	5	40	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	159	1	13	0	2	7	0	2	103	6	3	0	1	1	0	3	17	0					
		3.60%	2.22%	2.44%	0.00%	4.65%	2.59%	0.00%	1.71%	6.10%	5.22%	2.61%	0.00%	0.88%	0.44%	0.00%	3.33%	3.10%	0.00%					
19	. Малышкин Олег Александрович	55	0	11	1	2	5	0	0	18	0	1	1	4	1	0	0	11	0					
		1.25%	0.00%	2.06%	0.65%	4.65%	1.85%	0.00%	0.00%	1.07%	0.00%	0.87%	0.52%	3.54%	0.44%	0.00%	0.00%	2.00%	0.00%					
20	. Миронов Сергей Михайлович	20	0	3	0	0	2	0	1	10	0	1	1	0	1	0	1	0	0					
		0.45%	0.00%	0.56%	0.00%	0.00%	0.74%	0.00%	0.85%	0.59%	0.00%	0.87%	0.52%	0.00%	0.44%	0.00%	1.11%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3523	40	360	119	28	236	75	92	1296	102	105	180	92	199	31	65	457	46					
		79.87%	88.89%	67.54%	77.78%	65.12%	87.41%	90.36%	78.63%	76.78%	88.70%	91.30%	93.26%	81.42%	88.44%	100.00%	72.22%	83.24%	95.83%					
22	. Хакамада Ирина Муцуовна	175	0	30	13	1	2	4	8	77	6	2	3	2	8	0	8	11	0					
		3.97%	0.00%	5.63%	8.50%	2.33%	0.74%	4.82%	6.84%	4.56%	5.22%	1.74%	1.55%	1.77%	3.56%	0.00%	8.89%	2.00%	0.00%					
23	. Харитонов Николай Михайлович	413	2	112	19	9	14	4	13	151	1	3	6	13	10	0	13	41	2					
		9.36%	4.44%	21.01%	12.42%	20.93%	5.19%	4.82%	11.11%	8.95%	0.87%	2.61%	3.11%	11.50%	4.44%	0.00%	14.44%	7.47%	4.17%					
																								
24	Против всех	44	1	4	0	1	3	0	0	19	0	0	1	1	4	0	0	10	0					
		1.00%	2.22%	0.75%	0.00%	2.33%	1.11%	0.00%	0.00%	1.13%	0.00%	0.00%	0.52%	0.88%	1.78%	0.00%	0.00%	1.82%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
