Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Качканарская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  1953	УИК  1954	УИК  1955	УИК  1956	УИК  1957	УИК  1958	УИК  1959	УИК  1960	УИК  1961	УИК  1962	УИК  1963	УИК  1964	УИК  1965	УИК  1966	УИК  1967	УИК  1968	УИК  1969	УИК  1970	УИК  1971	УИК  1972					
1	"Число избирателей, внесенных в список"	36651	1658	1950	1809	1835	1788	1816	1817	1823	1845	1915	1768	1780	1759	1957	1855	1875	1853	1692	1879	1977					
2	Число полученных избирательных бюллетеней	37000	1635	1910	1825	1875	1835	1850	1800	1850	1875	1925	1800	1810	1775	1850	1890	1900	1900	1770	1900	2025					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23051	1068	1221	1250	1296	1068	992	903	1118	987	1209	1191	1260	997	1158	1122	1266	1220	1090	1295	1340					
5	"Число избирательных бюллетеней, выданных вне помещения"	749	28	97	16	24	55	36	53	30	34	15	18	13	50	155	41	6	22	17	27	12					
6	Число погашенных избирательных бюллетеней	13200	539	592	559	555	712	822	844	702	854	701	591	537	728	537	727	628	658	663	578	673					
7	Число избирательных бюллетеней в переносных ящиках	749	28	97	16	24	55	36	53	30	34	15	18	13	50	155	41	6	22	17	27	12					
8	Число бюллетеней в стационарных ящиках для голосования	23037	1068	1220	1250	1296	1068	992	903	1118	987	1209	1191	1247	997	1158	1122	1266	1220	1090	1295	1340					
9	Число недействительных избирательных бюллетеней	214	11	8	7	10	7	14	11	22	11	6	11	12	7	7	8	16	13	9	12	12					
10	Число действительных избирательных бюллетеней	23572	1085	1309	1259	1310	1116	1014	945	1126	1010	1218	1198	1248	1040	1306	1155	1256	1229	1098	1310	1340					
11	Число полученных открепительных  удостоверений	700	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35					
12	Число выданных открепительных удостоверений	230	7	15	12	10	8	14	3	10	11	12	18	11	10	10	9	19	9	17	13	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	32	12	2	3	2	6	0	2	2	3	1	6	3	9	2	4	2	1	3	3					
14	Число неиспользованных открепительных удостоверений	470	28	20	23	25	27	21	32	25	24	23	17	24	25	25	26	16	26	18	22	23					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1018	41	73	68	81	44	46	17	40	29	54	42	64	23	47	51	57	68	56	50	67					
		4.28%	3.74%	5.54%	5.37%	6.14%	3.92%	4.47%	1.78%	3.48%	2.84%	4.41%	3.47%	5.08%	2.20%	3.58%	4.39%	4.48%	5.48%	5.06%	3.78%	4.96%					
19	. Малышкин Олег Александрович	890	39	47	32	39	45	43	51	46	50	54	24	46	62	41	31	47	46	37	57	53					
		3.74%	3.56%	3.57%	2.53%	2.95%	4.01%	4.18%	5.33%	4.01%	4.90%	4.41%	1.99%	3.65%	5.92%	3.12%	2.67%	3.69%	3.70%	3.34%	4.31%	3.92%					
20	. Миронов Сергей Михайлович	173	12	12	4	6	6	10	7	9	6	10	5	12	5	11	7	17	8	6	11	9					
		0.73%	1.09%	0.91%	0.32%	0.45%	0.53%	0.97%	0.73%	0.78%	0.59%	0.82%	0.41%	0.95%	0.48%	0.84%	0.60%	1.34%	0.64%	0.54%	0.83%	0.67%					
21	. Путин Владимир Владимирович	17821	834	944	943	923	867	792	762	855	797	928	936	951	802	1024	902	926	866	823	949	997					
		74.92%	76.09%	71.68%	74.49%	69.92%	77.20%	77.04%	79.71%	74.48%	78.06%	75.82%	77.42%	75.48%	76.60%	77.99%	77.56%	72.80%	69.73%	74.35%	71.79%	73.74%					
22	. Хакамада Ирина Муцуовна	1022	39	65	45	68	47	32	33	47	34	52	66	50	40	55	43	65	73	52	52	64					
		4.30%	3.56%	4.94%	3.55%	5.15%	4.19%	3.11%	3.45%	4.09%	3.33%	4.25%	5.46%	3.97%	3.82%	4.19%	3.70%	5.11%	5.88%	4.70%	3.93%	4.73%					
23	. Харитонов Николай Михайлович	1783	87	128	118	142	78	65	48	89	49	74	86	70	68	87	79	85	110	86	140	94					
		7.50%	7.94%	9.72%	9.32%	10.76%	6.95%	6.32%	5.02%	7.75%	4.80%	6.05%	7.11%	5.56%	6.49%	6.63%	6.79%	6.68%	8.86%	7.77%	10.59%	6.95%					
																											
24	Против всех	865	33	40	49	51	29	26	27	40	45	46	39	55	40	41	42	59	58	38	51	56					
		3.64%	3.01%	3.04%	3.87%	3.86%	2.58%	2.53%	2.82%	3.48%	4.41%	3.76%	3.23%	4.37%	3.82%	3.12%	3.61%	4.64%	4.67%	3.43%	3.86%	4.14%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
