Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Викуловская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226					
1	"Число избирателей, внесенных в список"	12978	470	192	87	168	308	297	1636	1061	1132	1239	181	376	466	100	52	632	45	529	157	142	311	109	63	627	194	409	111	96	302	137	320	92	41	60	207	357	146	126					
2	Число полученных избирательных бюллетеней	13518	470	200	97	170	310	301	1700	1100	1200	1380	188	409	470	103	52	660	45	570	165	145	320	110	63	620	190	440	117	98	308	135	320	96	43	61	220	365	149	128					
3	"Число избирательных бюллетеней, выданных  досрочно"	371	0	45	0	0	0	0	0	0	0	0	0	131	0	0	0	41	0	47	0	9	0	0	0	0	0	0	0	0	0	0	7	0	0	0	91	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9636	371	124	72	136	261	229	1210	737	751	903	127	196	347	81	47	523	36	367	116	112	280	93	59	477	139	295	81	77	250	127	231	77	35	60	99	289	115	106					
5	"Число избирательных бюллетеней, выданных вне помещения"	1537	65	18	13	23	44	53	150	92	102	75	51	19	85	15	3	57	7	76	33	21	24	16	2	109	51	87	27	15	34	8	64	9	4	0	10	37	23	15					
6	Число погашенных избирательных бюллетеней	1974	34	13	12	11	5	19	340	271	347	402	10	63	38	7	2	39	2	80	16	3	16	1	2	34	0	58	9	6	24	0	18	10	4	1	20	39	11	7					
7	Число избирательных бюллетеней в переносных ящиках	1908	65	63	13	23	44	53	150	92	102	75	51	150	85	15	3	98	7	123	33	30	24	16	2	109	51	87	27	15	34	8	71	9	4	0	101	37	23	15					
8	Число бюллетеней в стационарных ящиках для голосования	9636	371	124	72	136	261	229	1210	737	751	903	127	196	347	81	47	523	36	367	116	112	280	93	59	477	139	295	81	77	250	127	231	77	35	60	99	289	115	106					
9	Число недействительных избирательных бюллетеней	73	5	3	2	0	1	0	3	10	6	8	0	3	1	0	0	6	0	2	1	2	2	0	0	2	0	0	0	0	10	0	4	0	0	0	1	0	0	1					
10	Число действительных избирательных бюллетеней	11471	431	184	83	159	304	282	1357	819	847	970	178	343	431	96	50	615	43	488	148	140	302	109	61	584	190	382	108	92	274	135	298	86	39	60	199	326	138	120					
11	Число полученных открепительных  удостоверений	297	10	8	2	3	7	7	20	10	10	10	2	22	10	2	2	25	2	35	5	2	14	3	2	10	3	17	2	2	7	3	10	2	2	2	10	10	2	2					
12	Число выданных открепительных удостоверений	279	10	8	2	3	7	7	20	10	10	10	2	22	10	2	2	25	2	35	5	2	12	3	0	1	0	17	2	2	7	3	10	2	2	2	10	10	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	4	0	0	0	2	2	8	5	7	5	1	1	2	0	0	1	0	3	0	1	2	1	2	0	0	3	0	1	2	1	1	0	0	0	0	1	1	2					
14	Число неиспользованных открепительных удостоверений	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	9	3	0	0	0	0	0	0	0	0	0	0	0	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	347	19	1	1	6	3	2	44	23	25	36	1	6	10	7	2	31	1	28	0	12	9	0	2	28	2	18	3	2	7	1	0	1	0	1	2	9	1	3					
		3.01%	4.36%	0.53%	1.18%	3.77%	0.98%	0.71%	3.24%	2.77%	2.93%	3.68%	0.56%	1.73%	2.31%	7.29%	4.00%	4.99%	2.33%	5.71%	0.00%	8.45%	2.96%	0.00%	3.28%	4.78%	1.05%	4.71%	2.78%	2.17%	2.46%	0.74%	0.00%	1.16%	0.00%	1.67%	1.00%	2.76%	0.72%	2.48%					
19	. Малышкин Олег Александрович	490	17	6	2	12	7	12	50	29	34	37	11	16	16	5	4	26	3	26	4	15	18	7	0	34	13	23	9	1	7	8	4	6	1	1	10	3	2	11					
		4.24%	3.90%	3.21%	2.35%	7.55%	2.30%	4.26%	3.68%	3.50%	3.99%	3.78%	6.18%	4.62%	3.70%	5.21%	8.00%	4.19%	6.98%	5.31%	2.68%	10.56%	5.92%	6.42%	0.00%	5.80%	6.84%	6.02%	8.33%	1.09%	2.46%	5.93%	1.32%	6.98%	2.56%	1.67%	5.00%	0.92%	1.45%	9.09%					
20	. Миронов Сергей Михайлович	96	1	4	0	0	1	0	10	11	7	18	1	4	4	0	2	3	0	4	3	1	1	0	0	2	0	7	2	0	1	2	2	0	0	0	4	1	0	0					
		0.83%	0.23%	2.14%	0.00%	0.00%	0.33%	0.00%	0.74%	1.33%	0.82%	1.84%	0.56%	1.16%	0.93%	0.00%	4.00%	0.48%	0.00%	0.82%	2.01%	0.70%	0.33%	0.00%	0.00%	0.34%	0.00%	1.83%	1.85%	0.00%	0.35%	1.48%	0.66%	0.00%	0.00%	0.00%	2.00%	0.31%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7876	312	126	60	101	261	238	917	560	613	667	122	235	312	70	33	403	30	297	96	85	190	75	43	327	111	276	73	69	132	103	225	72	37	53	114	248	119	71					
		68.23%	71.56%	67.38%	70.59%	63.52%	85.57%	84.40%	67.43%	67.55%	71.86%	68.20%	68.54%	67.92%	72.22%	72.92%	66.00%	64.90%	69.77%	60.61%	64.43%	59.86%	62.50%	68.81%	70.49%	55.80%	58.42%	72.25%	67.59%	75.00%	46.48%	76.30%	74.50%	83.72%	94.87%	88.33%	57.00%	76.07%	86.23%	58.68%					
22	. Хакамада Ирина Муцуовна	283	5	5	2	1	6	1	50	20	25	33	5	9	7	3	3	9	0	13	5	4	7	1	2	17	7	12	3	1	5	3	1	0	0	1	8	4	2	3					
		2.45%	1.15%	2.67%	2.35%	0.63%	1.97%	0.35%	3.68%	2.41%	2.93%	3.37%	2.81%	2.60%	1.62%	3.12%	6.00%	1.45%	0.00%	2.65%	3.36%	2.82%	2.30%	0.92%	3.28%	2.90%	3.68%	3.14%	2.78%	1.09%	1.76%	2.22%	0.33%	0.00%	0.00%	1.67%	4.00%	1.23%	1.45%	2.48%					
23	. Харитонов Николай Михайлович	2040	69	38	16	35	23	26	239	146	115	128	29	66	74	11	5	125	9	104	31	21	71	22	12	159	56	35	16	13	112	14	62	6	0	4	51	58	11	28					
		17.67%	15.83%	20.32%	18.82%	22.01%	7.54%	9.22%	17.57%	17.61%	13.48%	13.09%	16.29%	19.08%	17.13%	11.46%	10.00%	20.13%	20.93%	21.22%	20.81%	14.79%	23.36%	20.18%	19.67%	27.13%	29.47%	9.16%	14.81%	14.13%	39.44%	10.37%	20.53%	6.98%	0.00%	6.67%	25.50%	17.79%	7.97%	23.14%					
																																													
24	Против всех	339	8	4	2	4	3	3	47	30	28	51	9	7	8	0	1	18	0	16	9	2	6	4	2	17	1	11	2	6	10	4	4	1	1	0	10	3	3	4					
		2.94%	1.83%	2.14%	2.35%	2.52%	0.98%	1.06%	3.46%	3.62%	3.28%	5.21%	5.06%	2.02%	1.85%	0.00%	2.00%	2.90%	0.00%	3.27%	6.04%	1.41%	1.97%	3.67%	3.28%	2.90%	0.53%	2.88%	1.85%	6.52%	3.52%	2.96%	1.32%	1.16%	2.56%	0.00%	5.00%	0.92%	2.17%	3.31%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
