Выборы Президента Российской Федерации																																																																													
Дата голосования: 02.03.2008																																																																													
																																																																													
"Наименование Избирательной комиссии:    Пенза, Октябрьская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
	Число участковых избирательных комиссий	70																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																											
																																																																													
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
1	"Число избирателей, включенных в списки избирателей"	149380	2724	2451	2651	2492	1849	1833	2023	2800	2582	2702	2549	2501	2510	2487	322	2626	2512	2683	2495	2377	2434	2613	2558	397	99	1695	1931	1793	2528	2340	2437	2476	2386	2338	2458	2256	285	1427	2422	2473	2347	2598	2455	2459	2548	2726	2011	2144	2437	2534	2425	2717	1406	2045	1977	1801	1701	1898	1972	1940	2436	275	2344	2059	2768	87	1847	2083	2454	2371					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	143960	2500	2200	2500	2200	1600	1600	1800	2500	2500	2500	2500	2500	2500	2500	500	2500	2400	2500	2400	2400	2400	2500	2500	390	300	1500	1900	1700	2400	2300	2400	2400	2400	2300	2400	2200	270	1500	2400	2400	2300	2500	2400	2400	2500	2500	2000	2000	2400	2500	2400	2500	1400	2000	1900	1800	1600	1800	1900	1900	2300	300	2300	2000	2500	200	1800	2000	2400	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	80038	1504	1318	1431	1349	1007	927	1128	1495	1349	1487	1311	1378	1460	1410	253	1459	1271	1457	1387	1387	1321	1560	1433	223	99	765	1005	884	1333	1305	1252	1275	1203	1140	1289	1144	247	1269	1177	1408	1272	1394	1371	1311	1379	1454	1051	1234	1111	1377	1273	1425	673	1026	943	1026	1032	1018	1173	930	1332	227	1308	1002	1033	86	744	1161	1278	1294					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3269	22	14	23	9	18	23	12	36	35	31	37	31	49	44	52	30	28	45	37	101	69	49	46	50	0	21	37	13	37	39	29	63	22	34	51	24	23	0	22	26	26	48	56	71	53	58	65	32	39	38	23	19	49	88	46	36	50	39	65	51	30	31	121	20	579	0	40	39	61	64					
6	Число погашенных избирательных бюллетеней	60653	974	868	1046	842	575	650	660	969	1116	982	1152	1091	991	1046	195	1011	1101	998	976	912	1010	891	1021	117	201	714	858	803	1030	956	1119	1062	1175	1126	1060	1032	0	231	1201	966	1002	1058	973	1018	1068	988	884	734	1250	1085	1104	1056	678	886	911	738	518	743	662	919	938	42	871	978	888	114	1016	800	1061	942					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3269	22	14	23	9	18	23	12	36	35	31	37	31	49	44	52	30	28	45	37	101	69	49	46	50	0	21	37	13	37	39	29	63	22	34	51	24	23	0	22	26	26	48	56	71	53	58	65	32	39	38	23	19	49	88	46	36	50	39	65	51	30	31	121	20	579	0	40	39	61	64					
8	Число бюллетеней в стационарных ящиках для голосования	79968	1504	1317	1431	1349	1006	927	1128	1495	1329	1476	1311	1378	1453	1410	252	1459	1271	1457	1382	1387	1321	1557	1430	223	99	762	1003	884	1333	1303	1252	1275	1201	1139	1289	1144	247	1269	1177	1408	1271	1393	1371	1311	1377	1454	1051	1234	1110	1377	1273	1424	673	1026	943	1026	1032	1018	1173	930	1332	227	1307	1002	1033	86	743	1161	1278	1294					
9	Число недействительных избирательных бюллетеней	1177	27	21	15	15	18	6	13	22	16	35	24	28	19	13	10	17	13	16	15	12	22	30	18	9	0	15	22	14	15	27	10	9	16	5	20	20	4	28	12	16	17	11	25	17	22	21	9	15	22	16	18	16	5	9	9	9	4	23	18	23	21	0	26	21	62	1	13	17	30	10					
10	Число действительных избирательных бюллетеней	82060	1499	1310	1439	1343	1006	944	1127	1509	1348	1472	1324	1381	1483	1441	294	1472	1286	1486	1404	1476	1368	1576	1458	264	99	768	1018	883	1355	1315	1271	1329	1207	1168	1320	1148	266	1241	1187	1418	1280	1430	1402	1365	1408	1491	1107	1251	1127	1399	1278	1427	717	1105	980	1053	1078	1034	1220	958	1341	258	1402	1001	1550	85	770	1183	1309	1348					
11	Число полученных открепительных  удостоверений	2506	60	70	40	40	30	30	30	40	40	40	52	42	50	40	0	50	35	45	40	50	40	40	40	10	0	30	35	30	44	30	30	30	60	50	60	40	5	0	50	30	30	50	50	48	50	40	45	35	30	40	40	60	30	30	30	30	30	30	30	35	35	0	30	30	40	0	30	30	30	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2156	55	68	35	39	26	24	30	35	39	37	41	30	41	39	0	39	31	45	40	50	40	31	39	6	0	25	31	23	43	29	25	30	53	42	56	36	0	0	49	30	30	43	38	41	40	31	40	33	28	40	33	51	21	19	18	29	20	29	26	31	30	0	21	24	32	0	18	12	15	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2151	16	16	11	17	4	8	44	19	12	10	16	10	30	18	50	14	10	13	22	15	7	15	18	6	68	44	10	41	21	28	18	23	9	7	15	11	3	834	11	9	13	15	12	10	27	7	12	15	23	5	16	22	24	23	7	7	5	41	11	4	36	91	36	11	36	13	43	13	9	11					
