Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Киров, Первомайская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535					
1	"Число избирателей, внесенных в список"	67905	2246	1987	2301	1898	2447	2318	2093	2046	2496	2275	1438	1713	1598	1284	2613	2309	2250	2440	1424	2609	1403	1715	2055	1456	1487	1380	1856	2166	2049	2962	978	1172	1220	795	658	2768					
2	Число полученных избирательных бюллетеней	63500	2100	1800	2100	1800	2300	2200	2000	1900	2300	2100	1400	1600	1500	1300	2300	2100	2100	2200	1300	2500	1300	1600	2000	1400	1400	1300	1700	2000	1900	2700	900	1100	1200	800	700	2600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36206	1104	1232	1263	1130	1579	1414	1207	1140	1439	1261	758	853	767	534	1384	1119	1243	1378	660	1326	818	829	944	649	761	698	850	1159	1060	1650	293	611	551	428	658	1456					
5	"Число избирательных бюллетеней, выданных вне помещения"	1167	27	34	28	24	18	49	41	23	18	38	27	59	39	35	7	30	39	25	31	24	68	21	59	36	10	32	87	22	32	30	63	17	36	20	0	18					
6	Число погашенных избирательных бюллетеней	26127	969	534	809	646	703	737	752	737	843	801	615	688	694	731	909	951	818	797	609	1150	414	750	997	715	629	570	763	819	808	1020	544	472	613	352	42	1126					
7	Число избирательных бюллетеней в переносных ящиках	1167	27	34	28	24	18	49	41	23	18	38	27	59	39	35	7	30	39	25	31	24	68	21	59	36	10	32	87	22	32	30	63	17	36	20	0	18					
8	Число бюллетеней в стационарных ящиках для голосования	36187	1104	1231	1262	1130	1566	1414	1207	1140	1439	1259	758	853	767	534	1384	1119	1243	1378	660	1326	818	829	944	649	761	698	850	1159	1060	1650	293	610	551	428	657	1456					
9	Число недействительных избирательных бюллетеней	217	6	8	8	5	6	7	7	6	0	4	6	3	2	4	1	8	4	4	2	4	8	13	6	3	10	8	11	9	5	6	1	10	9	9	9	5					
10	Число действительных избирательных бюллетеней	37137	1125	1257	1282	1149	1578	1456	1241	1157	1457	1293	779	909	804	565	1390	1141	1278	1399	689	1346	878	837	997	682	761	722	926	1172	1087	1674	355	617	578	439	648	1469					
11	Число полученных открепительных  удостоверений	1315	50	35	50	35	45	45	35	35	45	40	30	30	30	25	45	45	45	60	25	50	30	30	40	30	30	30	40	45	40	50	20	30	30	20	0	50					
12	Число выданных открепительных удостоверений	497	4	18	12	16	25	28	20	18	23	14	13	14	13	12	26	14	15	42	16	13	7	3	8	23	15	13	9	8	4	7	5	11	4	6	0	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	906	17	20	12	22	22	12	11	22	16	24	16	13	14	8	23	14	31	40	9	12	12	9	8	10	5	9	19	9	5	15	1	5	5	11	406	19					
14	Число неиспользованных открепительных удостоверений	818	46	17	38	19	20	17	15	17	22	26	17	16	17	13	19	31	30	18	9	37	23	27	32	7	15	17	31	37	36	43	15	19	26	14	0	32					
15	"Число открепительных удостоверений, выданных в ТИК"	46	0	0	1	0	3	1	0	1	1	1	1	2	0	1	2	0	3	1	0	4	0	2	4	3	1	2	2	0	2	1	1	1	3	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2249	64	99	80	65	130	99	89	87	90	128	53	65	45	35	85	99	85	71	38	94	60	29	44	48	32	29	53	57	61	76	16	31	15	21	12	64					
		6.02%	5.66%	7.83%	6.20%	5.63%	8.21%	6.77%	7.13%	7.48%	6.18%	9.87%	6.75%	7.13%	5.58%	6.15%	6.11%	8.62%	6.63%	5.06%	5.50%	6.96%	6.77%	3.41%	4.39%	7.01%	4.15%	3.97%	5.66%	4.83%	5.59%	4.52%	4.49%	4.94%	2.56%	4.69%	1.83%	4.34%					
19	. Малышкин Олег Александрович	890	21	24	33	25	31	30	35	23	7	16	17	18	17	19	23	24	29	21	13	41	21	25	33	21	20	21	24	33	29	47	9	24	14	7	64	31					
		2.38%	1.86%	1.90%	2.56%	2.17%	1.96%	2.05%	2.80%	1.98%	0.48%	1.23%	2.17%	1.97%	2.11%	3.34%	1.65%	2.09%	2.26%	1.50%	1.88%	3.04%	2.37%	2.94%	3.29%	3.07%	2.59%	2.88%	2.56%	2.79%	2.66%	2.80%	2.53%	3.83%	2.39%	1.56%	9.74%	2.10%					
20	. Миронов Сергей Михайлович	357	14	18	17	8	17	11	18	13	36	11	3	6	2	10	6	7	6	15	7	10	4	9	2	5	8	14	4	9	15	8	9	2	8	5	4	16					
		0.96%	1.24%	1.42%	1.32%	0.69%	1.07%	0.75%	1.44%	1.12%	2.47%	0.85%	0.38%	0.66%	0.25%	1.76%	0.43%	0.61%	0.47%	1.07%	1.01%	0.74%	0.45%	1.06%	0.20%	0.73%	1.04%	1.92%	0.43%	0.76%	1.37%	0.48%	2.53%	0.32%	1.36%	1.12%	0.61%	1.09%					
21	. Путин Владимир Владимирович	24941	732	821	847	778	933	909	799	758	945	800	492	589	550	373	1013	702	852	1024	484	872	535	622	729	466	535	484	606	808	742	1235	253	409	434	303	481	1026					
		66.77%	64.72%	64.90%	65.66%	67.42%	58.90%	62.13%	64.02%	65.18%	64.86%	61.68%	62.68%	64.58%	68.24%	65.55%	72.83%	61.10%	66.46%	72.99%	70.04%	64.59%	60.38%	73.18%	72.68%	68.03%	69.39%	66.30%	64.67%	68.42%	67.95%	73.51%	71.07%	65.23%	73.94%	67.63%	73.21%	69.61%					
22	. Хакамада Ирина Муцуовна	2284	75	94	71	74	117	100	89	86	103	102	69	97	76	32	109	108	83	69	50	80	53	25	58	30	25	34	35	50	39	71	7	24	22	10	34	83					
		6.11%	6.63%	7.43%	5.50%	6.41%	7.39%	6.84%	7.13%	7.39%	7.07%	7.86%	8.79%	10.64%	9.43%	5.62%	7.84%	9.40%	6.47%	4.92%	7.24%	5.93%	5.98%	2.94%	5.78%	4.38%	3.24%	4.66%	3.74%	4.23%	3.57%	4.23%	1.97%	3.83%	3.75%	2.23%	5.18%	5.63%					
23	. Харитонов Николай Михайлович	4964	185	147	186	150	288	250	162	148	215	180	104	101	71	73	100	161	171	144	64	188	174	89	95	83	119	84	182	182	175	175	51	96	79	80	11	201					
