Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Тетюшская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695					
1	"Число избирателей, внесенных в список"	19383	987	664	666	912	947	912	194	714	970	1319	164	367	250	208	579	407	376	205	445	154	318	265	511	190	174	267	148	265	206	150	360	368	313	109	113	141	110	271	146	256	411	181	221	196	270	267	368	115	445	119	112	278	173	106					
2	Число полученных избирательных бюллетеней	19459	964	661	678	932	948	895	195	679	965	1328	167	372	249	208	584	414	383	206	439	157	326	262	522	192	178	275	142	268	199	151	362	372	320	113	115	142	116	271	149	254	412	187	225	196	272	267	373	116	455	125	111	284	176	107					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17078	785	525	488	824	889	761	179	621	813	1136	153	361	239	187	378	358	371	199	412	140	284	262	382	177	174	241	142	253	186	133	339	290	296	109	113	137	99	271	146	236	369	148	207	170	270	267	364	105	365	107	98	255	161	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	1588	102	65	152	55	41	58	12	58	55	97	11	6	6	18	121	49	5	6	14	14	34	0	126	12	0	26	0	12	12	15	20	78	17	0	0	4	11	0	0	15	40	29	14	26	0	0	4	10	76	12	12	23	12	3					
6	Число погашенных избирательных бюллетеней	793	77	71	38	53	18	76	4	0	97	95	3	5	4	3	85	7	7	1	13	3	8	0	14	3	4	8	0	3	1	3	3	4	7	4	2	1	6	0	3	3	3	10	4	0	2	0	5	1	14	6	1	6	3	1					
7	Число избирательных бюллетеней в переносных ящиках	1588	102	65	152	55	41	58	12	58	55	97	11	6	6	18	121	49	5	6	14	14	34	0	126	12	0	26	0	12	12	15	20	78	17	0	0	4	11	0	0	15	40	29	14	26	0	0	4	10	76	12	12	23	12	3					
8	Число бюллетеней в стационарных ящиках для голосования	17076	785	523	488	824	889	761	179	621	813	1136	153	361	239	187	378	358	371	199	412	140	284	262	382	177	174	241	142	253	186	133	339	290	296	109	113	137	99	271	146	236	369	148	207	170	270	267	364	105	365	107	98	255	161	103					
9	Число недействительных избирательных бюллетеней	107	6	7	5	0	1	3	0	5	0	2	0	0	0	0	29	4	0	0	6	0	0	2	2	1	0	0	0	2	2	1	0	5	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	6	0	0	0	8	0					
10	Число действительных избирательных бюллетеней	18557	881	581	635	879	929	816	191	674	868	1231	164	367	245	205	470	403	376	205	420	154	318	260	506	188	174	267	142	263	196	147	359	363	313	109	113	141	110	271	146	251	409	171	221	192	270	267	368	115	435	119	110	278	165	106					
