Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Пенжинская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1716	52	452	173	605	50	209	175									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2500	55	580	195	1160	50	240	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	220	0	17	7	186	0	10	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	924	45	190	123	258	40	149	119									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	26	0	5	0	16	0	2	3									
6	Число погашенных избирательных бюллетеней	1330	10	368	65	700	10	79	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	245	0	22	7	201	0	12	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	924	45	190	123	258	40	149	119									
9	Число недействительных избирательных бюллетеней	28	1	6	2	6	0	5	8									
10	Число действительных избирательных бюллетеней	1141	44	206	128	453	40	156	114									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	24	0	10	0	9	0	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	8	0	4	0	0	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6	1	0	0	1	2	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	16	0	6	0	9	0	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	5	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	12	1	1	3	3	0	3	1									
		1.03%	2.22%	0.47%	2.31%	0.65%	0.00%	1.86%	0.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	33	0	5	0	17	1	4	6									
		2.82%	0.00%	2.36%	0.00%	3.70%	2.50%	2.48%	4.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	28	1	3	1	15	1	3	4									
		2.40%	2.22%	1.42%	0.77%	3.27%	2.50%	1.86%	3.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	694	38	119	102	228	30	102	75									
		59.37%	84.44%	56.13%	78.46%	49.67%	75.00%	63.35%	61.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	2	1	0	5	0	1	0									
		0.77%	4.44%	0.47%	0.00%	1.09%	0.00%	0.62%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	1	1	0	0	0									
		0.17%	0.00%	0.00%	0.77%	0.22%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	208	0	47	12	99	5	23	22									
		17.79%	0.00%	22.17%	9.23%	21.57%	12.50%	14.29%	18.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	0	0	2	0	0	0									
		0.17%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	5	0	0	1	4	0	0	0									
		0.43%	0.00%	0.00%	0.77%	0.87%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	3	0	1	0									
		0.34%	0.00%	0.00%	0.00%	0.65%	0.00%	0.62%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	3	0	5	0	1	1									
		0.86%	0.00%	1.42%	0.00%	1.09%	0.00%	0.62%	0.82%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	90	0	17	6	49	2	12	4									
		7.70%	0.00%	8.02%	4.62%	10.68%	5.00%	7.45%	3.28%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	0	0	1	6	0	1	0									
		0.68%	0.00%	0.00%	0.77%	1.31%	0.00%	0.62%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	36	2	10	1	16	1	5	1									
		3.08%	4.44%	4.72%	0.77%	3.49%	2.50%	3.11%	0.82%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
