Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Домбаровская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482					
1	"Число избирателей, внесенных в список"	12713	1002	180	162	560	190	189	84	125	601	398	94	649	75	96	663	142	81	199	349	205	143	1302	832	960	351	834	1036	1211					
2	Число полученных избирательных бюллетеней	12447	1001	177	160	569	185	192	94	127	590	402	96	642	77	98	653	144	83	186	330	200	146	1257	783	967	342	756	1021	1169					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7307	576	119	121	348	105	135	75	101	448	226	70	502	65	87	437	92	52	155	219	166	121	553	262	473	178	378	545	698					
5	"Число избирательных бюллетеней, выданных вне помещения"	504	24	4	0	26	15	12	0	0	15	26	0	19	0	7	51	0	0	0	5	0	0	39	143	13	8	53	31	13					
6	Число погашенных избирательных бюллетеней	4635	401	54	39	195	65	44	19	26	127	150	26	121	12	4	165	52	31	31	106	34	25	665	378	481	156	325	445	458					
7	Число избирательных бюллетеней в переносных ящиках	504	24	4	0	26	15	12	0	0	15	26	0	19	0	7	51	0	0	0	5	0	0	39	143	13	8	53	31	13					
8	Число бюллетеней в стационарных ящиках для голосования	7307	576	119	121	348	105	135	75	101	448	226	70	502	65	87	437	92	52	155	219	166	121	553	262	473	178	378	545	698					
9	Число недействительных избирательных бюллетеней	107	16	3	0	4	0	0	2	4	3	4	1	12	0	0	9	4	0	2	2	2	3	8	3	4	1	7	6	7					
10	Число действительных избирательных бюллетеней	7704	584	120	121	370	120	147	73	97	460	248	69	509	65	94	479	88	52	153	222	164	118	584	402	482	185	424	570	704					
11	Число полученных открепительных  удостоверений	299	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	29	10	10					
12	Число выданных открепительных удостоверений	72	5	0	0	9	1	1	0	0	0	4	0	6	0	0	3	0	0	4	5	0	1	4	4	4	1	6	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	3	2	3	2	1	0	0	2	1	3	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	3	4					
14	Число неиспользованных открепительных удостоверений	227	5	10	10	1	9	9	10	10	10	6	10	4	10	10	7	10	10	6	5	10	9	6	6	6	9	23	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	247	21	0	6	8	4	1	2	1	11	2	0	16	0	1	19	7	0	2	1	13	2	19	18	18	9	15	19	32					
		3.16%	3.50%	0.00%	4.96%	2.14%	3.33%	0.68%	2.67%	0.99%	2.38%	0.79%	0.00%	3.07%	0.00%	1.06%	3.89%	7.61%	0.00%	1.29%	0.45%	7.83%	1.65%	3.21%	4.44%	3.70%	4.84%	3.48%	3.30%	4.50%					
19	. Малышкин Олег Александрович	223	14	3	0	9	2	8	1	0	15	6	0	10	0	0	15	3	0	1	3	2	2	15	15	26	9	22	19	23					
		2.85%	2.33%	2.44%	0.00%	2.41%	1.67%	5.44%	1.33%	0.00%	3.24%	2.38%	0.00%	1.92%	0.00%	0.00%	3.07%	3.26%	0.00%	0.65%	1.34%	1.20%	1.65%	2.53%	3.70%	5.35%	4.84%	5.10%	3.30%	3.23%					
20	. Миронов Сергей Михайлович	43	1	0	0	2	0	0	0	0	3	2	1	9	0	1	2	0	0	1	2	1	1	3	2	3	1	5	1	2					
		0.55%	0.17%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.65%	0.79%	1.43%	1.73%	0.00%	1.06%	0.41%	0.00%	0.00%	0.65%	0.89%	0.60%	0.83%	0.51%	0.49%	0.62%	0.54%	1.16%	0.17%	0.28%					
21	. Путин Владимир Владимирович	5314	350	79	58	241	93	130	53	51	344	184	55	382	56	75	335	63	28	121	188	128	79	406	295	299	131	273	368	449					
		68.03%	58.33%	64.23%	47.93%	64.44%	77.50%	88.44%	70.67%	50.50%	74.30%	73.02%	78.57%	73.32%	86.15%	79.79%	68.65%	68.48%	53.85%	78.06%	83.93%	77.11%	65.29%	68.58%	72.84%	61.52%	70.43%	63.34%	63.89%	63.15%					
22	. Хакамада Ирина Муцуовна	131	6	1	4	9	1	2	1	5	8	6	2	6	4	0	10	2	1	2	1	1	1	7	1	9	1	6	14	20					
		1.68%	1.00%	0.81%	3.31%	2.41%	0.83%	1.36%	1.33%	4.95%	1.73%	2.38%	2.86%	1.15%	6.15%	0.00%	2.05%	2.17%	1.92%	1.29%	0.45%	0.60%	0.83%	1.18%	0.25%	1.85%	0.54%	1.39%	2.43%	2.81%					
23	. Харитонов Николай Михайлович	1583	184	34	53	98	18	5	15	37	60	46	11	80	5	17	92	13	23	25	25	18	26	121	68	113	30	85	129	152					
		20.27%	30.67%	27.64%	43.80%	26.20%	15.00%	3.40%	20.00%	36.63%	12.96%	18.25%	15.71%	15.36%	7.69%	18.09%	18.85%	14.13%	44.23%	16.13%	11.16%	10.84%	21.49%	20.44%	16.79%	23.25%	16.13%	19.72%	22.40%	21.38%					
																																			
24	Против всех	163	8	3	0	3	2	1	1	3	19	2	0	6	0	0	6	0	0	1	2	1	7	13	3	14	4	18	20	26					
		2.09%	1.33%	2.44%	0.00%	0.80%	1.67%	0.68%	1.33%	2.97%	4.10%	0.79%	0.00%	1.15%	0.00%	0.00%	1.23%	0.00%	0.00%	0.65%	0.89%	0.60%	5.79%	2.20%	0.74%	2.88%	2.15%	4.18%	3.47%	3.66%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
