Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Пенза, Ленинская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676					
1	"Число избирателей, внесенных в список"	80531	2813	2854	2532	2715	2442	2420	2407	2283	1784	2295	277	2282	2400	2376	2457	2883	120	2423	2050	2258	2115	2292	2511	1893	2485	1650	2036	1912	2158	2608	2441	1810	2335	1824	2689	1700	2001					
2	Число полученных избирательных бюллетеней	80960	2824	2866	2547	2757	2469	2445	2440	2303	1755	2307	290	2327	2459	2409	2536	2826	105	2478	2067	2288	2131	2304	2490	1917	2470	1665	2061	1962	2173	2504	2486	1835	2356	1654	2714	1718	2022					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46204	1330	1274	1528	1643	1416	1507	1441	1366	1032	1270	170	1466	1403	1452	1187	1342	105	1490	1189	1325	1273	1443	1632	1103	1448	972	1286	1310	1299	1144	1348	1168	1326	972	1437	955	1152					
5	"Число избирательных бюллетеней, выданных вне помещения"	2600	180	109	63	50	74	47	54	67	40	75	71	37	80	50	55	88	0	44	57	59	49	65	58	60	27	50	53	59	54	204	70	64	87	214	59	73	54					
6	Число погашенных избирательных бюллетеней	32156	1314	1483	956	1064	979	891	945	870	683	962	49	824	976	907	1294	1396	0	944	821	904	809	796	800	754	995	643	722	593	820	1156	1068	603	943	468	1218	690	816					
7	Число избирательных бюллетеней в переносных ящиках	2600	180	109	63	50	74	47	54	67	40	75	71	37	80	50	55	88	0	44	57	59	49	65	58	60	27	50	53	59	54	204	70	64	87	214	59	73	54					
8	Число бюллетеней в стационарных ящиках для голосования	46178	1330	1274	1528	1643	1415	1506	1440	1366	1032	1269	170	1466	1402	1452	1187	1342	105	1488	1189	1325	1273	1443	1632	1101	1446	972	1286	1308	1296	1144	1346	1163	1324	972	1437	954	1152					
9	Число недействительных избирательных бюллетеней	360	11	22	7	20	3	16	11	8	11	11	4	8	9	8	15	11	0	16	6	13	19	20	13	10	12	4	4	9	6	4	5	8	6	6	18	1	5					
10	Число действительных избирательных бюллетеней	48418	1499	1361	1584	1673	1486	1537	1483	1425	1061	1333	237	1495	1473	1494	1227	1419	105	1516	1240	1371	1303	1488	1677	1151	1461	1018	1335	1358	1344	1344	1411	1219	1405	1180	1478	1026	1201					
11	Число полученных открепительных  удостоверений	1314	41	33	35	40	35	25	35	35	30	30	0	45	35	40	30	40	0	45	30	40	30	40	45	40	40	20	35	55	40	30	80	30	25	20	50	40	50					
12	Число выданных открепительных удостоверений	1109	33	25	33	40	28	21	28	30	21	22	0	41	35	39	21	34	0	39	27	37	24	34	40	26	34	17	25	47	38	28	68	23	22	17	47	30	35					
