Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Крыловская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536					
1	"Число избирателей, внесенных в список"	25794	1861	752	1230	1658	1083	2250	243	687	751	948	1512	1745	789	2060	1320	279	149	156	295	294	110	146	975	209	237	115	1527	141	93	230	123	100	1158	332	97	139					
2	Число полученных избирательных бюллетеней	26349	1889	756	1235	1690	1092	2305	245	694	765	961	1621	1754	820	2059	1311	295	162	181	297	314	127	149	989	205	229	120	1559	143	95	233	131	101	1204	376	101	141					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14951	937	433	709	920	598	1220	111	351	417	507	882	910	494	996	705	175	114	139	218	185	105	135	598	156	174	97	1058	131	53	184	101	83	688	183	65	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	1307	71	42	40	47	41	138	30	20	56	88	35	68	29	107	42	21	10	0	14	14	0	0	48	31	39	10	101	9	18	19	5	0	40	51	21	2					
6	Число погашенных избирательных бюллетеней	10091	881	281	486	723	453	947	104	323	292	366	704	776	297	956	564	99	38	42	65	115	22	14	343	18	16	13	400	3	24	30	25	18	476	142	15	20					
7	Число избирательных бюллетеней в переносных ящиках	1307	71	42	40	47	41	138	30	20	56	88	35	68	29	107	42	21	10	0	14	14	0	0	48	31	39	10	101	9	18	19	5	0	40	51	21	2					
8	Число бюллетеней в стационарных ящиках для голосования	14951	937	433	709	920	598	1220	111	351	417	507	882	910	494	996	705	175	114	139	218	185	105	135	598	156	174	97	1058	131	53	184	101	83	688	183	65	119					
9	Число недействительных избирательных бюллетеней	104	11	2	10	7	5	5	1	2	1	2	6	3	4	7	11	0	0	0	3	0	1	0	6	2	0	1	5	0	0	1	0	0	5	1	1	1					
10	Число действительных избирательных бюллетеней	16154	997	473	739	960	634	1353	140	369	472	593	911	975	519	1096	736	196	124	139	229	199	104	135	640	185	213	106	1154	140	71	202	106	83	723	233	85	120					
