Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Старомайнская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581					
1	"Число избирателей, внесенных в список"	15298	1801	1807	1874	982	91	70	63	383	84	402	118	295	331	407	217	378	668	283	231	481	370	360	611	371	271	907	249	323	870					
2	Число полученных избирательных бюллетеней	13816	1625	1634	1683	881	91	66	60	350	86	361	105	263	288	374	200	342	610	251	206	432	337	322	548	343	239	814	221	284	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9667	993	1039	940	674	69	56	50	287	57	258	86	230	231	267	135	296	469	211	189	339	239	228	440	236	137	613	182	218	498					
5	"Число избирательных бюллетеней, выданных вне помещения"	887	51	37	103	48	4	0	0	13	16	61	5	0	18	54	52	36	60	0	0	11	44	25	55	25	33	69	7	26	34					
6	Число погашенных избирательных бюллетеней	3262	581	558	640	159	18	10	10	50	13	42	14	33	39	53	13	10	81	40	17	82	54	69	53	82	69	132	32	40	268					
7	Число избирательных бюллетеней в переносных ящиках	887	51	37	103	48	4	0	0	13	16	61	5	0	18	54	52	36	60	0	0	11	44	25	55	25	33	69	7	26	34					
8	Число бюллетеней в стационарных ящиках для голосования	9665	993	1038	939	674	69	56	50	287	57	258	86	230	231	267	135	296	469	211	189	339	239	228	440	236	137	613	182	218	498					
9	Число недействительных избирательных бюллетеней	111	6	14	6	10	1	0	1	7	0	3	0	0	3	2	1	3	4	3	3	2	5	1	10	5	2	5	0	3	11					
10	Число действительных избирательных бюллетеней	10441	1038	1061	1036	712	72	56	49	293	73	316	91	230	246	319	186	329	525	208	186	348	278	252	485	256	168	677	189	241	521					
11	Число полученных открепительных  удостоверений	278	35	35	35	15	2	2	2	8	2	8	2	5	5	8	5	10	12	5	5	5	5	5	12	5	5	15	5	5	15					
12	Число выданных открепительных удостоверений	62	10	21	12	1	0	0	0	3	0	2	1	0	0	0	2	2	0	0	0	1	1	1	1	0	0	1	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	7	14	8	7	0	5	3	1	0	1	3	1	4	0	0	1	2	2	1	3	5	4	2	1	2	3	2	5	2					
14	Число неиспользованных открепительных удостоверений	216	25	14	23	14	2	2	2	5	2	6	1	5	5	8	3	8	12	5	5	4	4	4	11	5	5	14	5	4	13					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
