Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Верхоянская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
1	"Число избирателей, внесенных в список"	8155	1400	1236	326	265	795	223	330	225	230	445	346	86	192	147	485	47	596	204	99	478					
2	Число полученных избирательных бюллетеней	8587	1537	1125	350	260	875	240	355	255	240	470	365	100	205	150	535	55	640	220	115	495					
3	"Число избирательных бюллетеней, выданных  досрочно"	490	54	2	0	0	0	46	59	19	21	89	16	0	4	5	44	0	42	11	0	78					
4	"Число избирательных бюллетеней, выданных в день голосования"	5656	866	663	264	191	641	161	218	165	176	260	263	79	173	113	343	41	424	186	89	340					
5	"Число избирательных бюллетеней, выданных вне помещения"	669	77	135	2	22	86	7	51	13	19	46	27	3	6	10	60	1	58	7	8	31					
6	Число погашенных избирательных бюллетеней	1772	540	325	84	47	148	26	27	58	24	75	59	18	22	22	88	13	116	16	18	46					
7	Число избирательных бюллетеней в переносных ящиках	1159	131	137	2	22	86	53	110	32	40	135	43	3	10	15	104	1	100	18	8	109					
8	Число бюллетеней в стационарных ящиках для голосования	5656	866	663	264	191	641	161	218	165	176	260	263	79	173	113	343	41	424	186	89	340					
9	Число недействительных избирательных бюллетеней	70	5	14	4	2	7	2	8	3	1	6	1	0	6	2	2	0	3	2	0	2					
10	Число действительных избирательных бюллетеней	6745	992	786	262	211	720	212	320	194	215	389	305	82	177	126	445	42	521	202	97	447					
11	Число полученных открепительных  удостоверений	391	59	35	15	0	55	15	20	20	15	25	18	5	10	9	20	5	25	10	10	20					
12	Число выданных открепительных удостоверений	313	57	30	14	0	55	15	18	14	5	9	18	5	4	8	18	2	15	7	7	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	27	14	3	7	8	3	4	5	5	12	7	1	4	2	5	1	3	4	2	13					
14	Число неиспользованных открепительных удостоверений	78	2	5	1	0	0	0	2	6	10	16	0	0	6	1	2	3	10	3	3	8					
15	"Число открепительных удостоверений, выданных в ТИК"	9	6	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	254	41	27	3	13	23	4	16	17	11	13	7	2	8	1	15	1	18	2	4	28					
		3.73%	4.11%	3.38%	1.13%	6.10%	3.16%	1.87%	4.88%	8.63%	5.09%	3.29%	2.29%	2.44%	4.37%	0.78%	3.36%	2.38%	3.44%	0.98%	4.12%	6.24%					
19	. Малышкин Олег Александрович	101	26	21	7	6	2	0	4	8	3	3	2	1	2	1	3	0	9	0	0	3					
		1.48%	2.61%	2.62%	2.63%	2.82%	0.28%	0.00%	1.22%	4.06%	1.39%	0.76%	0.65%	1.22%	1.09%	0.78%	0.67%	0.00%	1.72%	0.00%	0.00%	0.67%					
20	. Миронов Сергей Михайлович	42	10	2	1	3	5	0	1	3	1	3	0	2	2	1	1	1	1	1	1	3					
		0.62%	1.00%	0.25%	0.38%	1.41%	0.69%	0.00%	0.30%	1.52%	0.46%	0.76%	0.00%	2.44%	1.09%	0.78%	0.22%	2.38%	0.19%	0.49%	1.03%	0.67%					
21	. Путин Владимир Владимирович	4841	683	572	177	142	516	149	269	128	155	285	192	50	126	99	326	36	343	174	87	332					
		71.03%	68.51%	71.50%	66.54%	66.67%	70.98%	69.63%	82.01%	64.97%	71.76%	72.15%	62.75%	60.98%	68.85%	77.34%	72.93%	85.71%	65.46%	85.29%	89.69%	73.94%					
22	. Хакамада Ирина Муцуовна	612	99	85	33	8	75	36	12	23	6	44	30	2	19	9	52	1	53	6	2	17					
		8.98%	9.93%	10.62%	12.41%	3.76%	10.32%	16.82%	3.66%	11.68%	2.78%	11.14%	9.80%	2.44%	10.38%	7.03%	11.63%	2.38%	10.11%	2.94%	2.06%	3.79%					
23	. Харитонов Николай Михайлович	780	93	62	31	31	84	22	17	14	37	40	73	24	17	15	47	1	91	17	3	61					
		11.45%	9.33%	7.75%	11.65%	14.55%	11.55%	10.28%	5.18%	7.11%	17.13%	10.13%	23.86%	29.27%	9.29%	11.72%	10.51%	2.38%	17.37%	8.33%	3.09%	13.59%					
																											
24	Против всех	115	40	17	10	8	15	1	1	1	2	1	1	1	3	0	1	2	6	2	0	3					
		1.69%	4.01%	2.12%	3.76%	3.76%	2.06%	0.47%	0.30%	0.51%	0.93%	0.25%	0.33%	1.22%	1.64%	0.00%	0.22%	4.76%	1.15%	0.98%	0.00%	0.67%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
