Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Уфа, Ленинская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
1	"Число избирателей, внесенных в список"	51335	1375	1420	1241	1333	1291	1771	1242	1128	1315	951	1716	622	1230	904	1024	860	2115	2374	864	1414	1384	800	1392	1339	2209	1010	1782	859	2036	2163	2503	2230	1740	2272	156	1270					
2	Число полученных избирательных бюллетеней	48350	1200	1300	1200	1300	1200	1600	1100	1000	1200	1000	1700	600	1300	800	1000	800	2000	2200	800	1300	1200	800	1300	1300	2000	1000	1800	800	2000	2100	2400	2000	1600	2000	150	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30296	1046	765	661	692	843	1179	700	655	635	524	963	276	824	466	547	645	1129	1274	344	800	653	458	788	676	1171	866	1565	482	1308	948	1365	1213	1085	1390	99	1261					
5	"Число избирательных бюллетеней, выданных вне помещения"	2280	35	29	22	23	23	30	70	54	95	21	55	107	109	58	47	22	12	19	147	66	102	91	44	179	43	114	131	47	21	21	17	58	319	8	32	9					
6	Число погашенных избирательных бюллетеней	15774	119	506	517	585	334	391	330	291	470	455	682	217	367	276	406	133	859	907	309	434	445	251	468	445	786	20	104	271	671	1131	1018	729	196	602	19	30					
7	Число избирательных бюллетеней в переносных ящиках	2280	35	29	22	23	23	30	70	54	95	21	55	107	109	58	47	22	12	19	147	66	102	91	44	179	43	114	131	47	21	21	17	58	319	8	32	9					
8	Число бюллетеней в стационарных ящиках для голосования	30296	1046	765	661	692	843	1179	700	655	635	524	963	276	824	466	547	645	1129	1274	344	800	653	458	788	676	1171	866	1565	482	1308	948	1365	1213	1085	1390	99	1261					
9	Число недействительных избирательных бюллетеней	241	3	7	1	0	4	5	4	7	5	3	10	5	4	5	2	8	4	11	0	9	9	5	5	22	18	6	2	7	5	8	14	13	15	12	1	2					
10	Число действительных избирательных бюллетеней	32335	1078	787	682	715	862	1204	766	702	725	542	1008	378	929	519	592	659	1137	1282	491	857	746	544	827	833	1196	974	1694	522	1324	961	1368	1258	1389	1386	130	1268					
11	Число полученных открепительных  удостоверений	1499	44	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	40	40	40	40	40	40	40	40	40	40	40	40	10	20					
12	Число выданных открепительных удостоверений	735	37	18	15	14	22	21	29	21	14	16	21	3	27	20	14	15	25	31	17	11	11	4	40	34	26	13	20	11	40	25	40	13	24	40	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	662	27	22	11	64	21	54	16	15	4	21	11	10	9	8	8	20	6	6	6	8	14	6	4	11	10	4	5	6	10	2	11	15	28	87	5	97					
14	Число неиспользованных открепительных удостоверений	764	7	27	30	31	23	24	16	24	31	29	24	42	18	25	31	30	20	14	28	34	34	41	0	6	14	27	20	29	0	15	0	27	16	0	7	20					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
