Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Новочеркасская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2487	УИК №2488					
1	"Число избирателей, внесенных в список"	139071	2971	2275	1920	1921	1614	502	2257	2567	2427	1395	1661	1869	2765	1583	2735	2789	2319	1731	2075	1894	2710	2194	2552	2361	1263	2112	2228	2655	1986	909	2680	1846	2356	1401	915	374	2636	2641	2859	2918	2228	1685	1832	1968	2042	1890	2185	2514	2356	2576	1675	1632	2351	2159	2493	1366	940	1277	2096	2946	2561	2297	2834	2793	2599	1817	1093					
2	Число полученных избирательных бюллетеней	139800	2900	2200	1800	2000	1600	500	2200	2500	2500	1400	1700	1800	2800	1600	2800	2900	2400	1800	2800	1700	2700	2400	2600	2500	1300	2000	2200	2900	1700	1400	2900	1400	2400	1300	900	400	2600	2700	2900	2800	2200	1700	1800	2000	2100	1800	2300	2500	2300	2500	1600	1700	2400	2100	2500	1300	900	1200	2100	3000	2500	2200	2700	2900	2500	2000	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	83117	1831	1465	1145	1209	928	297	1467	1600	1483	940	916	978	1494	842	2016	1568	1340	947	1094	900	1705	1114	1289	1182	669	1313	1188	1477	1114	604	1536	994	1236	794	572	285	1721	1682	1580	1593	1218	1080	1098	1236	1168	1263	1268	1515	1412	1557	1055	987	1357	1310	1455	826	471	734	1249	1796	1249	1622	2009	1854	1708	1593	919					
5	"Число избирательных бюллетеней, выданных вне помещения"	3898	18	93	32	50	47	0	37	53	33	10	82	26	91	75	37	108	57	47	38	258	56	62	97	153	24	40	46	79	35	5	103	138	188	42	26	9	37	50	30	38	42	39	29	51	24	44	32	28	17	41	20	21	47	35	53	43	25	56	45	39	363	53	37	36	38	16	174					
6	Число погашенных избирательных бюллетеней	52785	1051	642	623	741	625	203	696	847	984	450	702	796	1215	683	747	1224	1003	806	1668	542	939	1224	1214	1165	607	647	966	1344	551	791	1261	268	976	464	302	106	842	968	1290	1169	940	581	673	713	908	493	1000	957	871	902	525	692	996	755	992	431	404	410	806	1165	888	525	654	1010	754	391	7					
7	Число избирательных бюллетеней в переносных ящиках	3898	18	93	32	50	47	0	37	53	33	10	82	26	91	75	37	108	57	47	38	258	56	62	97	153	24	40	46	79	35	5	103	138	188	42	26	9	37	50	30	38	42	39	29	51	24	44	32	28	17	41	20	21	47	35	53	43	25	56	45	39	363	53	37	36	38	16	174					
8	Число бюллетеней в стационарных ящиках для голосования	83092	1830	1464	1145	1206	928	297	1467	1600	1483	937	915	978	1494	842	2016	1567	1340	945	1094	900	1705	1114	1289	1182	668	1313	1188	1477	1114	604	1536	994	1236	793	571	285	1721	1681	1579	1593	1214	1079	1098	1236	1168	1263	1267	1513	1412	1557	1055	987	1357	1310	1455	826	471	734	1249	1796	1249	1622	2009	1854	1708	1593	919					
9	Число недействительных избирательных бюллетеней	458	6	10	3	6	9	3	7	4	4	1	6	4	8	2	9	6	8	6	11	8	12	7	4	9	4	10	10	6	4	0	6	10	7	0	7	3	0	8	7	8	3	4	2	7	4	5	15	15	2	6	7	6	6	10	6	9	1	8	0	7	28	9	12	13	14	11	5					
10	Число действительных избирательных бюллетеней	86532	1842	1547	1174	1250	966	294	1497	1649	1512	946	991	1000	1577	915	2044	1669	1389	986	1121	1150	1749	1169	1382	1326	688	1343	1224	1550	1145	609	1633	1122	1417	835	590	291	1758	1723	1602	1623	1253	1114	1125	1280	1188	1302	1284	1526	1427	1592	1068	1002	1398	1335	1502	860	495	782	1294	1828	1584	1666	2034	1877	1732	1598	1088					
