Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Фроловская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656					
1	"Число избирателей, внесенных в список"	12073	462	852	439	369	302	229	504	113	118	550	99	493	1282	969	458	970	802	121	178	188	894	560	1121					
2	Число полученных избирательных бюллетеней	12230	480	850	460	340	290	220	520	110	118	560	100	490	1300	990	470	980	830	120	180	192	920	570	1140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7661	321	521	289	281	172	165	368	89	72	395	85	340	620	438	293	611	557	88	123	120	606	349	758					
5	"Число избирательных бюллетеней, выданных вне помещения"	1403	73	50	42	30	66	16	44	0	27	59	6	61	121	312	47	90	44	4	19	23	106	85	78					
6	Число погашенных избирательных бюллетеней	3166	86	279	129	29	52	39	108	21	19	106	9	89	559	240	130	279	229	28	38	49	208	136	304					
7	Число избирательных бюллетеней в переносных ящиках	1403	73	50	42	30	66	16	44	0	27	59	6	61	121	312	47	90	44	4	19	23	106	85	78					
8	Число бюллетеней в стационарных ящиках для голосования	7660	321	521	289	281	172	165	368	89	72	395	85	340	620	438	293	611	557	88	123	119	606	349	758					
9	Число недействительных избирательных бюллетеней	106	2	7	10	2	1	4	4	1	1	5	2	3	8	8	6	3	3	0	3	1	17	7	8					
10	Число действительных избирательных бюллетеней	8957	392	564	321	309	237	177	408	88	98	449	89	398	733	742	334	698	598	92	139	141	695	427	828					
11	Число полученных открепительных  удостоверений	297	10	20	20	20	10	10	10	10	10	10	10	10	5	20	10	20	20	10	10	10	9	18	15					
12	Число выданных открепительных удостоверений	114	5	4	17	17	1	2	9	0	0	3	0	0	2	8	3	2	18	1	1	2	3	11	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	4	0	4	4	3	7	1	2	4	3	1	2	0	4	1	0	2	0	0	1	1	1	4					
14	Число неиспользованных открепительных удостоверений	183	5	16	3	3	9	8	1	10	10	7	10	10	3	12	7	18	2	9	9	8	6	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	235	7	22	14	8	10	7	18	4	3	7	5	9	18	23	11	24	14	0	2	0	7	6	16					
		2.59%	1.78%	3.85%	4.23%	2.57%	4.20%	3.87%	4.37%	4.49%	3.03%	1.54%	5.49%	2.24%	2.43%	3.07%	3.24%	3.42%	2.33%	0.00%	1.41%	0.00%	0.98%	1.38%	1.91%					
19	. Малышкин Олег Александрович	245	10	11	6	11	7	5	4	3	2	7	2	8	18	12	8	39	24	10	7	1	21	10	19					
		2.70%	2.54%	1.93%	1.81%	3.54%	2.94%	2.76%	0.97%	3.37%	2.02%	1.54%	2.20%	2.00%	2.43%	1.60%	2.35%	5.56%	3.99%	10.87%	4.93%	0.70%	2.95%	2.30%	2.27%					
20	. Миронов Сергей Михайлович	58	4	6	1	3	0	0	6	0	4	4	0	0	1	3	3	6	4	0	1	2	6	2	2					
		0.64%	1.02%	1.05%	0.30%	0.96%	0.00%	0.00%	1.46%	0.00%	4.04%	0.88%	0.00%	0.00%	0.13%	0.40%	0.88%	0.86%	0.67%	0.00%	0.70%	1.41%	0.84%	0.46%	0.24%					
21	. Путин Владимир Владимирович	5819	288	312	162	198	138	125	285	63	53	346	65	323	486	526	207	452	341	44	94	98	380	263	570					
		64.21%	73.10%	54.64%	48.94%	63.67%	57.98%	69.06%	69.17%	70.79%	53.54%	76.21%	71.43%	80.55%	65.59%	70.13%	60.88%	64.48%	56.74%	47.83%	66.20%	69.01%	53.37%	60.60%	68.18%					
22	. Хакамада Ирина Муцуовна	185	4	10	8	9	7	5	8	2	2	11	0	2	22	12	5	20	17	2	2	0	6	10	21					
		2.04%	1.02%	1.75%	2.42%	2.89%	2.94%	2.76%	1.94%	2.25%	2.02%	2.42%	0.00%	0.50%	2.97%	1.60%	1.47%	2.85%	2.83%	2.17%	1.41%	0.00%	0.84%	2.30%	2.51%					
23	. Харитонов Николай Михайлович	2246	75	182	123	71	73	32	82	14	31	71	16	47	173	159	95	141	184	34	32	38	257	131	185					
		24.78%	19.04%	31.87%	37.16%	22.83%	30.67%	17.68%	19.90%	15.73%	31.31%	15.64%	17.58%	11.72%	23.35%	21.20%	27.94%	20.11%	30.62%	36.96%	22.54%	26.76%	36.10%	30.18%	22.13%					
																														
24	Против всех	169	4	21	7	9	2	3	5	2	3	3	1	9	15	7	5	16	14	2	1	2	18	5	15					
		1.86%	1.02%	3.68%	2.11%	2.89%	0.84%	1.66%	1.21%	2.25%	3.03%	0.66%	1.10%	2.24%	2.02%	0.93%	1.47%	2.28%	2.33%	2.17%	0.70%	1.41%	2.53%	1.15%	1.79%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
