Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Поддорская																
																
Итоги голосования 																
																
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426					
1	"Число избирателей, внесенных в список"	4276	595	376	267	505	216	262	196	1479	380					
2	Число полученных избирательных бюллетеней	4303	608	365	270	505	200	270	197	1485	403					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2487	304	162	161	285	144	132	113	974	212					
5	"Число избирательных бюллетеней, выданных вне помещения"	636	139	119	40	89	33	52	27	78	59					
6	Число погашенных избирательных бюллетеней	1180	165	84	69	131	23	86	57	433	132					
7	Число избирательных бюллетеней в переносных ящиках	636	139	119	40	89	33	52	27	78	59					
8	Число бюллетеней в стационарных ящиках для голосования	2487	304	162	161	285	144	132	113	974	212					
9	Число недействительных избирательных бюллетеней	16	2	2	0	0	0	2	1	8	1					
10	Число действительных избирательных бюллетеней	3107	441	279	201	374	177	182	139	1044	270					
11	Число полученных открепительных  удостоверений	98	15	10	5	10	5	10	3	30	10					
12	Число выданных открепительных удостоверений	56	9	1	0	4	5	6	0	24	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	1	2	0	0	2	3	1	6	0					
14	Число неиспользованных открепительных удостоверений	42	6	9	5	6	0	4	3	6	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	60	11	1	0	2	1	10	1	23	11					
		1.92%	2.48%	0.36%	0.00%	0.53%	0.56%	5.43%	0.71%	2.19%	4.06%					
19	. Малышкин Олег Александрович	60	11	5	2	9	1	4	6	17	5					
		1.92%	2.48%	1.78%	1.00%	2.41%	0.56%	2.17%	4.29%	1.62%	1.85%					
20	. Миронов Сергей Михайлович	40	6	2	1	4	3	1	3	15	5					
		1.28%	1.35%	0.71%	0.50%	1.07%	1.69%	0.54%	2.14%	1.43%	1.85%					
21	. Путин Владимир Владимирович	2407	293	225	164	324	147	133	107	829	185					
		77.07%	66.14%	80.07%	81.59%	86.63%	83.05%	72.28%	76.43%	78.80%	68.27%					
22	. Хакамада Ирина Муцуовна	66	9	2	1	4	6	5	0	29	10					
		2.11%	2.03%	0.71%	0.50%	1.07%	3.39%	2.72%	0.00%	2.76%	3.69%					
23	. Харитонов Николай Михайлович	413	104	36	31	27	15	26	21	104	49					
		13.22%	23.48%	12.81%	15.42%	7.22%	8.47%	14.13%	15.00%	9.89%	18.08%					
																
24	Против всех	61	7	8	2	4	4	3	1	27	5					
		1.95%	1.58%	2.85%	1.00%	1.07%	2.26%	1.63%	0.71%	2.57%	1.85%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
