Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Иультинская														
														
Итоги голосования 														
														
		Сумма	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42					
1	"Число избирателей, внесенных в список"	2642	1499	258	239	129	346	89	82					
2	Число полученных избирательных бюллетеней	2947	1733	256	261	153	345	102	97					
3	"Число избирательных бюллетеней, выданных  досрочно"	126	0	0	35	0	91	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2373	1371	255	198	129	254	86	80					
5	"Число избирательных бюллетеней, выданных вне помещения"	61	49	1	6	0	0	3	2					
6	Число погашенных избирательных бюллетеней	387	313	0	22	24	0	13	15					
7	Число избирательных бюллетеней в переносных ящиках	187	49	1	41	0	91	3	2					
8	Число бюллетеней в стационарных ящиках для голосования	2373	1371	255	198	129	254	86	80					
9	Число недействительных избирательных бюллетеней	24	10	2	1	3	4	2	2					
10	Число действительных избирательных бюллетеней	2536	1410	254	238	126	341	87	80					
11	Число полученных открепительных  удостоверений	169	89	20	15	15	20	5	5					
12	Число выданных открепительных удостоверений	68	36	6	15	2	1	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	25	0	1	1	6	0	3					
14	Число неиспользованных открепительных удостоверений	101	53	14	0	13	19	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	27	16	1	4	1	4	1	0					
		1.05%	1.13%	0.39%	1.67%	0.78%	1.16%	1.12%	0.00%					
19	. Малышкин Олег Александрович	18	5	4	2	4	2	1	0					
		0.70%	0.35%	1.56%	0.84%	3.10%	0.58%	1.12%	0.00%					
20	. Миронов Сергей Михайлович	27	21	3	1	2	0	0	0					
		1.05%	1.48%	1.17%	0.42%	1.55%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2365	1323	231	226	112	313	80	80					
		92.38%	93.17%	90.23%	94.56%	86.82%	90.72%	89.89%	97.56%					
22	. Хакамада Ирина Муцуовна	40	16	5	2	3	11	3	0					
		1.56%	1.13%	1.95%	0.84%	2.33%	3.19%	3.37%	0.00%					
23	. Харитонов Николай Михайлович	41	20	8	1	1	9	2	0					
		1.60%	1.41%	3.12%	0.42%	0.78%	2.61%	2.25%	0.00%					
														
24	Против всех	18	9	2	2	3	2	0	0					
		0.70%	0.63%	0.78%	0.84%	2.33%	0.58%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
