Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Белинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276					
1	"Число избирателей, внесенных в список"	26045	2385	2294	2249	587	416	177	86	661	996	471	861	459	373	638	165	470	292	295	328	181	885	927	56	87	299	950	2406	559	216	93	1549	603	628	122	574	208	116	66	517	97	90	356	133	124					
2	Число полученных избирательных бюллетеней	26321	2420	2288	2255	585	426	203	87	667	1009	483	870	462	378	640	167	494	298	313	330	179	884	932	57	90	302	958	2424	563	220	95	1568	614	666	121	568	201	116	68	513	99	92	353	136	127					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15480	1216	1056	1132	373	325	147	57	448	427	276	585	295	249	407	91	278	98	162	257	134	726	646	41	81	230	559	1164	448	174	84	862	332	341	95	493	135	99	60	346	59	77	257	96	62					
5	"Число избирательных бюллетеней, выданных вне помещения"	3011	62	186	149	82	31	30	16	97	242	44	106	70	49	104	42	102	117	54	38	32	15	121	8	0	19	218	157	13	21	0	178	105	157	13	45	60	10	6	70	33	9	30	19	51					
6	Число погашенных избирательных бюллетеней	7830	1142	1046	974	130	70	26	14	122	340	163	179	97	80	129	34	114	83	97	35	13	143	165	8	9	53	181	1103	102	25	11	528	177	168	13	30	6	7	2	97	7	6	66	21	14					
7	Число избирательных бюллетеней в переносных ящиках	3011	62	186	149	82	31	30	16	97	242	44	106	70	49	104	42	102	117	54	38	32	15	121	8	0	19	218	157	13	21	0	178	105	157	13	45	60	10	6	70	33	9	30	19	51					
8	Число бюллетеней в стационарных ящиках для голосования	15478	1216	1056	1132	373	325	147	57	448	427	276	585	295	249	407	91	278	98	162	257	134	726	646	41	81	230	559	1164	448	174	84	862	332	339	95	493	135	99	60	346	59	77	257	96	62					
9	Число недействительных избирательных бюллетеней	141	14	4	9	2	1	1	0	1	10	6	2	11	3	0	0	0	0	3	0	2	23	5	0	0	4	4	11	1	0	0	8	3	5	1	4	0	0	0	0	1	0	2	0	0					
10	Число действительных избирательных бюллетеней	18348	1264	1238	1272	453	355	176	73	544	659	314	689	354	295	511	133	380	215	213	295	164	718	762	49	81	245	773	1310	460	195	84	1032	434	491	107	534	195	109	66	416	91	86	285	115	113					
