Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Дзержинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110					
1	"Число избирателей, внесенных в список"	46659	2523	249	2376	340	241	247	119	289	262	500	382	124	541	83	2800	955	184	270	438	527	250	2381	2522	2431	2256	1113	2355	1166	2366	1829	2300	2018	2175	2042	2174	1170	1008	562	226	483	228	154					
2	Число полученных избирательных бюллетеней	42000	2350	240	2131	310	220	230	127	270	240	450	350	132	455	84	2555	875	181	255	395	475	235	2160	2300	2130	2000	960	2080	1030	1970	1620	2000	1810	1930	1850	1970	1040	950	550	240	450	245	155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22429	1489	149	1333	128	127	145	58	127	130	318	175	43	299	2	1354	460	86	153	224	261	13	1202	1063	998	1160	565	997	417	895	934	1120	1005	1072	1015	1072	564	522	235	97	239	93	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	2231	68	20	36	87	25	54	17	39	37	29	39	29	28	61	90	98	36	39	79	62	114	19	51	50	13	78	32	15	95	129	135	40	36	18	19	18	16	196	55	64	38	27					
6	Число погашенных избирательных бюллетеней	17340	793	71	762	95	68	31	52	104	73	103	136	60	128	21	1111	317	59	63	92	152	108	939	1186	1082	827	317	1051	598	980	557	745	765	822	817	879	458	412	119	88	147	114	38					
7	Число избирательных бюллетеней в переносных ящиках	2231	68	20	36	87	25	54	17	39	37	29	39	29	28	61	90	98	36	39	79	62	114	19	51	50	13	78	32	15	95	129	135	40	36	18	19	18	16	196	55	64	38	27					
8	Число бюллетеней в стационарных ящиках для голосования	22410	1489	149	1331	128	127	145	58	127	130	318	175	43	299	2	1346	460	85	153	224	261	13	1202	1062	998	1158	565	993	417	895	934	1120	1004	1072	1015	1072	564	522	235	97	239	93	90					
9	Число недействительных избирательных бюллетеней	205	15	2	11	1	1	0	0	4	2	2	2	0	0	0	24	7	1	1	1	5	0	12	3	7	8	5	7	4	4	7	10	13	11	8	12	7	5	0	0	2	0	1					
10	Число действительных избирательных бюллетеней	24436	1542	167	1356	214	151	199	75	162	165	345	212	72	327	63	1412	551	120	191	302	318	127	1209	1110	1041	1163	638	1018	428	986	1056	1245	1031	1097	1025	1079	575	533	431	152	301	131	116					
