Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Мокшанская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477					
1	"Число избирателей, внесенных в список"	23504	335	669	508	477	317	95	224	91	1975	309	512	170	390	533	257	421	1496	352	397	112	226	95	418	175	686	948	645	241	105	420	267	207	1461	1096	1042	1461	1218	1631	1522					
2	Число полученных избирательных бюллетеней	23510	337	669	503	481	318	93	223	91	1981	322	515	166	394	540	264	425	1498	344	397	113	222	95	419	172	682	946	655	238	107	428	268	209	1458	1088	1045	1488	1230	1621	1465					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13709	182	430	309	316	232	59	160	73	1096	140	283	110	212	269	127	322	783	251	302	77	183	63	306	144	425	534	378	203	82	231	219	149	756	541	560	828	745	832	797					
5	"Число избирательных бюллетеней, выданных вне помещения"	2319	96	40	61	71	17	21	27	13	212	109	134	39	99	134	48	31	141	8	17	14	0	29	47	0	69	146	128	11	5	70	0	11	79	43	53	38	44	67	147					
6	Число погашенных избирательных бюллетеней	7482	59	199	133	94	69	13	36	5	673	73	98	17	83	137	89	72	574	85	78	22	39	3	66	28	188	266	149	24	20	127	49	49	623	504	432	622	441	722	521					
7	Число избирательных бюллетеней в переносных ящиках	2319	96	40	61	71	17	21	27	13	212	109	134	39	99	134	48	31	141	8	17	14	0	29	47	0	69	146	128	11	5	70	0	11	79	43	53	38	44	67	147					
8	Число бюллетеней в стационарных ящиках для голосования	13706	182	430	309	316	232	59	160	73	1096	140	283	110	210	269	127	322	783	251	302	77	183	63	305	144	425	534	378	203	82	231	219	149	756	541	560	828	745	832	797					
9	Число недействительных избирательных бюллетеней	166	1	0	3	4	3	0	2	0	13	1	1	2	0	3	0	0	12	0	4	0	4	0	9	5	11	2	18	0	0	2	3	2	8	4	9	7	9	17	7					
10	Число действительных избирательных бюллетеней	15859	277	470	367	383	246	80	185	86	1295	248	416	147	309	400	175	353	912	259	315	91	179	92	343	139	483	678	488	214	87	299	216	158	827	580	604	859	780	882	937					
11	Число полученных открепительных  удостоверений	295	4	8	6	6	4	1	3	1	15	4	11	2	5	8	3	6	19	4	5	2	3	2	4	2	9	12	9	3	1	10	3	3	18	13	13	18	15	21	19					
12	Число выданных открепительных удостоверений	122	4	2	0	1	0	0	1	0	10	3	9	0	2	8	3	2	13	0	2	0	0	2	2	0	3	5	2	0	0	6	0	0	3	9	5	9	4	3	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	173	2	6	2	4	2	1	3	0	7	1	3	0	0	3	1	0	9	2	4	0	0	0	1	0	5	1	1	3	0	2	0	0	3	5	11	7	4	2	78					
14	Число неиспользованных открепительных удостоверений	173	0	6	6	5	4	1	2	1	5	1	2	2	3	0	0	4	6	4	3	2	3	0	2	2	6	7	7	3	1	4	3	3	15	4	8	9	11	18	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	572	8	16	10	6	2	2	9	3	38	9	19	7	8	14	5	8	59	7	8	4	8	2	12	2	16	18	6	5	1	12	11	9	23	33	25	42	25	31	49					
		3.57%	2.88%	3.40%	2.70%	1.55%	0.80%	2.50%	4.81%	3.49%	2.91%	3.61%	4.56%	4.70%	2.59%	3.47%	2.86%	2.27%	6.39%	2.70%	2.51%	4.40%	4.37%	2.17%	3.41%	1.39%	3.24%	2.65%	1.19%	2.34%	1.15%	3.99%	5.02%	5.62%	2.75%	5.65%	4.08%	4.85%	3.17%	3.45%	5.19%					
19	. Малышкин Олег Александрович	510	4	16	17	8	7	2	5	3	31	9	14	6	3	19	5	2	24	7	2	0	11	1	22	4	17	22	11	5	1	13	6	2	34	21	9	36	35	40	36					
