Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Новомосковская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
1	"Число избирателей, внесенных в список"	127201	1712	870	2127	2510	2025	2172	1617	1381	2173	2061	2332	1355	2520	2968	2770	2718	2665	2049	2224	2624	137	25	2681	2401	1962	2048	2127	1564	2271	2095	2150	1715	2612	2099	2129	2141	2302	2179	2461	2063	2121	2751	2731	2186	2456	2215	2130	2914	2782	287	2258	82	724	342	2142	2025	2206	1345	1269	272	255	447	317	431	220	1390	1470	240	245	79	257	1075	405	176	227	255	818	801	388	432					
2	Число полученных избирательных бюллетеней	127814	1706	861	2152	2524	2039	2192	1645	1419	2138	2076	2357	1367	2536	2702	2793	2739	2710	2061	2245	2655	150	150	2639	2418	2000	2059	2144	1579	2297	2079	2164	1710	2612	2113	2143	2123	2305	2197	2489	2071	2142	2803	2745	2209	2481	2236	2136	2942	2843	281	2200	100	721	400	2151	2008	2208	1348	1272	270	248	447	308	439	219	1409	1495	239	242	72	257	1064	407	176	226	255	822	798	399	437					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66360	822	355	1197	1330	1004	1155	916	801	1004	1014	1240	734	1356	1463	1553	1465	1369	1052	1066	1351	67	25	1349	1205	1068	982	1107	875	1192	1120	1107	831	1367	1048	1139	1198	1171	1133	1408	1127	1048	1475	1281	1092	1301	976	1015	1420	1383	127	853	81	441	342	1111	1124	1257	729	618	198	163	205	168	156	132	764	885	132	171	46	173	576	244	42	149	146	515	490	244	321					
5	"Число избирательных бюллетеней, выданных вне помещения"	4825	59	46	76	78	53	42	24	40	91	118	76	15	84	76	50	69	38	35	54	48	57	0	89	66	67	116	54	41	76	40	68	47	43	37	40	88	78	39	41	51	81	35	55	42	39	43	43	39	68	0	285	0	20	0	90	74	26	124	84	26	54	134	93	146	39	94	61	43	36	10	29	182	55	80	16	35	71	71	48	44					
6	Число погашенных избирательных бюллетеней	56629	825	460	879	1116	982	995	705	578	1043	944	1041	618	1096	1163	1190	1205	1303	974	1125	1256	26	125	1201	1147	865	961	983	663	1029	919	989	832	1202	1028	964	837	1056	1025	1040	893	1013	1293	1409	1075	1141	1217	1078	1483	1392	154	1062	19	260	58	950	810	925	495	570	46	31	108	47	137	48	551	549	64	35	16	55	306	108	54	61	74	236	237	107	72					
7	Число избирательных бюллетеней в переносных ящиках	4825	59	46	76	78	53	42	24	40	91	118	76	15	84	76	50	69	38	35	54	48	57	0	89	66	67	116	54	41	76	40	68	47	43	37	40	88	78	39	41	51	81	35	55	42	39	43	43	39	68	0	285	0	20	0	90	74	26	124	84	26	54	134	93	146	39	94	61	43	36	10	29	182	55	80	16	35	71	71	48	44					
8	Число бюллетеней в стационарных ящиках для голосования	66273	822	355	1197	1330	1004	1155	916	801	1004	1014	1240	733	1356	1453	1552	1396	1369	1052	1066	1351	67	25	1349	1204	1068	982	1106	875	1192	1120	1107	831	1367	1047	1137	1198	1171	1132	1408	1127	1048	1475	1281	1092	1301	976	1015	1420	1383	127	853	81	441	342	1111	1124	1257	729	618	198	163	205	168	156	132	764	885	132	171	46	173	576	244	42	149	146	515	490	244	321					
9	Число недействительных избирательных бюллетеней	486	5	1	5	8	4	8	1	5	14	7	5	5	8	5	9	7	14	8	1	8	1	0	8	7	3	9	13	11	9	15	5	6	14	1	13	7	3	10	9	8	5	11	16	8	11	8	9	21	16	0	4	0	1	11	7	14	8	0	6	0	1	0	4	0	0	9	3	2	1	1	0	9	2	0	4	0	6	7	1	0					
10	Число действительных избирательных бюллетеней	70612	876	400	1268	1400	1053	1189	939	836	1081	1125	1311	743	1432	1524	1593	1458	1393	1079	1119	1391	123	25	1430	1263	1132	1089	1147	905	1259	1145	1170	872	1396	1083	1164	1279	1246	1161	1440	1170	1124	1499	1320	1126	1329	1011	1049	1438	1435	127	1134	81	460	331	1194	1184	1275	853	696	224	216	339	257	302	171	849	943	173	206	55	202	749	297	122	161	181	580	554	291	365					
11	Число полученных открепительных  удостоверений	1422	7	15	20	19	20	25	16	25	20	30	36	20	35	30	34	33	43	20	20	35	0	0	35	20	30	24	20	15	25	20	20	15	25	20	25	20	29	33	40	20	25	35	30	20	25	25	25	25	30	5	30	0	5	0	20	13	20	10	5	5	5	5	5	10	0	9	15	5	1	5	5	20	5	5	5	5	5	5	10	5					
12	Число выданных открепительных удостоверений	1188	3	7	20	19	19	24	14	22	15	29	36	13	31	26	34	29	40	19	16	35	0	0	32	20	25	21	17	13	22	15	20	9	17	20	20	19	23	28	30	14	22	29	22	17	25	21	21	16	25	0	28	0	4	0	20	11	17	8	5	0	1	5	0	7	0	9	15	3	1	0	2	15	0	1	0	5	1	1	10	5					
