Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Лесная городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127					
1	"Число избирателей, внесенных в список"	46614	1804	2394	2008	1782	2749	1747	2327	2476	1418	2536	2348	1630	1474	1668	2060	2081	1870	2346	2516	1229	1687	2791	699	974					
2	Число полученных избирательных бюллетеней	46777	1800	2400	1800	1800	2777	1800	2400	2500	1400	2600	2400	1600	1500	1700	2100	2100	1900	2400	2500	1200	1700	2700	700	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31710	1173	1589	1108	1141	2051	1168	1411	1626	1004	1823	1687	1147	1060	1165	1492	1412	1321	1703	1738	761	1285	1950	369	526					
5	"Число избирательных бюллетеней, выданных вне помещения"	810	33	19	220	28	45	25	27	37	32	25	18	16	12	13	19	33	10	17	4	23	66	22	39	27					
6	Число погашенных избирательных бюллетеней	14257	594	792	472	631	681	607	962	837	364	752	695	437	428	522	589	655	569	680	758	416	349	728	292	447					
7	Число избирательных бюллетеней в переносных ящиках	810	33	19	220	28	45	25	27	37	32	25	18	16	12	13	19	33	10	17	4	23	66	22	39	27					
8	Число бюллетеней в стационарных ящиках для голосования	31659	1172	1585	1108	1141	2050	1166	1409	1625	1002	1819	1682	1146	1060	1149	1491	1405	1321	1703	1734	761	1285	1950	369	526					
9	Число недействительных избирательных бюллетеней	340	10	30	24	18	8	17	11	27	5	21	19	6	16	14	13	22	13	12	10	6	9	11	10	8					
10	Число действительных избирательных бюллетеней	32129	1195	1574	1304	1151	2087	1174	1425	1635	1029	1823	1681	1156	1056	1148	1497	1416	1318	1708	1728	778	1342	1961	398	545					
11	Число полученных открепительных  удостоверений	834	34	50	30	30	60	30	40	40	20	50	40	30	30	30	40	40	30	40	40	20	40	50	10	10					
12	Число выданных открепительных удостоверений	280	6	10	4	6	16	7	14	15	10	22	15	10	11	13	15	6	11	12	14	11	36	11	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	3	4	3	0	3	3	3	4	2	2	3	2	2	3	2	0	6	2	3	2	3	4	6	2					
14	Число неиспользованных открепительных удостоверений	554	28	40	26	24	44	23	26	25	10	28	25	20	19	17	25	34	19	28	26	9	4	39	6	9					
15	"Число открепительных удостоверений, выданных в ТИК"	16	1	0	1	0	2	0	0	1	1	0	1	0	1	1	1	0	2	1	1	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	1020	48	46	37	29	37	44	37	60	37	81	63	43	44	56	62	42	36	51	61	12	18	58	9	9					
		3.14%	3.98%	2.87%	2.79%	2.48%	1.77%	3.69%	2.58%	3.61%	3.58%	4.39%	3.71%	3.70%	4.10%	4.82%	4.11%	2.92%	2.70%	2.97%	3.51%	1.53%	1.33%	2.94%	2.21%	1.63%					
19	. Малышкин Олег Александрович	1249	64	75	55	47	74	45	56	58	33	69	71	43	38	41	59	60	75	66	71	25	27	67	12	18					
		3.85%	5.31%	4.68%	4.14%	4.02%	3.53%	3.78%	3.90%	3.49%	3.19%	3.74%	4.18%	3.70%	3.54%	3.53%	3.91%	4.17%	5.63%	3.84%	4.09%	3.19%	2.00%	3.40%	2.94%	3.25%					
20	. Миронов Сергей Михайлович	239	13	12	20	13	12	15	3	12	4	13	12	11	5	9	17	7	4	17	10	6	7	11	5	1					
		0.74%	1.08%	0.75%	1.51%	1.11%	0.57%	1.26%	0.21%	0.72%	0.39%	0.70%	0.71%	0.95%	0.47%	0.77%	1.13%	0.49%	0.30%	0.99%	0.58%	0.77%	0.52%	0.56%	1.23%	0.18%					
21	. Путин Владимир Владимирович	26003	937	1262	1041	942	1770	901	1151	1304	823	1383	1319	892	836	925	1177	1133	1067	1407	1405	665	1226	1623	349	465					
		80.09%	77.76%	78.68%	78.39%	80.58%	84.49%	75.65%	80.15%	78.46%	79.59%	75.00%	77.59%	76.76%	77.99%	79.60%	77.95%	78.79%	80.17%	81.80%	80.84%	84.82%	90.75%	82.30%	85.54%	84.09%					
22	. Хакамада Ирина Муцуовна	1261	44	62	53	55	82	53	55	79	44	90	95	57	38	45	64	53	41	58	58	21	25	75	3	11					
