Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Аларская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №199					
1	"Число избирателей, внесенных в список"	18648	638	89	585	397	243	545	280	552	526	1872	1052	188	325	310	371	247	174	530	123	664	461	633	234	602	357	1413	264	219	455	810	105	108	167	559	117	113	139	80	2101					
2	Число полученных избирательных бюллетеней	18570	650	100	600	400	250	540	260	570	490	1850	1020	220	330	310	430	250	170	520	130	660	450	650	250	610	370	1300	270	220	450	800	110	110	200	560	110	130	140	90	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11382	350	43	387	249	150	357	238	285	263	1023	563	136	206	117	214	138	126	347	78	381	289	378	168	323	225	611	146	177	318	485	76	83	80	349	83	70	94	53	1723					
5	"Число избирательных бюллетеней, выданных вне помещения"	1220	76	0	40	22	22	12	0	127	18	43	8	17	1	66	32	26	8	40	20	52	22	0	20	67	17	214	30	14	20	34	5	7	22	31	0	10	1	5	71					
6	Число погашенных избирательных бюллетеней	5968	224	57	173	129	78	171	22	158	209	784	449	67	123	127	184	86	36	133	32	227	139	272	62	220	128	475	94	29	112	281	29	20	98	180	27	50	45	32	206					
7	Число избирательных бюллетеней в переносных ящиках	1220	76	0	40	22	22	12	0	127	18	43	8	17	1	66	32	26	8	40	20	52	22	0	20	67	17	214	30	14	20	34	5	7	22	31	0	10	1	5	71					
8	Число бюллетеней в стационарных ящиках для голосования	11382	350	43	387	249	150	357	238	285	263	1023	563	136	206	117	214	138	126	347	78	381	289	378	168	323	225	611	146	177	318	485	76	83	80	349	83	70	94	53	1723					
9	Число недействительных избирательных бюллетеней	183	11	2	4	8	2	2	7	8	5	11	8	2	6	3	5	0	2	8	1	8	4	7	1	7	6	9	1	2	4	10	0	2	1	14	1	0	1	3	7					
10	Число действительных избирательных бюллетеней	12419	415	41	423	263	170	367	231	404	276	1055	563	151	201	180	241	164	132	379	97	425	307	371	187	383	236	816	175	189	334	509	81	88	101	366	82	80	94	55	1787					
