Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    район Митино																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2999	УИК №3216	УИК №3217					
1	"Число избирателей, внесенных в список"	98593	1962	1832	2966	2451	3007	2504	2739	2731	2854	2917	2715	2348	2813	2460	1782	2908	2921	2829	2703	2874	2268	2798	2998	1603	2794	2251	2545	1980	2638	2952	1635	1910	2767	2314	2410	2296	2630	1253	2584	1651					
2	Число полученных избирательных бюллетеней	88000	1500	1700	2500	2000	2500	2300	2500	2500	2600	2500	2500	2000	2500	2200	1500	2700	2700	2500	2500	2800	2000	2600	2700	1500	2600	2000	2400	1700	2500	2700	1500	1600	2500	2000	2000	2000	2500	1100	2100	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56073	1237	1143	1685	1340	1897	1470	1312	1350	1339	1812	1580	1192	1637	1502	904	1610	1565	1697	1789	1488	1248	1427	1645	802	1630	1361	1409	1197	1708	1863	1028	1154	1377	1223	1417	1253	1605	682	1518	977					
5	"Число избирательных бюллетеней, выданных вне помещения"	724	24	35	18	13	22	27	28	8	46	19	12	15	18	13	12	19	12	16	33	29	9	6	10	12	17	17	14	3	19	12	29	39	30	11	14	5	13	0	15	30					
6	Число погашенных избирательных бюллетеней	31203	239	522	797	647	581	803	1160	1142	1215	669	908	793	845	685	584	1071	1123	787	678	1283	743	1167	1045	686	953	622	977	500	773	825	443	407	1093	766	569	742	882	418	567	493					
7	Число избирательных бюллетеней в переносных ящиках	724	24	35	18	13	22	27	28	8	46	19	12	15	18	13	12	19	12	16	33	29	9	6	10	12	17	17	14	3	19	12	29	39	30	11	14	5	13	0	15	30					
8	Число бюллетеней в стационарных ящиках для голосования	55880	1237	1143	1685	1331	1897	1470	1306	1250	1333	1812	1580	1192	1637	1502	896	1610	1565	1697	1787	1488	1245	1423	1645	802	1613	1344	1409	1196	1708	1862	1028	1154	1377	1223	1403	1248	1605	682	1518	977					
9	Число недействительных избирательных бюллетеней	492	6	6	94	9	8	5	3	7	6	2	0	8	31	0	29	8	16	5	28	8	7	8	6	3	4	10	23	8	7	12	7	38	8	5	11	8	8	4	8	28					
10	Число действительных избирательных бюллетеней	56112	1255	1172	1609	1335	1911	1492	1331	1251	1373	1829	1592	1199	1624	1515	879	1621	1561	1708	1792	1509	1247	1421	1649	811	1626	1351	1400	1191	1720	1862	1050	1155	1399	1229	1406	1245	1610	678	1525	979					
11	Число полученных открепительных  удостоверений	2130	50	49	50	50	50	50	50	50	50	50	50	50	50	50	50	50	60	50	50	50	50	50	70	50	51	50	50	50	50	50	50	50	50	50	50	50	50	50	150	50					
12	Число выданных открепительных удостоверений	1281	34	30	24	34	27	39	32	44	28	26	36	22	49	41	10	31	49	25	34	41	23	38	54	20	51	18	21	21	28	41	19	11	33	14	26	26	37	18	117	9					
