Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Глинковская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98					
1	"Число избирателей, внесенных в список"	4657	390	155	234	1686	209	545	190	127	189	698	234					
2	Число полученных избирательных бюллетеней	4700	395	164	239	1680	211	544	193	131	190	722	231					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1984	214	77	96	761	110	221	50	84	98	168	105					
5	"Число избирательных бюллетеней, выданных вне помещения"	830	38	47	93	48	49	118	79	10	49	233	66					
6	Число погашенных избирательных бюллетеней	1886	143	40	50	871	52	205	64	37	43	321	60					
7	Число избирательных бюллетеней в переносных ящиках	830	38	47	93	48	49	118	79	10	49	233	66					
8	Число бюллетеней в стационарных ящиках для голосования	1984	214	77	96	761	110	221	50	84	98	168	105					
9	Число недействительных избирательных бюллетеней	16	2	2	1	4	0	3	0	1	0	3	0					
10	Число действительных избирательных бюллетеней	2798	250	122	188	805	159	336	129	93	147	398	171					
11	Число полученных открепительных  удостоверений	225	15	15	15	65	15	20	15	15	15	20	15					
12	Число выданных открепительных удостоверений	19	2	0	3	9	0	1	2	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	2	1	2	11	2	7	3	1	1	2	4					
14	Число неиспользованных открепительных удостоверений	206	13	15	12	56	15	19	13	13	15	20	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	40	4	0	1	17	0	6	3	0	1	7	1					
		1.42%	1.59%	0.00%	0.53%	2.10%	0.00%	1.77%	2.33%	0.00%	0.68%	1.75%	0.58%					
19	. Малышкин Олег Александрович	77	6	4	2	25	8	4	2	1	1	18	6					
		2.74%	2.38%	3.23%	1.06%	3.09%	5.03%	1.18%	1.55%	1.06%	0.68%	4.49%	3.51%					
20	. Миронов Сергей Михайлович	24	0	0	1	4	0	3	1	0	1	11	3					
		0.85%	0.00%	0.00%	0.53%	0.49%	0.00%	0.88%	0.78%	0.00%	0.68%	2.74%	1.75%					
21	. Путин Владимир Владимирович	1868	186	87	132	492	127	224	95	59	119	244	103					
		66.38%	73.81%	70.16%	69.84%	60.82%	79.87%	66.08%	73.64%	62.77%	80.95%	60.85%	60.23%					
22	. Хакамада Ирина Муцуовна	40	2	1	4	12	2	4	3	3	1	7	1					
		1.42%	0.79%	0.81%	2.12%	1.48%	1.26%	1.18%	2.33%	3.19%	0.68%	1.75%	0.58%					
23	. Харитонов Николай Михайлович	715	49	29	48	243	19	91	24	30	24	103	55					
		25.41%	19.44%	23.39%	25.40%	30.04%	11.95%	26.84%	18.60%	31.91%	16.33%	25.69%	32.16%					
																		
24	Против всех	34	3	1	0	12	3	4	1	0	0	8	2					
		1.21%	1.19%	0.81%	0.00%	1.48%	1.89%	1.18%	0.78%	0.00%	0.00%	2.00%	1.17%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
