Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Бурлинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673					
1	"Число избирателей, внесенных в список"	11153	2756	1247	714	217	220	771	153	233	205	783	93	639	157	364	287	80	512	433	316	973					
2	Число полученных избирательных бюллетеней	10980	2700	1200	710	200	220	770	150	230	200	780	90	640	160	380	280	80	500	420	320	950					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7781	1753	800	534	173	188	571	108	165	145	552	63	468	112	247	204	59	375	300	246	718					
5	"Число избирательных бюллетеней, выданных вне помещения"	293	30	27	24	10	2	17	2	32	18	14	0	15	2	15	14	4	12	4	6	45					
6	Число погашенных избирательных бюллетеней	2906	917	373	152	17	30	182	40	33	37	214	27	157	46	118	62	17	113	116	68	187					
7	Число избирательных бюллетеней в переносных ящиках	293	30	27	24	10	2	17	2	32	18	14	0	15	2	15	14	4	12	4	6	45					
8	Число бюллетеней в стационарных ящиках для голосования	7733	1723	800	534	173	188	554	108	165	145	552	63	467	112	247	204	59	375	300	246	718					
9	Число недействительных избирательных бюллетеней	128	18	7	5	1	5	10	2	4	6	4	0	10	1	9	4	5	10	5	7	15					
10	Число действительных избирательных бюллетеней	7898	1735	820	553	182	185	561	108	193	157	562	63	472	113	253	214	58	377	299	245	748					
11	Число полученных открепительных  удостоверений	71	11	5	5	2	2	5	2	2	2	5	2	5	2	5	2	0	5	2	2	5					
12	Число выданных открепительных удостоверений	23	11	4	1	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	3	0	0	1	0	1	0	0	0	2	0	3	2	0	1	1	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	48	0	1	4	2	2	4	2	2	2	5	2	3	2	3	1	0	5	2	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	204	50	28	6	6	0	17	3	3	4	12	1	17	1	1	5	0	5	8	3	34					
		2.54%	2.85%	3.39%	1.08%	3.28%	0.00%	2.98%	2.73%	1.52%	2.45%	2.12%	1.59%	3.53%	0.88%	0.38%	2.29%	0.00%	1.29%	2.63%	1.19%	4.46%					
19	. Малышкин Олег Александрович	154	30	16	10	4	1	14	0	1	1	23	0	3	5	5	11	0	9	5	1	15					
		1.92%	1.71%	1.93%	1.79%	2.19%	0.53%	2.45%	0.00%	0.51%	0.61%	4.06%	0.00%	0.62%	4.39%	1.91%	5.05%	0.00%	2.33%	1.64%	0.40%	1.97%					
20	. Миронов Сергей Михайлович	49	14	5	2	2	0	6	4	1	1	1	0	2	1	0	0	1	5	3	0	1					
		0.61%	0.80%	0.60%	0.36%	1.09%	0.00%	1.05%	3.64%	0.51%	0.61%	0.18%	0.00%	0.41%	0.88%	0.00%	0.00%	1.59%	1.29%	0.99%	0.00%	0.13%					
21	. Путин Владимир Владимирович	5384	1174	585	432	159	144	354	70	167	124	308	33	317	92	160	131	29	280	202	216	407					
		67.08%	66.97%	70.74%	77.42%	86.89%	75.79%	62.00%	63.64%	84.77%	76.07%	54.42%	52.38%	65.77%	80.70%	61.07%	60.09%	46.03%	72.35%	66.45%	85.71%	53.34%					
22	. Хакамада Ирина Муцуовна	135	36	12	7	1	7	4	4	4	4	3	4	12	2	7	4	1	6	6	2	9					
		1.68%	2.05%	1.45%	1.25%	0.55%	3.68%	0.70%	3.64%	2.03%	2.45%	0.53%	6.35%	2.49%	1.75%	2.67%	1.83%	1.59%	1.55%	1.97%	0.79%	1.18%					
23	. Харитонов Николай Михайлович	1843	402	156	88	9	33	161	24	15	21	211	24	105	11	72	60	24	66	71	22	268					
		22.96%	22.93%	18.86%	15.77%	4.92%	17.37%	28.20%	21.82%	7.61%	12.88%	37.28%	38.10%	21.78%	9.65%	27.48%	27.52%	38.10%	17.05%	23.36%	8.73%	35.12%					
																											
24	Против всех	129	29	18	8	1	0	5	3	2	2	4	1	16	1	8	3	3	6	4	1	14					
		1.61%	1.65%	2.18%	1.43%	0.55%	0.00%	0.88%	2.73%	1.02%	1.23%	0.71%	1.59%	3.32%	0.88%	3.05%	1.38%	4.76%	1.55%	1.32%	0.40%	1.83%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
