Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Черняховская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555					
1	"Число избирателей, внесенных в список"	46489	2279	1959	1809	1793	1896	1587	1945	2270	1883	1181	1737	1818	2442	2528	2949	1742	2287	1855	124	130	31	423	593	742	430	572	432	262	807	456	322	701	531	825	250	561	306	844	692	495					
2	Число полученных избирательных бюллетеней	43970	2100	1800	1800	1700	1750	1600	1800	2300	1650	1100	1650	1650	2200	2400	2600	1600	2100	1750	200	120	100	420	550	700	400	600	400	300	750	450	340	700	500	800	240	550	300	800	700	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22113	940	824	908	1033	877	766	792	1172	866	612	752	906	914	1106	1357	852	1094	837	103	100	27	367	283	334	185	250	246	158	354	286	195	369	281	449	133	288	166	388	299	244					
5	"Число избирательных бюллетеней, выданных вне помещения"	1224	42	37	16	8	25	29	17	24	39	15	30	26	16	20	30	29	21	7	0	4	0	3	27	85	32	107	18	0	52	33	7	35	20	41	23	63	23	69	81	70					
6	Число погашенных избирательных бюллетеней	20633	1118	939	876	659	848	805	991	1104	745	473	868	718	1270	1274	1213	719	985	906	97	16	73	50	240	281	183	243	136	142	344	131	138	296	199	310	84	199	111	343	320	186					
7	Число избирательных бюллетеней в переносных ящиках	1223	42	37	16	8	25	29	17	24	38	15	30	26	16	20	30	29	21	7	0	4	0	3	27	85	32	107	18	0	52	33	7	35	20	41	23	63	23	69	81	70					
8	Число бюллетеней в стационарных ящиках для голосования	22105	940	824	908	1033	877	766	792	1172	865	612	752	906	914	1106	1357	850	1094	835	103	100	27	367	280	334	185	250	246	158	354	286	195	369	281	449	133	288	166	388	299	244					
9	Число недействительных избирательных бюллетеней	159	10	6	5	3	4	7	5	4	6	7	4	6	5	3	12	0	9	7	1	2	0	11	4	0	2	1	1	5	3	4	2	1	1	4	1	0	1	4	5	3					
10	Число действительных избирательных бюллетеней	23169	972	855	919	1038	898	788	804	1192	897	620	778	926	925	1123	1375	879	1106	835	102	102	27	359	303	419	215	356	263	153	403	315	200	403	300	486	155	351	188	453	375	311					
11	Число полученных открепительных  удостоверений	340	10	10	10	10	10	15	15	20	15	10	10	10	10	20	20	10	10	10	0	0	0	0	5	10	5	5	10	5	5	10	5	5	5	5	5	5	5	5	15	5					
12	Число выданных открепительных удостоверений	193	3	5	3	10	4	11	11	14	7	3	9	3	4	16	16	8	7	3	0	0	0	0	0	8	1	4	8	0	0	5	5	1	1	5	1	2	1	2	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	168	9	7	2	7	13	5	7	4	13	7	4	7	5	6	9	4	4	2	9	1	0	0	3	5	2	0	3	0	3	3	1	1	1	6	1	0	1	3	8	2					
14	Число неиспользованных открепительных удостоверений	147	7	5	7	0	6	4	4	6	8	7	1	7	6	4	4	2	3	7	0	0	0	0	5	2	4	1	2	5	5	5	0	4	4	0	4	3	4	3	7	1					
15	"Число открепительных удостоверений, выданных в ТИК"	16	1	0	1	0	0	1	0	0	1	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	982	37	52	69	60	53	46	39	61	29	27	39	25	28	49	57	40	61	48	1	5	0	27	13	5	2	6	0	7	12	12	5	4	3	20	2	5	6	13	10	4					
		4.21%	3.77%	6.04%	7.47%	5.76%	5.88%	5.79%	4.82%	5.10%	3.21%	4.31%	4.99%	2.68%	3.01%	4.35%	4.11%	4.55%	5.47%	5.70%	0.97%	4.81%	0.00%	7.30%	4.23%	1.19%	0.92%	1.68%	0.00%	4.43%	2.96%	3.76%	2.48%	0.99%	1.00%	4.08%	1.28%	1.42%	3.17%	2.84%	2.63%	1.27%					
19	. Малышкин Олег Александрович	632	29	24	22	19	18	15	22	41	33	17	19	23	28	25	32	14	21	34	6	3	1	15	8	15	3	7	5	8	9	57	1	19	5	7	3	8	0	8	6	2					
		2.71%	2.95%	2.79%	2.38%	1.83%	2.00%	1.89%	2.72%	3.43%	3.65%	2.71%	2.43%	2.47%	3.01%	2.22%	2.31%	1.59%	1.88%	4.04%	5.83%	2.88%	3.70%	4.05%	2.61%	3.58%	1.38%	1.96%	1.89%	5.06%	2.22%	17.87%	0.50%	4.70%	1.66%	1.43%	1.92%	2.28%	0.00%	1.75%	1.58%	0.64%					
20	. Миронов Сергей Михайлович	211	9	5	5	6	9	8	7	9	9	7	4	9	6	15	14	7	9	12	0	0	0	12	1	6	2	2	4	1	8	2	5	0	5	3	0	1	3	3	2	1					
		0.90%	0.92%	0.58%	0.54%	0.58%	1.00%	1.01%	0.87%	0.75%	1.00%	1.12%	0.51%	0.97%	0.65%	1.33%	1.01%	0.80%	0.81%	1.43%	0.00%	0.00%	0.00%	3.24%	0.33%	1.43%	0.92%	0.56%	1.52%	0.63%	1.97%	0.63%	2.48%	0.00%	1.66%	0.61%	0.00%	0.28%	1.59%	0.66%	0.53%	0.32%					
21	. Путин Владимир Владимирович	16894	709	591	610	749	604	536	556	836	668	443	541	689	683	793	988	545	778	573	77	78	24	228	227	323	194	299	238	117	344	208	173	346	242	394	136	294	148	353	285	274					
		72.42%	72.20%	68.64%	66.02%	71.95%	66.96%	67.42%	68.73%	69.90%	73.98%	70.65%	69.18%	73.93%	73.44%	70.43%	71.23%	62.00%	69.78%	68.05%	74.76%	75.00%	88.89%	61.62%	73.94%	77.09%	89.40%	83.75%	90.15%	74.05%	84.73%	65.20%	85.64%	85.64%	80.40%	80.41%	87.18%	83.76%	78.31%	77.24%	75.00%	87.26%					
22	. Хакамада Ирина Муцуовна	566	25	14	20	35	36	26	24	31	27	7	19	24	20	24	34	29	48	21	4	3	0	21	6	4	3	7	1	2	3	8	4	1	5	3	1	3	0	9	13	1					
		2.43%	2.55%	1.63%	2.16%	3.36%	3.99%	3.27%	2.97%	2.59%	2.99%	1.12%	2.43%	2.58%	2.15%	2.13%	2.45%	3.30%	4.30%	2.49%	3.88%	2.88%	0.00%	5.68%	1.95%	0.95%	1.38%	1.96%	0.38%	1.27%	0.74%	2.51%	1.98%	0.25%	1.66%	0.61%	0.64%	0.85%	0.00%	1.97%	3.42%	0.32%					
23	. Харитонов Николай Михайлович	3008	136	130	120	106	147	128	131	174	113	89	131	118	129	156	163	202	123	103	11	10	1	46	43	58	11	29	12	15	15	26	7	30	34	47	11	37	29	60	53	24					
		12.89%	13.85%	15.10%	12.99%	10.18%	16.30%	16.10%	16.19%	14.55%	12.51%	14.19%	16.75%	12.66%	13.87%	13.85%	11.75%	22.98%	11.03%	12.23%	10.68%	9.62%	3.70%	12.43%	14.01%	13.84%	5.07%	8.12%	4.55%	9.49%	3.69%	8.15%	3.47%	7.43%	11.30%	9.59%	7.05%	10.54%	15.34%	13.13%	13.95%	7.64%					
																																															
24	Против всех	876	27	39	73	63	31	29	25	40	18	30	25	38	31	61	87	42	66	44	3	3	1	10	5	8	0	6	3	3	12	2	5	3	6	12	2	3	2	7	6	5					
		3.76%	2.75%	4.53%	7.90%	6.05%	3.44%	3.65%	3.09%	3.34%	1.99%	4.78%	3.20%	4.08%	3.33%	5.42%	6.27%	4.78%	5.92%	5.23%	2.91%	2.88%	3.70%	2.70%	1.63%	1.91%	0.00%	1.68%	1.14%	1.90%	2.96%	0.63%	2.48%	0.74%	1.99%	2.45%	1.28%	0.85%	1.06%	1.53%	1.58%	1.59%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
