Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Петровск-Забайкальская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129					
1	"Число избирателей, внесенных в список"	16603	739	461	504	409	1138	1203	806	571	1024	1119	1288	1382	1213	305	1472	361	519	520	436	282	419	432					
2	Число полученных избирательных бюллетеней	16481	736	475	500	386	1140	1200	784	569	1008	1119	1303	1376	1219	305	1463	347	512	520	416	270	414	419					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6393	250	191	180	149	361	391	258	259	415	499	575	535	394	153	518	121	229	184	183	154	129	265					
5	"Число избирательных бюллетеней, выданных вне помещения"	422	34	11	23	23	15	68	16	7	56	23	24	10	39	4	19	11	0	7	0	9	17	6					
6	Число погашенных избирательных бюллетеней	9666	452	273	297	214	764	741	510	303	537	597	704	831	786	148	926	215	283	329	233	107	268	148					
7	Число избирательных бюллетеней в переносных ящиках	422	34	11	23	23	15	68	16	7	56	23	24	10	39	4	19	11	0	7	0	9	17	6					
8	Число бюллетеней в стационарных ящиках для голосования	6393	250	191	180	149	361	391	258	259	415	499	575	535	394	153	518	121	229	184	183	154	129	265					
9	Число недействительных избирательных бюллетеней	68	3	1	3	4	7	4	4	3	4	5	4	3	2	1	6	5	1	4	0	1	3	0					
10	Число действительных избирательных бюллетеней	6747	281	201	200	168	369	455	270	263	467	517	595	542	431	156	531	127	228	187	183	162	143	271					
11	Число полученных открепительных  удостоверений	248	11	11	11	11	12	12	11	11	12	12	12	12	12	11	11	11	11	11	11	11	11	10					
12	Число выданных открепительных удостоверений	45	5	1	1	1	1	4	4	1	0	1	9	3	4	0	5	0	0	1	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	3	2	2	6	0	1	5	1	1	2	3	0	0	0	0	4	1	0	3	0	2	1					
14	Число неиспользованных открепительных удостоверений	203	6	10	10	10	11	8	7	10	12	11	3	9	8	11	6	11	11	10	10	8	11	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	224	11	9	15	6	4	22	5	0	11	23	28	23	14	13	12	3	5	7	8	1	1	3					
		3.29%	3.87%	4.46%	7.39%	3.49%	1.06%	4.79%	1.82%	0.00%	2.34%	4.41%	4.67%	4.22%	3.23%	8.28%	2.23%	2.27%	2.18%	3.66%	4.37%	0.61%	0.68%	1.11%					
19	. Малышкин Олег Александрович	193	10	5	8	6	9	14	3	7	16	11	12	12	11	8	19	8	5	11	7	0	5	6					
		2.83%	3.52%	2.48%	3.94%	3.49%	2.39%	3.05%	1.09%	2.63%	3.40%	2.11%	2.00%	2.20%	2.54%	5.10%	3.54%	6.06%	2.18%	5.76%	3.83%	0.00%	3.42%	2.21%					
20	. Миронов Сергей Михайлович	68	0	0	1	1	4	3	3	6	3	6	6	4	11	5	9	0	1	1	1	0	1	2					
		1.00%	0.00%	0.00%	0.49%	0.58%	1.06%	0.65%	1.09%	2.26%	0.64%	1.15%	1.00%	0.73%	2.54%	3.18%	1.68%	0.00%	0.44%	0.52%	0.55%	0.00%	0.68%	0.74%					
21	. Путин Владимир Владимирович	4285	196	140	118	112	251	298	186	147	244	282	334	329	247	77	360	92	152	122	128	143	110	217					
		62.88%	69.01%	69.31%	58.13%	65.12%	66.76%	64.92%	67.88%	55.26%	51.80%	54.02%	55.76%	60.37%	57.04%	49.04%	67.04%	69.70%	66.38%	63.87%	69.95%	87.73%	75.34%	80.07%					
22	. Хакамада Ирина Муцуовна	145	7	6	7	3	5	9	5	13	6	15	11	11	4	4	9	2	5	5	5	2	9	2					
		2.13%	2.46%	2.97%	3.45%	1.74%	1.33%	1.96%	1.82%	4.89%	1.27%	2.87%	1.84%	2.02%	0.92%	2.55%	1.68%	1.52%	2.18%	2.62%	2.73%	1.23%	6.16%	0.74%					
23	. Харитонов Николай Михайлович	1705	53	38	46	39	91	104	62	84	176	174	188	151	132	41	116	21	58	39	31	10	14	37					
		25.02%	18.66%	18.81%	22.66%	22.67%	24.20%	22.66%	22.63%	31.58%	37.37%	33.33%	31.39%	27.71%	30.48%	26.11%	21.60%	15.91%	25.33%	20.42%	16.94%	6.13%	9.59%	13.65%					
																													
24	Против всех	127	4	3	5	1	5	5	6	6	11	6	16	12	12	8	6	1	2	2	3	6	3	4					
		1.86%	1.41%	1.49%	2.46%	0.58%	1.33%	1.09%	2.19%	2.26%	2.34%	1.15%	2.67%	2.20%	2.77%	5.10%	1.12%	0.76%	0.87%	1.05%	1.64%	3.68%	2.05%	1.48%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
