Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Пластовская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	7	8	9	10	2	1	4	3	3	6	16	4	6	1	1	1	5	3	2	1	0	2	3	4	12	3	2					
14	Число неиспользованных открепительных удостоверений	67	4	3	2	3	5	3	5	4	5	3	2	2	7	0	2	1	0	0	1	3	3	1	0	3	2	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	474	19	67	38	43	27	15	20	22	22	28	18	9	62	5	3	9	16	8	0	0	4	3	11	10	2	11	2					
		3.58%	1.93%	4.44%	3.04%	3.31%	2.98%	3.39%	4.06%	4.16%	3.66%	3.93%	5.29%	4.74%	14.00%	1.39%	2.38%	2.98%	4.28%	12.31%	0.00%	0.00%	3.05%	1.83%	1.79%	2.21%	1.09%	2.72%	1.46%					
19	. Малышкин Олег Александрович	447	24	39	25	40	33	23	14	22	20	24	5	6	17	21	0	18	12	2	4	7	4	5	24	34	9	6	9					
		3.38%	2.44%	2.59%	2.00%	3.07%	3.65%	5.19%	2.84%	4.16%	3.33%	3.37%	1.47%	3.16%	3.84%	5.83%	0.00%	5.96%	3.21%	3.08%	4.55%	5.34%	3.05%	3.05%	3.90%	7.52%	4.89%	1.48%	6.57%					
20	. Миронов Сергей Михайлович	82	5	10	9	7	5	9	5	1	3	2	2	1	3	2	0	1	1	0	1	0	1	0	4	5	3	2	0					
