Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Поспелихинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284					
1	"Число избирателей, внесенных в список"	22383	2381	2257	1823	2896	2098	1232	371	1188	932	169	741	146	857	140	712	1409	604	443	1209	460	315					
2	Число полученных избирательных бюллетеней	19765	2029	1960	1602	2487	1742	1111	335	1093	842	174	665	143	773	139	637	1283	545	396	1103	422	284					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14130	1332	1260	1201	1597	1217	848	270	814	646	101	545	108	554	106	498	902	463	337	770	333	228					
5	"Число избирательных бюллетеней, выданных вне помещения"	829	122	60	38	64	78	51	15	68	46	14	30	11	14	4	21	53	16	17	71	27	9					
6	Число погашенных избирательных бюллетеней	4806	575	640	363	826	447	212	50	211	150	59	90	24	205	29	118	328	66	42	262	62	47					
7	Число избирательных бюллетеней в переносных ящиках	829	122	60	38	64	78	51	15	68	46	14	30	11	14	4	21	53	16	17	71	27	9					
8	Число бюллетеней в стационарных ящиках для голосования	14126	1332	1260	1201	1594	1217	848	270	814	646	101	545	108	554	106	497	902	463	337	770	333	228					
9	Число недействительных избирательных бюллетеней	145	18	0	11	9	18	7	4	9	6	3	10	1	7	2	9	6	5	6	8	1	5					
10	Число действительных избирательных бюллетеней	14810	1436	1320	1228	1649	1277	892	281	873	686	112	565	118	561	108	509	949	474	348	833	359	232					
11	Число полученных открепительных  удостоверений	297	30	30	30	30	32	10	5	10	10	5	10	10	10	10	5	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	51	4	6	0	3	8	2	0	7	3	0	1	0	1	1	1	5	2	1	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	2	3	2	3	2	0	0	1	0	0	1	0	3	0	2	1	1	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	246	26	24	30	27	24	8	5	3	7	5	9	10	9	9	4	5	8	9	5	9	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	444	28	49	68	52	57	39	5	23	14	4	8	8	16	4	6	25	5	4	10	11	8					
		2.97%	1.93%	3.71%	5.49%	3.14%	4.40%	4.34%	1.75%	2.61%	2.02%	3.48%	1.39%	6.72%	2.82%	3.64%	1.16%	2.62%	1.04%	1.13%	1.19%	3.06%	3.38%					
19	. Малышкин Олег Александрович	354	34	29	17	49	33	24	9	17	13	4	13	6	13	1	19	25	14	5	14	11	4					
		2.37%	2.34%	2.20%	1.37%	2.96%	2.55%	2.67%	3.16%	1.93%	1.88%	3.48%	2.26%	5.04%	2.29%	0.91%	3.67%	2.62%	2.92%	1.41%	1.66%	3.06%	1.69%					
20	. Миронов Сергей Михайлович	113	7	14	11	11	14	10	1	6	4	1	3	0	2	0	2	7	4	8	2	3	3					
		0.76%	0.48%	1.06%	0.89%	0.66%	1.08%	1.11%	0.35%	0.68%	0.58%	0.87%	0.52%	0.00%	0.35%	0.00%	0.39%	0.73%	0.84%	2.26%	0.24%	0.83%	1.27%					
21	. Путин Владимир Владимирович	10471	1052	932	839	1186	879	630	216	638	442	87	342	66	379	89	386	631	367	280	653	253	124					
		70.02%	72.35%	70.61%	67.72%	71.53%	67.88%	70.08%	75.79%	72.34%	63.87%	75.65%	59.48%	55.46%	66.73%	80.91%	74.52%	66.07%	76.62%	79.10%	77.65%	70.28%	52.32%					
22	. Хакамада Ирина Муцуовна	216	28	17	27	21	22	9	5	6	14	0	7	0	10	0	5	12	1	5	16	7	4					
		1.44%	1.93%	1.29%	2.18%	1.27%	1.70%	1.00%	1.75%	0.68%	2.02%	0.00%	1.22%	0.00%	1.76%	0.00%	0.97%	1.26%	0.21%	1.41%	1.90%	1.94%	1.69%					
23	. Харитонов Николай Михайлович	3008	276	244	247	300	252	171	44	161	192	15	185	37	136	10	85	238	81	43	133	71	87					
		20.11%	18.98%	18.48%	19.94%	18.09%	19.46%	19.02%	15.44%	18.25%	27.75%	13.04%	32.17%	31.09%	23.94%	9.09%	16.41%	24.92%	16.91%	12.15%	15.81%	19.72%	36.71%					
																												
24	Против всех	204	11	35	19	30	20	9	1	22	7	1	7	1	5	4	6	11	2	3	5	3	2					
		1.36%	0.76%	2.65%	1.53%	1.81%	1.54%	1.00%	0.35%	2.49%	1.01%	0.87%	1.22%	0.84%	0.88%	3.64%	1.16%	1.15%	0.42%	0.85%	0.59%	0.83%	0.84%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
