Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Билибинская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35					
1	"Число избирателей, внесенных в список"	6530	512	592	690	684	643	838	656	207	567	220	376	181	364					
2	Число полученных избирательных бюллетеней	6971	518	698	738	714	664	863	700	228	625	228	380	200	415					
3	"Число избирательных бюллетеней, выданных  досрочно"	363	0	0	0	0	0	0	0	0	162	28	49	34	90					
4	"Число избирательных бюллетеней, выданных в день голосования"	5070	392	535	456	504	486	695	524	203	393	183	291	147	261					
5	"Число избирательных бюллетеней, выданных вне помещения"	181	12	5	95	8	6	9	5	4	0	9	19	0	9					
6	Число погашенных избирательных бюллетеней	1357	114	158	187	202	172	159	171	21	70	8	21	19	55					
7	Число избирательных бюллетеней в переносных ящиках	544	12	5	95	8	6	9	5	4	162	37	68	34	99					
8	Число бюллетеней в стационарных ящиках для голосования	5064	392	534	456	503	486	695	524	203	389	183	291	147	261					
9	Число недействительных избирательных бюллетеней	77	6	10	0	2	10	5	5	1	1	0	34	1	2					
10	Число действительных избирательных бюллетеней	5531	398	529	551	509	482	699	524	206	550	220	325	180	358					
11	Число полученных открепительных  удостоверений	137	10	10	10	10	10	10	10	10	10	10	10	10	17					
12	Число выданных открепительных удостоверений	63	4	4	7	4	7	6	5	0	1	3	5	0	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	6	1	1	2	1	1	5	3	2	3	9	3	1					
14	Число неиспользованных открепительных удостоверений	74	6	6	3	6	3	4	5	10	9	7	5	10	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	1	1	0	0	1	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	197	15	20	29	26	31	28	10	6	7	4	4	2	15					
		3.51%	3.71%	3.71%	5.26%	5.09%	6.30%	3.98%	1.89%	2.90%	1.27%	1.82%	1.11%	1.10%	4.17%					
19	. Малышкин Олег Александрович	102	10	8	10	12	12	8	8	4	8	5	6	2	9					
		1.82%	2.48%	1.48%	1.81%	2.35%	2.44%	1.14%	1.51%	1.93%	1.45%	2.27%	1.67%	1.10%	2.50%					
20	. Миронов Сергей Михайлович	27	2	1	3	2	3	3	3	3	1	0	2	0	4					
		0.48%	0.50%	0.19%	0.54%	0.39%	0.61%	0.43%	0.57%	1.45%	0.18%	0.00%	0.56%	0.00%	1.11%					
21	. Путин Владимир Владимирович	4589	320	434	446	412	353	586	435	173	497	201	274	161	297					
		81.83%	79.21%	80.52%	80.94%	80.63%	71.75%	83.24%	82.23%	83.57%	90.20%	91.36%	76.32%	88.95%	82.50%					
22	. Хакамада Ирина Муцуовна	179	15	17	16	15	17	28	25	4	15	2	7	6	12					
		3.19%	3.71%	3.15%	2.90%	2.94%	3.46%	3.98%	4.73%	1.93%	2.72%	0.91%	1.95%	3.31%	3.33%					
23	. Харитонов Николай Михайлович	306	29	34	32	33	47	24	23	10	21	6	28	7	12					
		5.46%	7.18%	6.31%	5.81%	6.46%	9.55%	3.41%	4.35%	4.83%	3.81%	2.73%	7.80%	3.87%	3.33%					
																				
24	Против всех	131	7	15	15	9	19	22	20	6	1	2	4	2	9					
		2.34%	1.73%	2.78%	2.72%	1.76%	3.86%	3.12%	3.78%	2.90%	0.18%	0.91%	1.11%	1.10%	2.50%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
