Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Тамбов, Советская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, внесенных в список"	72756	2317	2294	2057	2581	2290	1259	1542	1486	2166	1325	1704	1718	1352	1075	1311	1036	1264	1558	2690	2579	2457	2114	2221	1710	2047	2082	2673	2008	1407	2165	2553	2458	2435	2446	2483	2264	1629					
2	Число полученных избирательных бюллетеней	68200	2200	2100	2000	2400	2100	1200	1500	1400	2000	1200	1600	1500	1300	1000	1200	1000	1200	1400	2500	2400	2300	2000	2100	1700	1900	2000	2400	1900	1300	2100	2400	2300	2300	2300	2300	2100	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43409	1492	1537	1650	1624	1400	738	1006	876	1061	654	928	1083	714	563	790	635	680	820	1586	1732	1526	1275	1350	995	1324	1190	1894	1371	686	1050	1540	1348	1479	1444	1318	1178	872					
5	"Число избирательных бюллетеней, выданных вне помещения"	4358	48	41	120	71	110	79	95	104	171	128	124	147	117	114	123	119	158	167	281	130	99	122	65	238	66	136	30	64	112	161	135	83	143	173	83	118	83					
6	Число погашенных избирательных бюллетеней	20433	660	522	230	705	590	383	399	420	768	418	548	270	469	323	287	246	362	413	633	538	675	603	685	467	510	674	476	465	502	889	725	869	678	683	899	804	645					
7	Число избирательных бюллетеней в переносных ящиках	4358	48	41	120	71	110	79	95	104	171	128	124	147	117	114	123	119	158	167	281	130	99	122	65	238	66	136	30	64	112	161	135	83	143	173	83	118	83					
8	Число бюллетеней в стационарных ящиках для голосования	43398	1492	1537	1650	1624	1400	738	1006	876	1061	654	928	1083	714	563	787	635	680	820	1586	1728	1526	1275	1350	995	1324	1190	1894	1371	686	1049	1540	1348	1477	1443	1318	1178	872					
9	Число недействительных избирательных бюллетеней	413	14	13	13	18	14	14	12	8	14	5	12	5	10	9	9	14	7	8	10	10	15	17	10	4	9	16	8	9	3	17	17	25	11	3	10	11	9					
10	Число действительных избирательных бюллетеней	47343	1526	1565	1757	1677	1496	803	1089	972	1218	777	1040	1225	821	668	901	740	831	979	1857	1848	1610	1380	1405	1229	1381	1310	1916	1426	795	1193	1658	1406	1609	1613	1391	1285	946					
11	Число полученных открепительных  удостоверений	899	28	36	84	34	26	12	16	11	15	11	23	21	13	9	10	8	13	13	110	20	17	25	19	20	21	21	35	35	11	16	22	26	33	27	17	16	25					
12	Число выданных открепительных удостоверений	766	24	33	75	32	19	10	10	7	9	4	18	17	10	6	9	8	11	10	106	17	15	23	19	16	20	18	35	31	6	11	17	26	26	23	14	13	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	456	11	5	21	13	7	7	13	16	12	7	15	20	6	7	22	18	4	15	8	31	18	9	11	17	12	6	10	16	6	17	10	10	15	9	10	14	8					
14	Число неиспользованных открепительных удостоверений	133	4	3	9	2	7	2	6	4	6	7	5	4	3	3	1	0	2	3	4	3	2	2	0	4	1	3	0	4	5	5	5	0	7	4	3	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	2110	78	96	47	84	70	31	43	41	62	32	38	57	32	17	36	32	19	24	53	89	85	68	61	56	66	54	121	78	43	41	82	46	85	94	75	42	32					
		4.42%	5.06%	6.08%	2.66%	4.96%	4.64%	3.79%	3.91%	4.18%	5.03%	4.09%	3.61%	4.63%	3.85%	2.51%	3.96%	4.24%	2.27%	2.43%	2.84%	4.79%	5.23%	4.87%	4.31%	4.54%	4.75%	4.07%	6.29%	5.44%	5.39%	3.39%	4.90%	3.21%	5.25%	5.82%	5.35%	3.24%	3.35%					
19	. Малышкин Олег Александрович	813	16	27	38	33	34	11	22	15	12	16	17	11	10	9	16	16	11	12	20	42	43	29	33	14	22	18	25	24	15	26	30	31	35	16	27	23	14					
		1.70%	1.04%	1.71%	2.15%	1.95%	2.25%	1.35%	2.00%	1.53%	0.97%	2.05%	1.62%	0.89%	1.20%	1.33%	1.76%	2.12%	1.31%	1.22%	1.07%	2.26%	2.65%	2.08%	2.33%	1.14%	1.58%	1.36%	1.30%	1.67%	1.88%	2.15%	1.79%	2.17%	2.16%	0.99%	1.93%	1.77%	1.47%					
