Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Благоварская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024					
1	"Число избирателей, внесенных в список"	17910	1108	792	1430	171	121	359	141	255	459	436	917	200	487	198	865	724	160	701	315	349	953	191	267	181	533	192	1016	963	1105	1255	402	257	407					
2	Число полученных избирательных бюллетеней	18200	1125	805	1450	177	127	362	150	260	465	445	945	205	500	202	870	735	170	710	325	355	970	195	270	180	530	195	1050	950	1140	1250	412	260	415					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16024	960	634	1297	156	105	320	121	247	447	408	779	172	365	147	760	618	137	654	272	258	811	178	250	160	484	190	967	922	1062	1183	356	229	375					
5	"Число избирательных бюллетеней, выданных вне помещения"	1570	112	151	114	14	16	39	20	8	8	28	123	28	114	48	99	95	20	13	40	78	119	11	13	20	39	0	0	22	23	56	40	27	32					
6	Число погашенных избирательных бюллетеней	606	53	20	39	7	6	3	9	5	10	9	43	5	21	7	11	22	13	43	13	19	40	6	7	0	7	5	83	6	55	11	16	4	8					
7	Число избирательных бюллетеней в переносных ящиках	1570	112	151	114	14	16	39	20	8	8	28	123	28	114	48	99	95	20	13	40	78	119	11	13	20	39	0	0	22	23	56	40	27	32					
8	Число бюллетеней в стационарных ящиках для голосования	16024	960	634	1297	156	105	320	121	247	447	408	779	172	365	147	760	618	137	654	272	258	811	178	250	160	484	190	967	922	1062	1183	356	229	375					
9	Число недействительных избирательных бюллетеней	22	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	2	5	0	0	2	0	0	0	5	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17572	1072	785	1409	170	121	359	141	255	455	436	901	200	479	195	859	712	157	663	312	334	925	189	263	178	523	190	967	939	1085	1239	396	256	407					
11	Число полученных открепительных  удостоверений	300	15	10	20	5	5	5	5	5	5	5	15	5	10	5	10	10	5	10	5	5	15	5	5	5	10	5	20	20	20	20	5	5	5					
12	Число выданных открепительных удостоверений	179	12	10	14	0	5	0	3	2	3	4	11	2	8	5	6	10	5	10	3	2	5	0	1	1	2	0	12	13	9	14	0	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	105	5	3	5	0	0	1	0	3	6	1	0	0	5	3	1	3	0	3	2	1	1	1	2	4	7	0	5	2	4	33	0	2	2					
14	Число неиспользованных открепительных удостоверений	121	3	0	6	5	0	5	2	3	2	1	4	3	2	0	4	0	0	0	2	3	10	5	4	4	8	5	8	7	11	6	5	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
