Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Карачаевская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70					
1	"Число избирателей, внесенных в список"	22463	136	1641	1699	1991	1866	456	929	710	898	2774	2450	1379	720	355	982	1120	994	1363					
2	Число полученных избирательных бюллетеней	21900	130	1650	1620	1915	1805	395	920	690	875	2730	2440	1345	690	335	980	1115	990	1275					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20323	118	1607	1557	1863	1703	340	880	681	841	2493	2383	1324	660	335	646	941	940	1011					
5	"Число избирательных бюллетеней, выданных вне помещения"	504	4	18	14	27	24	0	13	9	34	7	20	6	20	0	34	174	50	50					
6	Число погашенных избирательных бюллетеней	1073	8	25	49	25	78	55	27	0	0	230	37	15	10	0	300	0	0	214					
7	Число избирательных бюллетеней в переносных ящиках	504	4	18	14	27	24	0	13	9	34	7	20	6	20	0	34	174	50	50					
8	Число бюллетеней в стационарных ящиках для голосования	20323	118	1607	1557	1863	1703	340	880	681	841	2493	2383	1324	660	335	646	941	940	1011					
9	Число недействительных избирательных бюллетеней	30	0	2	0	4	3	0	0	1	0	0	4	15	0	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	20797	122	1623	1571	1886	1724	340	893	689	875	2500	2399	1315	680	335	680	1114	990	1061					
11	Число полученных открепительных  удостоверений	140	5	10	10	10	10	5	5	5	5	10	10	10	5	5	5	10	10	10					
12	Число выданных открепительных удостоверений	51	1	9	8	7	7	0	3	1	1	1	5	0	5	1	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	0	3	1	0	7	10	5	0	0	6	5	1	0	64	2	2	0	4					
14	Число неиспользованных открепительных удостоверений	89	4	1	2	3	3	5	2	4	4	9	5	10	0	4	4	9	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	1	1	2	2	1	0	1	1	0	4	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	160	2	4	6	11	7	9	9	2	0	2	0	35	0	3	5	30	0	35					
		0.77%	1.64%	0.25%	0.38%	0.58%	0.41%	2.65%	1.01%	0.29%	0.00%	0.08%	0.00%	2.63%	0.00%	0.90%	0.74%	2.69%	0.00%	3.30%					
19	. Малышкин Олег Александрович	70	2	0	1	11	0	2	2	1	0	2	0	8	0	2	2	27	0	10					
		0.34%	1.64%	0.00%	0.06%	0.58%	0.00%	0.59%	0.22%	0.14%	0.00%	0.08%	0.00%	0.60%	0.00%	0.60%	0.29%	2.42%	0.00%	0.94%					
20	. Миронов Сергей Михайлович	37	1	0	2	0	1	1	4	3	0	1	0	0	0	1	4	4	0	15					
		0.18%	0.82%	0.00%	0.13%	0.00%	0.06%	0.29%	0.45%	0.43%	0.00%	0.04%	0.00%	0.00%	0.00%	0.30%	0.59%	0.36%	0.00%	1.41%					
21	. Путин Владимир Владимирович	19863	107	1547	1534	1784	1667	289	822	656	857	2475	2387	1218	658	318	635	999	985	925					
		95.37%	87.70%	95.20%	97.64%	94.39%	96.53%	85.00%	92.05%	95.07%	97.94%	99.00%	99.33%	91.58%	96.76%	94.93%	93.38%	89.60%	99.49%	87.18%					
22	. Хакамада Ирина Муцуовна	84	1	6	3	23	6	3	1	2	0	2	4	0	6	6	0	5	0	16					
		0.40%	0.82%	0.37%	0.19%	1.22%	0.35%	0.88%	0.11%	0.29%	0.00%	0.08%	0.17%	0.00%	0.88%	1.79%	0.00%	0.45%	0.00%	1.51%					
23	. Харитонов Николай Михайлович	516	8	51	25	57	35	19	49	17	18	11	8	49	16	5	34	49	5	60					
		2.48%	6.56%	3.14%	1.59%	3.02%	2.03%	5.59%	5.49%	2.46%	2.06%	0.44%	0.33%	3.68%	2.35%	1.49%	5.00%	4.39%	0.51%	5.66%					
																									
24	Против всех	67	1	15	0	0	8	17	6	8	0	7	0	5	0	0	0	0	0	0					
		0.32%	0.82%	0.92%	0.00%	0.00%	0.46%	5.00%	0.67%	1.16%	0.00%	0.28%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
