Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Тосненская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974					
11	Число полученных открепительных  удостоверений	1446	30	35	35	10	30	10	30	30	30	50	30	30	40	45	15	20	20	20	30	30	30	30	30	30	30	15	20	20	20	15	10	10	15	15	15	15	15	15	20	40	20	5	20	25	20	10	20	45	30	45	10	10	23	10	5	60	25	5	5	5	30	38					
12	Число выданных открепительных удостоверений	916	17	32	29	3	24	3	17	13	30	37	27	19	37	35	5	12	6	11	12	23	3	11	13	5	6	15	14	11	8	6	0	10	9	4	1	15	10	6	16	34	12	2	14	20	6	0	20	31	25	35	6	5	18	4	4	49	21	0	0	3	14	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	705	20	24	25	7	22	5	4	17	15	22	14	8	17	15	2	20	11	11	10	19	10	3	8	8	2	3	6	15	15	5	9	4	15	9	26	9	6	32	19	12	5	7	2	15	10	3	11	7	4	10	9	21	5	14	10	11	12	3	3	20	14	5					
14	Число неиспользованных открепительных удостоверений	530	13	3	6	7	6	7	13	17	0	13	3	11	3	10	10	8	14	9	18	7	27	19	17	25	24	0	6	9	12	9	10	0	6	11	14	0	5	9	4	6	8	3	6	5	14	10	0	14	5	10	4	5	5	6	1	11	4	5	5	2	16	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	1	1	0	0	0	2	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	1446	41	38	44	12	34	12	28	13	53	52	68	55	43	45	13	24	4	12	52	43	29	32	36	25	14	3	56	27	29	8	3	11	11	23	24	18	26	16	19	20	20	5	9	5	24	2	11	25	33	45	2	13	33	14	3	29	2	1	4	10	29	11					
		2.81%	3.27%	2.48%	3.06%	3.88%	2.59%	3.00%	2.98%	1.76%	3.16%	3.27%	4.00%	4.10%	2.58%	3.30%	2.70%	4.43%	1.16%	2.28%	3.40%	3.39%	3.43%	3.00%	2.58%	3.60%	1.75%	0.79%	6.19%	4.66%	5.08%	1.44%	0.87%	1.48%	2.38%	4.11%	3.73%	2.38%	3.38%	3.20%	1.52%	3.26%	2.35%	2.84%	1.25%	1.13%	2.00%	1.00%	1.75%	2.57%	2.63%	3.23%	0.79%	2.87%	3.72%	2.94%	1.76%	1.59%	1.14%	0.97%	2.82%	3.16%	1.95%	1.28%					
19	. Малышкин Олег Александрович	623	18	25	21	6	16	1	7	9	27	17	23	11	26	17	5	6	5	7	22	22	11	9	26	4	15	6	6	5	2	8	3	6	1	3	6	8	19	5	17	8	2	5	14	5	13	3	8	16	9	9	2	7	16	3	2	14	1	2	2	5	17	9					
		1.21%	1.44%	1.63%	1.46%	1.94%	1.22%	0.25%	0.74%	1.22%	1.61%	1.07%	1.35%	0.82%	1.56%	1.25%	1.04%	1.11%	1.45%	1.33%	1.44%	1.74%	1.30%	0.84%	1.87%	0.58%	1.88%	1.58%	0.66%	0.86%	0.35%	1.44%	0.87%	0.81%	0.22%	0.54%	0.93%	1.06%	2.47%	1.00%	1.36%	1.30%	0.24%	2.84%	1.95%	1.13%	1.08%	1.50%	1.27%	1.65%	0.72%	0.65%	0.79%	1.55%	1.80%	0.63%	1.18%	0.77%	0.57%	1.94%	1.41%	1.58%	1.14%	1.05%					
20	. Миронов Сергей Михайлович	573	17	10	18	2	21	9	12	8	18	19	6	14	16	20	8	8	7	5	17	15	14	20	10	3	13	6	15	6	5	11	1	9	11	8	12	13	8	3	8	5	7	0	3	6	15	1	4	14	11	17	0	5	10	4	0	18	3	2	1	7	7	7					
		1.12%	1.36%	0.65%	1.25%	0.65%	1.60%	2.25%	1.28%	1.08%	1.07%	1.19%	0.35%	1.04%	0.96%	1.47%	1.66%	1.48%	2.03%	0.95%	1.11%	1.18%	1.66%	1.88%	0.72%	0.43%	1.62%	1.58%	1.66%	1.03%	0.88%	1.98%	0.29%	1.21%	2.38%	1.43%	1.87%	1.72%	1.04%	0.60%	0.64%	0.81%	0.82%	0.00%	0.42%	1.35%	1.25%	0.50%	0.64%	1.44%	0.88%	1.22%	0.00%	1.10%	1.13%	0.84%	0.00%	0.99%	1.70%	1.94%	0.70%	2.22%	0.47%	0.81%					
21	. Путин Владимир Владимирович	40089	988	1162	1064	238	1012	318	684	569	1280	1220	1288	1023	1286	1025	373	425	264	406	1215	917	644	808	1132	559	605	254	655	436	428	469	271	604	357	438	492	597	553	392	1012	440	707	147	598	374	979	161	539	773	1039	1102	210	360	698	397	152	1422	152	87	126	255	1195	713					
