Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Сурская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627					
1	"Число избирателей, внесенных в список"	17632	192	88	50	268	820	258	75	204	510	208	428	84	58	623	179	373	78	526	284	213	146	571	127	199	102	189	348	99	708	303	136	93	1151	135	1935	2115	1751	197	297	402	143	66	202	79	376	243					
2	Число полученных избирательных бюллетеней	17801	190	85	51	274	830	258	79	203	512	208	428	86	60	629	185	384	79	537	289	212	145	574	132	203	105	187	351	100	712	316	134	92	1154	135	1951	2156	1779	194	289	404	143	66	203	77	378	242					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11016	144	58	47	187	560	138	51	143	330	114	260	67	38	399	132	252	55	365	187	131	112	358	92	144	74	128	236	55	458	211	88	68	814	89	1123	1153	810	117	149	306	86	47	174	60	237	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	1549	30	11	0	38	76	33	11	20	64	30	107	2	8	44	14	22	10	35	33	42	20	53	19	34	6	37	39	18	86	22	14	13	38	22	79	64	67	37	50	39	26	7	13	8	66	42					
6	Число погашенных избирательных бюллетеней	5236	16	16	4	49	194	87	17	40	118	64	61	17	14	186	39	110	14	137	69	39	13	163	21	25	25	22	76	27	168	83	32	11	302	24	749	939	902	40	90	59	31	12	16	9	75	31					
7	Число избирательных бюллетеней в переносных ящиках	1549	30	11	0	38	76	33	11	20	64	30	107	2	8	44	14	22	10	35	33	42	20	53	19	34	6	37	39	18	86	22	14	13	38	22	79	64	67	37	50	39	26	7	13	8	66	42					
8	Число бюллетеней в стационарных ящиках для голосования	11016	144	58	47	187	560	138	51	143	330	114	260	67	38	399	132	252	55	365	187	131	112	358	92	144	74	128	236	55	458	211	88	68	814	89	1123	1153	810	117	149	306	86	47	174	60	237	169					
9	Число недействительных избирательных бюллетеней	118	0	1	0	0	7	0	1	2	0	0	0	0	0	11	2	3	0	4	4	0	1	3	6	2	0	0	0	0	1	2	6	2	20	1	7	9	12	2	2	2	0	0	3	0	0	2					
10	Число действительных избирательных бюллетеней	12447	174	68	47	225	629	171	61	161	394	144	367	69	46	432	144	271	65	396	216	173	131	408	105	176	80	165	275	73	543	231	96	79	832	110	1195	1208	865	152	197	343	112	54	184	68	303	209					
11	Число полученных открепительных  удостоверений	393	7	7	7	7	15	7	7	7	7	7	7	7	7	7	7	7	7	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	15	7	20	33	20	7	7	7	7	7	7	7	7	7					
12	Число выданных открепительных удостоверений	80	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	3	0	0	0	0	4	2	0	0	1	1	14	29	16	0	0	0	0	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	2	1	0	1	2	1	1	3	1	0	1	1	1	3	1	1	1	0	1	3	3	1	0	1	0	2	1	0	1	2	3	1	3	2	3	5	3	1	2	1	1	0	3	2	2	1					
14	Число неиспользованных открепительных удостоверений	313	7	7	7	6	13	7	7	7	7	7	7	7	7	4	7	7	7	9	7	7	7	6	7	4	7	7	7	7	3	5	7	7	14	6	6	4	4	7	7	7	7	7	5	7	7	7					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	339	0	2	0	4	14	0	0	1	3	2	6	0	0	12	0	7	1	5	6	7	0	8	4	12	5	3	3	0	17	8	2	0	15	0	62	53	38	5	7	5	0	0	11	7	4	0					
		2.70%	0.00%	2.90%	0.00%	1.78%	2.20%	0.00%	0.00%	0.61%	0.76%	1.39%	1.63%	0.00%	0.00%	2.71%	0.00%	2.55%	1.54%	1.25%	2.73%	4.05%	0.00%	1.95%	3.60%	6.74%	6.25%	1.82%	1.09%	0.00%	3.12%	3.43%	1.96%	0.00%	1.76%	0.00%	5.16%	4.35%	4.33%	3.25%	3.52%	1.45%	0.00%	0.00%	5.88%	10.29%	1.32%	0.00%					
19	. Малышкин Олег Александрович	277	2	3	0	7	14	3	1	5	8	6	9	0	0	9	1	11	1	1	3	10	0	13	0	3	2	7	10	2	16	10	3	2	8	1	25	27	22	6	4	1	1	2	7	0	4	7					
		2.20%	1.15%	4.35%	0.00%	3.11%	2.20%	1.75%	1.61%	3.07%	2.03%	4.17%	2.45%	0.00%	0.00%	2.03%	0.68%	4.01%	1.54%	0.25%	1.36%	5.78%	0.00%	3.16%	0.00%	1.69%	2.50%	4.24%	3.64%	2.74%	2.94%	4.29%	2.94%	2.47%	0.94%	0.90%	2.08%	2.22%	2.51%	3.90%	2.01%	0.29%	0.89%	3.70%	3.74%	0.00%	1.32%	3.32%					
20	. Миронов Сергей Михайлович	71	1	0	0	1	2	1	0	2	3	3	1	1	0	0	0	2	1	1	1	1	0	3	0	0	0	1	0	0	3	0	0	0	3	1	9	12	11	2	1	1	1	0	2	0	0	0					
		0.57%	0.57%	0.00%	0.00%	0.44%	0.31%	0.58%	0.00%	1.23%	0.76%	2.08%	0.27%	1.45%	0.00%	0.00%	0.00%	0.73%	1.54%	0.25%	0.45%	0.58%	0.00%	0.73%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.35%	0.90%	0.75%	0.99%	1.25%	1.30%	0.50%	0.29%	0.89%	0.00%	1.07%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8406	142	54	46	177	404	107	28	86	208	73	250	61	44	281	101	207	50	312	173	104	106	287	85	122	58	131	206	49	369	160	79	58	586	93	659	741	539	117	138	286	92	43	139	24	186	145					
		66.90%	81.61%	78.26%	97.87%	78.67%	63.52%	62.57%	45.16%	52.76%	52.79%	50.69%	68.12%	88.41%	95.65%	63.43%	69.18%	75.55%	76.92%	78.00%	78.64%	60.12%	80.30%	69.83%	76.58%	68.54%	72.50%	79.39%	74.91%	67.12%	67.83%	68.67%	77.45%	71.60%	68.78%	83.78%	54.83%	60.89%	61.46%	75.97%	69.35%	82.90%	82.14%	79.63%	74.33%	35.29%	61.39%	68.72%					
22	. Хакамада Ирина Муцуовна	136	0	1	0	4	3	2	1	3	1	2	3	0	0	0	0	2	0	3	3	2	0	3	0	4	1	3	3	0	8	3	0	0	8	1	19	20	8	3	10	2	1	0	0	3	3	3					
