Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Корткеросская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561					
1	"Число избирателей, внесенных в список избирателей"	18216	500	1311	203	162	158	782	847	1613	963	374	179	535	343	699	357	658	223	453	1177	454	506	582	760	1046	711	298	425	469	150	1278					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16064	470	1200	180	150	150	730	582	1141	711	330	150	450	320	650	320	600	200	400	1100	420	480	540	700	1000	670	270	390	420	140	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	647	46	141	0	0	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	56	119	0	0	58					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10650	242	673	114	101	93	508	567	1115	676	282	119	379	201	448	219	346	146	259	675	248	312	349	267	540	413	168	126	276	99	689					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	889	10	32	13	15	8	22	15	26	35	0	21	19	17	29	12	39	16	55	64	27	79	43	24	97	53	5	16	19	9	69					
6	Число погашенных избирательных бюллетеней	3878	172	354	53	34	41	174	0	0	0	48	10	52	102	173	89	215	38	86	361	145	89	148	216	363	204	41	129	125	32	384					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1536	56	173	13	15	16	48	15	26	35	0	21	19	17	29	12	39	16	55	64	27	79	43	217	97	53	61	135	19	9	127					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10645	242	673	114	101	93	508	566	1112	675	282	119	379	201	448	219	346	146	259	675	248	312	349	267	540	413	168	126	276	99	689					
9	Число недействительных избирательных бюллетеней	286	6	22	4	1	1	12	19	56	33	12	1	11	5	4	9	11	1	6	17	3	0	5	7	7	4	4	8	6	2	9					
10	Число действительных избирательных бюллетеней	11895	292	824	123	115	108	544	562	1082	677	270	139	387	213	473	222	374	161	308	722	272	391	387	477	630	462	225	253	289	106	807					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	389	13	35	8	9	8	26	6	17	10	2	5	6	5	8	6	11	2	5	15	10	35	17	8	65	4	5	5	5	3	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	385	13	35	8	9	8	26	6	17	10	2	5	6	5	8	6	11	2	5	15	10	35	17	8	65	4	5	5	5	0	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	240	7	10	3	4	1	10	5	30	17	14	6	26	6	2	6	7	4	4	9	2	14	14	2	11	9	4	1	4	1	7					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	1	5	0	0	2	3	4	8	9	1	0	5	0	3	0	0	0	2	0	0	0	4	2	3	3	0	0	1	0	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1598	47	115	12	12	5	81	88	171	96	41	9	45	25	77	32	55	24	38	115	43	42	51	41	98	72	26	23	26	8	80					
		13.12%	15.77%	13.59%	9.45%	10.34%	4.59%	14.57%	15.15%	15.03%	13.52%	14.54%	6.43%	11.31%	11.47%	16.14%	13.85%	14.29%	14.81%	12.10%	15.56%	15.64%	10.74%	13.01%	8.47%	15.38%	15.45%	11.35%	8.81%	8.81%	7.41%	9.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1526	56	117	23	19	18	59	72	160	92	42	11	42	11	64	19	61	26	25	58	30	31	44	83	84	73	46	27	50	4	79					
		12.53%	18.79%	13.83%	18.11%	16.38%	16.51%	10.61%	12.39%	14.06%	12.96%	14.89%	7.86%	10.55%	5.05%	13.42%	8.23%	15.84%	16.05%	7.96%	7.85%	10.91%	7.93%	11.22%	17.15%	13.19%	15.67%	20.09%	10.34%	16.95%	3.70%	9.68%					
