Выборы Президента Российской Федерации																																																										
																																																										
"Наименование Избирательной комиссии:    Хабаровск, Железнодорожная"																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
14	Число неиспользованных открепительных удостоверений	381	8	0	6	14	2	8	23	15	6	6	26	7	8	0	0	9	3	0	4	17	8	6	4	10	11	13	12	12	16	0	3	16	7	3	9	3	0	2	8	14	8	13	0	4	7	14	10	0	0	5	1					
15	"Число открепительных удостоверений, выданных в ТИК"	46	2	1	1	0	2	2	1	3	1	2	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	2	2	2	0	0	1	2	0	0	0	0	0	2	0	4	2	0	0	2	0	1	0	1	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	4393	81	72	95	65	78	90	105	124	121	97	136	29	92	84	119	109	67	83	89	104	20	67	94	89	89	108	107	92	89	64	80	82	100	58	114	85	41	95	132	109	109	119	119	121	51	60	79	12	53	45	70					
		6.07%	4.09%	5.33%	4.56%	3.91%	5.01%	5.61%	5.79%	7.99%	6.86%	6.32%	7.18%	2.27%	8.70%	5.49%	7.58%	7.68%	7.88%	5.18%	6.58%	6.54%	4.54%	4.81%	5.96%	6.08%	5.24%	6.95%	6.04%	6.64%	5.98%	6.93%	5.90%	6.75%	7.72%	6.50%	7.05%	6.32%	6.20%	4.06%	7.53%	6.99%	6.31%	7.08%	7.59%	7.37%	3.77%	6.80%	6.63%	4.84%	5.65%	4.53%	5.09%					
19	. Малышкин Олег Александрович	2131	46	57	60	49	66	70	59	42	41	28	47	59	38	43	57	54	21	68	39	49	10	40	69	37	52	39	38	34	48	27	38	44	42	17	50	33	21	46	62	45	47	37	30	33	29	21	49	6	30	30	34					
		2.94%	2.32%	4.22%	2.88%	2.95%	4.24%	4.36%	3.25%	2.71%	2.33%	1.82%	2.48%	4.61%	3.59%	2.81%	3.63%	3.80%	2.47%	4.24%	2.88%	3.08%	2.27%	2.87%	4.38%	2.53%	3.06%	2.51%	2.15%	2.45%	3.23%	2.92%	2.80%	3.62%	3.24%	1.91%	3.09%	2.46%	3.18%	1.96%	3.54%	2.89%	2.72%	2.20%	1.91%	2.01%	2.14%	2.38%	4.11%	2.42%	3.20%	3.02%	2.47%					
20	. Миронов Сергей Михайлович	859	19	15	19	21	13	25	22	24	22	19	21	7	17	11	24	25	10	30	10	19	11	15	20	14	14	24	19	17	15	10	17	15	10	11	17	13	3	14	18	21	28	20	22	24	14	6	12	2	12	25	23					
		1.19%	0.96%	1.11%	0.91%	1.26%	0.84%	1.56%	1.21%	1.55%	1.25%	1.24%	1.11%	0.55%	1.61%	0.72%	1.53%	1.76%	1.18%	1.87%	0.74%	1.19%	2.49%	1.08%	1.27%	0.96%	0.82%	1.55%	1.07%	1.23%	1.01%	1.08%	1.25%	1.24%	0.77%	1.23%	1.05%	0.97%	0.45%	0.60%	1.03%	1.35%	1.62%	1.19%	1.40%	1.46%	1.03%	0.68%	1.01%	0.81%	1.28%	2.52%	1.67%					
21	. Путин Владимир Владимирович	46501	1337	895	1536	1123	1036	1015	1246	1017	1125	969	1207	962	595	1048	903	836	516	971	848	976	244	956	948	856	1098	977	1156	884	948	565	861	765	776	520	976	900	423	1791	1083	995	1066	1018	926	1001	967	615	744	165	573	675	868					
		64.25%	67.46%	66.30%	73.67%	67.61%	66.58%	63.24%	68.69%	65.57%	63.81%	63.09%	63.69%	75.22%	56.24%	68.54%	57.52%	58.87%	60.71%	60.57%	62.72%	61.35%	55.33%	68.68%	60.15%	58.51%	64.63%	62.91%	65.27%	63.78%	63.71%	61.15%	63.54%	63.01%	59.88%	58.30%	60.36%	66.96%	63.99%	76.51%	61.78%	63.82%	61.69%	60.56%	59.06%	61.00%	71.42%	69.65%	62.47%	66.53%	61.09%	67.91%	63.08%					
22	. Хакамада Ирина Муцуовна	4406	76	74	83	76	84	82	87	72	88	86	112	60	72	59	82	62	29	80	60	106	17	65	125	112	130	105	132	106	96	59	88	87	86	95	149	109	47	83	100	107	148	123	83	136	100	67	107	13	66	63	72					
		6.09%	3.83%	5.48%	3.98%	4.58%	5.40%	5.11%	4.80%	4.64%	4.99%	5.60%	5.91%	4.69%	6.81%	3.86%	5.22%	4.37%	3.41%	4.99%	4.44%	6.66%	3.85%	4.67%	7.93%	7.66%	7.65%	6.76%	7.45%	7.65%	6.45%	6.39%	6.49%	7.17%	6.64%	10.65%	9.21%	8.11%	7.11%	3.55%	5.70%	6.86%	8.56%	7.32%	5.29%	8.29%	7.39%	7.59%	8.98%	5.24%	7.04%	6.34%	5.23%					
