Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Сосновская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141					
1	"Число избирателей, внесенных в список"	41148	607	213	585	673	884	3050	2884	895	444	2017	1228	211	189	2124	591	305	350	350	434	408	153	167	1510	166	1943	1910	461	490	1499	377	276	229	205	873	1299	886	313	1271	1311	628	303	2685	1175	602	531	220	372	145	706					
2	Число полученных избирательных бюллетеней	41700	621	227	592	719	914	3011	2949	914	508	2034	1202	225	184	2138	598	302	353	353	438	473	156	167	1647	252	1941	1947	460	516	1425	361	284	240	272	869	1316	925	312	1288	1328	664	294	2670	1195	574	501	208	328	141	664					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26293	432	140	398	400	475	1726	1772	495	260	1145	816	176	123	1145	384	160	140	177	297	278	143	135	1021	166	1583	1588	222	272	976	284	228	157	195	478	796	397	156	683	588	437	225	1845	875	435	396	150	299	110	514					
5	"Число избирательных бюллетеней, выданных вне помещения"	2240	59	34	55	53	60	146	117	135	29	141	70	4	0	102	15	37	98	47	0	19	0	7	78	0	6	6	29	19	57	6	7	21	10	40	75	67	80	52	246	21	0	161	9	0	0	6	13	3	0					
6	Число погашенных избирательных бюллетеней	13166	130	53	139	266	379	1139	1060	284	219	747	316	45	61	891	199	105	115	129	141	176	13	25	548	86	352	353	209	225	392	71	49	62	67	351	445	461	76	553	494	206	69	664	311	139	105	52	16	28	150					
7	Число избирательных бюллетеней в переносных ящиках	2240	59	34	55	53	60	146	117	135	29	141	70	4	0	102	15	37	98	47	0	19	0	7	78	0	6	6	29	19	57	6	7	21	10	40	75	67	80	52	246	21	0	161	9	0	0	6	13	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	26282	432	140	398	400	475	1719	1772	495	260	1145	816	173	123	1145	384	160	140	177	297	278	143	135	1021	166	1583	1588	222	272	976	283	228	157	195	478	796	397	156	683	588	437	225	1845	875	435	396	150	299	110	514					
9	Число недействительных избирательных бюллетеней	339	3	2	5	11	5	16	15	2	6	11	13	0	2	24	10	0	0	6	3	1	0	0	24	0	0	11	1	1	22	5	1	6	5	13	14	10	2	14	9	11	1	18	16	4	8	3	0	1	4					
10	Число действительных избирательных бюллетеней	28183	488	172	448	442	530	1849	1874	628	283	1275	873	177	121	1223	389	197	238	218	294	296	143	142	1075	166	1589	1583	250	290	1011	284	234	172	200	505	857	454	234	721	825	447	224	1988	868	431	388	153	312	112	510					
11	Число полученных открепительных  удостоверений	391	6	4	11	7	9	20	20	9	5	15	10	4	4	15	6	5	5	6	6	6	4	4	13	4	15	16	5	5	10	10	4	4	4	9	10	10	5	10	10	7	3	15	10	6	5	4	5	4	7					
12	Число выданных открепительных удостоверений	162	2	2	11	2	0	19	7	4	0	11	4	0	0	10	3	1	0	0	0	2	0	0	1	0	5	13	0	0	7	4	2	2	4	6	7	2	2	4	10	3	0	6	3	1	1	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	254	4	1	2	8	0	13	7	7	3	11	7	1	0	6	4	5	2	1	2	3	1	3	9	4	16	9	2	3	6	3	1	1	9	3	9	11	10	8	3	6	11	10	0	5	7	2	0	2	13					
14	Число неиспользованных открепительных удостоверений	229	4	2	0	5	9	1	13	5	5	4	6	4	4	5	3	4	5	6	6	4	4	4	12	4	10	3	5	5	3	6	2	2	0	3	3	8	3	6	0	4	3	9	7	5	4	4	5	4	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
