Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Краснознаменская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
1	"Число избирателей, внесенных в список"	9222	2928	1591	640	442	348	353	419	324	378	391	503	461	444					
2	Число полученных избирательных бюллетеней	10000	3000	1800	700	450	400	400	400	300	500	450	550	550	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5320	1679	825	436	356	159	222	325	158	201	166	269	214	310					
5	"Число избирательных бюллетеней, выданных вне помещения"	1037	167	152	4	4	86	51	24	59	85	122	92	151	40					
6	Число погашенных избирательных бюллетеней	3643	1154	823	260	90	155	127	51	83	214	162	189	185	150					
7	Число избирательных бюллетеней в переносных ящиках	1037	167	152	4	4	86	51	24	59	85	122	92	151	40					
8	Число бюллетеней в стационарных ящиках для голосования	5318	1679	825	436	356	159	221	325	158	200	166	269	214	310					
9	Число недействительных избирательных бюллетеней	86	17	24	9	11	1	2	2	1	3	5	2	3	6					
10	Число действительных избирательных бюллетеней	6269	1829	953	431	349	244	270	347	216	282	283	359	362	344					
11	Число полученных открепительных  удостоверений	159	26	17	5	0	0	3	23	5	20	10	14	11	25					
12	Число выданных открепительных удостоверений	147	26	17	3	0	0	3	21	3	19	9	14	7	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	28	6	3	0	3	2	6	3	0	4	0	5	3					
14	Число неиспользованных открепительных удостоверений	12	0	0	2	0	0	0	2	2	1	1	0	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	184	90	14	7	2	10	1	11	12	8	5	10	6	8					
		2.90%	4.88%	1.43%	1.59%	0.56%	4.08%	0.37%	3.15%	5.53%	2.81%	1.74%	2.77%	1.64%	2.29%					
19	. Малышкин Олег Александрович	204	54	32	18	8	9	1	10	5	13	11	19	18	6					
		3.21%	2.93%	3.28%	4.09%	2.22%	3.67%	0.37%	2.87%	2.30%	4.56%	3.82%	5.26%	4.93%	1.71%					
20	. Миронов Сергей Михайлович	54	23	8	3	4	2	6	1	4	1	1	0	1	0					
		0.85%	1.25%	0.82%	0.68%	1.11%	0.82%	2.21%	0.29%	1.84%	0.35%	0.35%	0.00%	0.27%	0.00%					
21	. Путин Владимир Владимирович	4782	1316	757	333	295	153	217	265	169	176	234	287	298	282					
		75.25%	71.29%	77.48%	75.68%	81.94%	62.45%	79.78%	75.93%	77.88%	61.75%	81.25%	79.50%	81.64%	80.57%					
22	. Хакамада Ирина Муцуовна	110	36	16	2	6	2	8	8	2	4	7	5	9	5					
		1.73%	1.95%	1.64%	0.45%	1.67%	0.82%	2.94%	2.29%	0.92%	1.40%	2.43%	1.39%	2.47%	1.43%					
23	. Харитонов Николай Михайлович	763	241	101	58	27	66	36	49	17	65	20	31	19	33					
		12.01%	13.06%	10.34%	13.18%	7.50%	26.94%	13.24%	14.04%	7.83%	22.81%	6.94%	8.59%	5.21%	9.43%					
																				
24	Против всех	172	69	25	10	7	2	1	3	7	15	5	7	11	10					
		2.71%	3.74%	2.56%	2.27%	1.94%	0.82%	0.37%	0.86%	3.23%	5.26%	1.74%	1.94%	3.01%	2.86%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
