Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Никольская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059					
1	"Число избирателей, внесенных в список"	30923	1917	2172	1989	1931	1827	1623	2088	1885	2134	1783	955	649	278	141	205	399	295	149	372	185	181	889	66	334	183	155	303	277	367	92	909	257	645	362	490	624	223	221	216	99	1053					
2	Число полученных избирательных бюллетеней	30038	1812	2043	1875	1817	1721	1521	1935	1768	2006	1660	987	662	283	143	207	400	299	148	393	197	187	875	64	337	182	205	401	293	378	95	909	252	668	346	475	630	224	225	214	100	1101					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18299	968	1167	1018	1001	954	849	978	965	1041	945	635	421	177	78	156	334	230	108	227	128	123	637	55	287	133	118	260	200	248	65	563	191	586	331	445	439	172	175	150	67	674					
5	"Число избирательных бюллетеней, выданных вне помещения"	2146	69	57	161	59	79	151	126	102	120	78	36	38	45	48	31	35	24	27	81	25	34	18	7	18	40	37	43	16	57	14	76	25	0	0	0	119	20	22	46	28	134					
6	Число погашенных избирательных бюллетеней	9593	775	819	696	757	688	521	831	701	845	637	316	203	61	17	20	31	45	13	85	44	30	220	2	32	9	50	98	77	73	16	270	36	82	15	30	72	32	28	18	5	293					
7	Число избирательных бюллетеней в переносных ящиках	2146	69	57	161	59	79	151	126	102	120	78	36	38	45	48	31	35	24	27	81	25	34	18	7	18	40	37	43	16	57	14	76	25	0	0	0	119	20	22	46	28	134					
8	Число бюллетеней в стационарных ящиках для голосования	18298	967	1167	1018	1001	954	849	978	965	1041	945	635	421	177	78	156	334	230	108	227	128	123	637	55	287	133	118	260	200	248	65	563	191	586	331	445	439	172	175	150	67	674					
9	Число недействительных избирательных бюллетеней	261	28	11	8	4	15	12	8	11	10	15	4	16	2	0	0	2	1	0	0	1	1	18	1	2	1	0	22	3	1	0	3	0	34	7	0	0	4	1	0	4	11					
10	Число действительных избирательных бюллетеней	20183	1008	1213	1171	1056	1018	988	1096	1056	1151	1008	667	443	220	126	187	367	253	135	308	152	156	637	61	303	172	155	281	213	304	79	636	216	552	324	445	558	188	196	196	91	797					
11	Число полученных открепительных  удостоверений	382	10	20	20	10	13	13	12	15	15	10	5	5	5	5	5	5	5	5	10	10	5	5	5	6	5	5	10	5	5	5	5	5	15	15	15	28	5	5	5	5	25					
12	Число выданных открепительных удостоверений	289	9	20	20	10	13	12	11	13	15	10	5	5	4	0	2	2	1	1	10	10	3	5	1	6	2	5	9	5	4	2	5	0	3	1	2	28	5	5	0	0	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	125	7	7	10	9	12	6	6	8	3	13	2	3	0	1	1	1	0	0	2	4	1	4	0	0	4	1	3	0	0	1	2	2	1	0	2	1	0	2	2	0	4					
14	Число неиспользованных открепительных удостоверений	93	1	0	0	0	0	1	1	2	0	0	0	0	1	5	3	3	4	4	0	0	2	0	4	0	3	0	1	0	1	3	0	5	12	14	13	0	0	0	5	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	2	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
