Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Карасукская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344					
1	"Число избирателей, внесенных в список"	35324	1095	2378	2074	2103	2486	1064	2542	2011	1488	2034	2498	740	408	382	728	718	541	280	152	627	647	191	211	91	505	117	83	100	981	98	556	329	179	73	811	208	176	178	138	894	286	61	572	97	77	382	180	292	239	223					
2	Число полученных избирательных бюллетеней	35000	1070	2350	2130	2070	2500	1000	2400	2000	1400	2000	2400	750	410	380	730	700	530	290	155	600	650	195	220	95	500	125	85	100	1050	105	550	330	175	75	790	210	180	180	135	900	290	65	600	100	80	380	190	300	240	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21546	564	1337	1021	966	1266	512	1129	1036	845	1183	1538	591	325	275	579	495	360	207	135	452	454	163	160	91	366	103	77	93	633	84	391	264	157	73	561	198	159	167	113	588	229	57	384	85	70	295	123	227	182	183					
5	"Число избирательных бюллетеней, выданных вне помещения"	1294	40	43	68	127	129	13	136	71	19	56	42	23	20	19	42	21	21	0	12	20	46	0	10	0	17	0	0	0	66	0	12	0	0	0	25	4	0	0	0	64	18	4	37	4	0	28	7	12	0	18					
6	Число погашенных избирательных бюллетеней	12160	466	970	1041	977	1105	475	1135	893	536	761	820	136	65	86	109	184	149	83	8	128	150	32	50	4	117	22	8	7	351	21	147	66	18	2	204	8	21	13	22	248	43	4	179	11	10	57	60	61	58	39					
7	Число избирательных бюллетеней в переносных ящиках	1294	40	43	68	127	129	13	136	71	19	56	42	23	20	19	42	21	21	0	12	20	46	0	10	0	17	0	0	0	66	0	12	0	0	0	25	4	0	0	0	64	18	4	37	4	0	28	7	12	0	18					
8	Число бюллетеней в стационарных ящиках для голосования	21546	564	1337	1021	966	1266	512	1129	1036	845	1183	1538	591	325	275	579	495	360	207	135	452	454	163	160	91	366	103	77	93	633	84	391	264	157	73	561	198	159	167	113	588	229	57	384	85	70	295	123	227	182	183					
9	Число недействительных избирательных бюллетеней	285	2	11	14	14	12	9	21	14	7	11	15	6	3	10	5	12	4	2	0	13	0	0	0	0	9	2	0	6	12	0	1	7	2	2	17	1	1	2	2	6	1	2	8	3	4	8	0	0	1	3					
10	Число действительных избирательных бюллетеней	22555	602	1369	1075	1079	1383	516	1244	1093	857	1228	1565	608	342	284	616	504	377	205	147	459	500	163	170	91	374	101	77	87	687	84	402	257	155	71	569	201	158	165	111	646	246	59	413	86	66	315	130	239	181	198					
11	Число полученных открепительных  удостоверений	430	15	20	30	20	20	15	20	20	20	20	20	10	4	4	8	8	4	4	4	8	8	4	4	4	8	4	4	4	8	4	8	8	4	4	8	4	4	4	4	8	4	4	8	4	4	8	4	4	4	4					
12	Число выданных открепительных удостоверений	139	5	12	11	5	10	1	7	1	14	12	6	1	1	0	8	1	0	1	0	3	8	2	4	0	2	0	0	0	4	0	3	0	0	0	1	0	0	0	0	6	0	0	4	0	0	3	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	3	3	4	2	3	2	2	5	3	7	1	1	0	2	3	1	1	0	1	4	0	0	2	1	0	0	1	0	4	0	0	2	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	291	10	8	19	15	10	14	13	19	6	8	14	9	3	4	0	7	4	3	4	5	0	2	0	4	6	4	4	4	4	4	5	8	4	4	7	4	4	4	4	2	4	4	4	4	4	5	2	4	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	495	14	55	16	25	38	12	31	41	35	46	29	5	0	7	9	13	1	6	1	6	8	1	3	0	2	0	0	5	13	1	6	0	0	0	4	6	1	7	2	10	2	0	8	2	1	10	5	6	1	1					
		2.17%	2.32%	3.99%	1.47%	2.29%	2.72%	2.29%	2.45%	3.70%	4.05%	3.71%	1.84%	0.81%	0.00%	2.38%	1.45%	2.52%	0.26%	2.90%	0.68%	1.27%	1.60%	0.61%	1.76%	0.00%	0.52%	0.00%	0.00%	5.38%	1.86%	1.19%	1.49%	0.00%	0.00%	0.00%	0.68%	2.97%	0.63%	4.19%	1.77%	1.53%	0.81%	0.00%	1.90%	2.25%	1.43%	3.10%	3.85%	2.51%	0.55%	0.50%					
19	. Малышкин Олег Александрович	434	10	24	20	17	27	10	44	24	19	23	26	9	7	6	7	8	9	8	0	7	18	3	1	3	4	0	0	1	12	0	12	6	0	8	5	10	3	1	3	16	3	0	3	2	1	4	2	1	7	0					
