Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Усольская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281					
1	"Число избирателей, внесенных в список"	36103	678	1242	1204	621	227	1750	409	1961	2177	2252	1385	71	1480	443	1470	2239	1490	2261	340	431	222	1525	1533	1177	198	903	191	562	124	894	470	1179	181	389	263	1018	174	807	95	67					
2	Число полученных избирательных бюллетеней	32030	590	1098	1083	545	199	1502	358	1763	1938	2025	1233	62	1325	396	1270	1989	1314	2015	305	389	204	1365	1381	1039	171	794	169	506	104	795	416	1034	160	342	235	901	156	715	85	59					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18101	263	563	602	312	83	1411	202	1099	1134	1246	758	46	711	230	793	1246	585	981	124	270	90	567	530	546	97	488	100	226	83	429	204	681	77	195	84	470	82	400	54	39					
5	"Число избирательных бюллетеней, выданных вне помещения"	1044	47	44	30	43	42	23	30	27	20	12	26	0	45	12	2	21	41	47	4	0	18	61	30	11	8	19	0	56	6	9	37	21	0	26	55	117	19	25	9	1					
6	Число погашенных избирательных бюллетеней	12885	280	491	451	190	74	68	126	637	784	767	449	16	569	154	475	722	688	987	177	119	96	737	821	482	66	287	69	224	15	357	175	332	83	121	96	314	55	290	22	19					
7	Число избирательных бюллетеней в переносных ящиках	1044	47	44	30	43	42	23	30	27	20	12	26	0	45	12	2	21	41	47	4	0	18	61	30	11	8	19	0	56	6	9	37	21	0	26	55	117	19	25	9	1					
8	Число бюллетеней в стационарных ящиках для голосования	18099	263	562	602	312	83	1411	202	1099	1134	1245	758	46	711	230	793	1246	585	981	124	270	90	567	530	546	97	488	100	226	83	429	204	681	77	195	84	470	82	400	54	39					
9	Число недействительных избирательных бюллетеней	217	0	8	8	5	2	8	2	8	15	14	8	0	10	2	13	14	8	12	0	4	0	8	11	18	0	1	1	4	1	8	2	7	1	1	1	6	0	5	1	0					
10	Число действительных избирательных бюллетеней	18926	310	598	624	350	123	1426	230	1118	1139	1243	776	46	746	240	782	1253	618	1016	128	266	108	620	549	539	105	506	99	278	88	430	239	695	76	220	138	581	101	420	62	40					
