Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Обливская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147					
1	"Число избирателей, внесенных в список"	15351	2712	1750	2376	1343	423	580	657	122	579	409	665	110	107	559	378	248	367	300	547	133	454	295	237					
2	Число полученных избирательных бюллетеней	15234	2710	1650	2346	1310	430	592	657	127	590	408	656	112	110	561	379	250	370	301	547	137	452	301	238					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12442	2281	1424	2090	1091	229	403	469	103	522	387	491	105	104	468	292	212	245	244	416	133	309	218	206					
5	"Число избирательных бюллетеней, выданных вне помещения"	1821	246	155	83	135	132	150	120	19	52	15	105	5	3	73	52	13	89	41	121	0	132	63	17					
6	Число погашенных избирательных бюллетеней	971	183	71	173	84	69	39	68	5	16	6	60	2	3	20	35	25	36	16	10	4	11	20	15					
7	Число избирательных бюллетеней в переносных ящиках	1821	246	155	83	135	132	150	120	19	52	15	105	5	3	73	52	13	89	41	121	0	132	63	17					
8	Число бюллетеней в стационарных ящиках для голосования	12433	2281	1424	2090	1083	229	403	469	103	522	387	490	105	104	468	292	212	245	244	416	133	309	218	206					
9	Число недействительных избирательных бюллетеней	61	22	11	13	0	1	3	0	0	0	0	0	0	0	0	0	2	2	1	1	0	4	0	1					
10	Число действительных избирательных бюллетеней	14193	2505	1568	2160	1218	360	550	589	122	574	402	595	110	107	541	344	223	332	284	536	133	437	281	222					
11	Число полученных открепительных  удостоверений	500	45	40	50	35	25	25	25	10	20	20	25	10	10	20	15	15	15	15	20	10	20	15	15					
12	Число выданных открепительных удостоверений	106	31	2	9	12	3	11	1	0	6	0	6	0	0	0	1	3	1	0	0	0	9	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	0	4	0	1	0	2	4	0	1	2	0	0	0	0	0	0	2	0	1	0	0	0	4					
14	Число неиспользованных открепительных удостоверений	394	14	38	41	23	22	14	24	10	14	20	19	10	10	20	14	12	14	15	20	10	11	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	203	28	25	62	13	1	13	19	2	2	2	3	0	0	9	4	2	4	1	2	0	2	9	0					
		1.42%	1.11%	1.58%	2.85%	1.07%	0.28%	2.35%	3.23%	1.64%	0.35%	0.50%	0.50%	0.00%	0.00%	1.66%	1.16%	0.89%	1.20%	0.35%	0.37%	0.00%	0.45%	3.20%	0.00%					
19	. Малышкин Олег Александрович	244	26	33	59	21	12	18	29	1	2	3	3	0	2	8	4	2	3	5	2	2	2	5	2					
		1.71%	1.03%	2.09%	2.72%	1.72%	3.32%	3.25%	4.92%	0.82%	0.35%	0.75%	0.50%	0.00%	1.87%	1.48%	1.16%	0.89%	0.90%	1.75%	0.37%	1.50%	0.45%	1.78%	0.90%					
20	. Миронов Сергей Михайлович	45	10	12	3	5	0	3	2	0	0	2	1	0	0	4	0	1	0	0	0	0	1	0	1					
		0.32%	0.40%	0.76%	0.14%	0.41%	0.00%	0.54%	0.34%	0.00%	0.00%	0.50%	0.17%	0.00%	0.00%	0.74%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.45%					
21	. Путин Владимир Владимирович	12841	2367	1441	1806	1128	324	454	475	115	557	385	568	103	94	494	322	209	252	250	526	126	413	230	202					
		90.09%	93.67%	91.26%	83.11%	92.61%	89.75%	82.10%	80.65%	94.26%	97.04%	95.77%	95.46%	93.64%	87.85%	91.31%	93.60%	92.89%	75.45%	87.72%	97.95%	94.74%	93.65%	81.85%	90.58%					
22	. Хакамада Ирина Муцуовна	89	6	11	20	10	4	15	5	0	2	1	2	2	0	2	3	2	1	1	1	0	0	1	0					
		0.62%	0.24%	0.70%	0.92%	0.82%	1.11%	2.71%	0.85%	0.00%	0.35%	0.25%	0.34%	1.82%	0.00%	0.37%	0.87%	0.89%	0.30%	0.35%	0.19%	0.00%	0.00%	0.36%	0.00%					
23	. Харитонов Николай Михайлович	684	49	33	208	33	18	41	54	3	10	5	17	5	10	20	6	5	67	25	5	4	18	31	17					
		4.80%	1.94%	2.09%	9.57%	2.71%	4.99%	7.41%	9.17%	2.46%	1.74%	1.24%	2.86%	4.55%	9.35%	3.70%	1.74%	2.22%	20.06%	8.77%	0.93%	3.01%	4.08%	11.03%	7.62%					
																														
24	Против всех	87	19	13	2	8	1	6	5	1	1	4	1	0	1	4	5	2	5	2	0	1	1	5	0					
		0.61%	0.75%	0.82%	0.09%	0.66%	0.28%	1.08%	0.85%	0.82%	0.17%	1.00%	0.17%	0.00%	0.93%	0.74%	1.45%	0.89%	1.50%	0.70%	0.00%	0.75%	0.23%	1.78%	0.00%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
