Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Ромодановская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536					
1	"Число избирателей, внесенных в список"	15478	1159	1026	1007	541	892	832	792	943	808	455	1667	176	324	103	269	223	175	150	290	473	360	342	436	328	550	113	703	341					
2	Число полученных избирательных бюллетеней	15735	1185	1015	1030	552	945	865	795	965	805	458	1725	178	325	103	270	223	175	150	300	483	355	342	442	330	560	115	700	344					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13630	959	913	933	527	834	766	602	790	715	448	1657	140	289	102	261	200	117	120	219	347	275	301	430	252	419	97	585	332					
5	"Число избирательных бюллетеней, выданных вне помещения"	1597	165	102	54	2	36	28	165	117	90	7	0	36	34	0	8	22	58	29	71	117	71	41	0	76	131	16	112	9					
6	Число погашенных избирательных бюллетеней	508	61	0	43	23	75	71	28	58	0	3	68	2	2	1	1	1	0	1	10	19	9	0	12	2	10	2	3	3					
7	Число избирательных бюллетеней в переносных ящиках	1597	165	102	54	2	36	28	165	117	90	7	0	36	34	0	8	22	58	29	71	117	71	41	0	76	131	16	112	9					
8	Число бюллетеней в стационарных ящиках для голосования	13630	959	913	933	527	834	766	602	790	715	448	1657	140	289	102	261	200	117	120	219	347	275	301	430	252	419	97	585	332					
9	Число недействительных избирательных бюллетеней	264	0	2	6	20	3	100	1	9	0	0	2	11	11	9	3	1	2	2	1	12	0	3	5	0	50	0	6	5					
10	Число действительных избирательных бюллетеней	14963	1124	1013	981	509	867	694	766	898	805	455	1655	165	312	93	266	221	173	147	289	452	346	339	425	328	500	113	691	336					
11	Число полученных открепительных  удостоверений	366	30	18	35	15	15	15	15	15	15	15	20	5	10	5	10	5	10	5	10	10	10	10	10	10	10	5	15	18					
12	Число выданных открепительных удостоверений	158	27	17	32	7	14	9	7	8	0	4	2	1	1	0	1	2	0	0	0	1	7	1	2	6	3	2	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	12	9	4	2	5	1	6	14	3	8	4	4	6	4	3	4	2	0	3	4	1	4	1	7	16	2	8	5					
14	Число неиспользованных открепительных удостоверений	208	3	1	3	8	1	6	8	7	15	11	18	4	9	5	9	3	10	5	10	9	3	9	8	4	7	3	13	16					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	70	0	13	6	1	7	18	3	0	3	1	2	0	0	1	0	1	0	0	0	0	2	2	4	0	1	0	5	0					
		0.46%	0.00%	1.28%	0.61%	0.19%	0.80%	2.27%	0.39%	0.00%	0.37%	0.22%	0.12%	0.00%	0.00%	0.98%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.58%	0.58%	0.93%	0.00%	0.18%	0.00%	0.72%	0.00%					
19	. Малышкин Олег Александрович	88	3	8	6	1	14	24	2	0	2	1	2	0	0	0	2	1	0	0	0	3	1	1	12	0	2	0	2	1					
		0.58%	0.27%	0.79%	0.61%	0.19%	1.61%	3.02%	0.26%	0.00%	0.25%	0.22%	0.12%	0.00%	0.00%	0.00%	0.74%	0.45%	0.00%	0.00%	0.00%	0.65%	0.29%	0.29%	2.79%	0.00%	0.36%	0.00%	0.29%	0.29%					
20	. Миронов Сергей Михайлович	31	1	2	2	0	4	4	0	0	1	0	4	0	0	0	0	0	0	0	0	2	1	0	6	0	1	0	3	0					
		0.20%	0.09%	0.20%	0.20%	0.00%	0.46%	0.50%	0.00%	0.00%	0.12%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.29%	0.00%	1.40%	0.00%	0.18%	0.00%	0.43%	0.00%					
21	. Путин Владимир Владимирович	14170	1066	964	910	499	753	604	708	864	772	446	1632	162	302	74	261	216	169	143	287	434	319	329	377	316	479	112	648	324					
		93.06%	94.84%	94.98%	92.20%	94.33%	86.55%	76.07%	92.31%	95.26%	95.90%	98.02%	98.49%	92.05%	93.50%	72.55%	97.03%	97.30%	96.57%	95.97%	98.97%	93.53%	92.20%	96.20%	87.67%	96.34%	87.09%	99.12%	92.97%	95.01%					
22	. Хакамада Ирина Муцуовна	50	2	2	3	2	16	7	2	0	1	0	1	0	1	3	0	0	1	1	0	1	1	1	0	0	2	0	1	2					
		0.33%	0.18%	0.20%	0.30%	0.38%	1.84%	0.88%	0.26%	0.00%	0.12%	0.00%	0.06%	0.00%	0.31%	2.94%	0.00%	0.00%	0.57%	0.67%	0.00%	0.22%	0.29%	0.29%	0.00%	0.00%	0.36%	0.00%	0.14%	0.59%					
23	. Харитонов Николай Михайлович	482	46	21	49	4	68	16	47	34	26	5	11	3	9	15	3	3	3	3	2	10	20	6	15	12	11	1	30	9					
		3.17%	4.09%	2.07%	4.96%	0.76%	7.82%	2.02%	6.13%	3.75%	3.23%	1.10%	0.66%	1.70%	2.79%	14.71%	1.12%	1.35%	1.71%	2.01%	0.69%	2.16%	5.78%	1.75%	3.49%	3.66%	2.00%	0.88%	4.30%	2.64%					
																																			
24	Против всех	72	6	3	5	2	5	21	4	0	0	2	3	0	0	0	0	0	0	0	0	2	2	0	11	0	4	0	2	0					
		0.47%	0.53%	0.30%	0.51%	0.38%	0.57%	2.64%	0.52%	0.00%	0.00%	0.44%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.58%	0.00%	2.56%	0.00%	0.73%	0.00%	0.29%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
