Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Бавлинская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035					
1	"Число избирателей, внесенных в список"	15481	713	741	867	787	811	652	854	960	897	617	1054	1020	983	1239	1071	1114	1051	50					
2	Число полученных избирательных бюллетеней	15769	840	730	850	880	770	630	840	1100	845	665	1160	1050	959	1180	1150	1070	1000	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13697	700	647	703	744	655	521	724	942	794	602	958	949	943	1104	1015	882	764	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	560	13	23	18	43	30	37	24	18	10	15	96	17	16	7	56	38	99	0					
6	Число погашенных избирательных бюллетеней	1512	127	60	129	93	85	72	92	140	41	48	106	84	0	69	79	150	137	0					
7	Число избирательных бюллетеней в переносных ящиках	560	13	23	18	43	30	37	24	18	10	15	96	17	16	7	56	38	99	0					
8	Число бюллетеней в стационарных ящиках для голосования	13687	700	647	703	744	655	511	724	942	794	602	958	949	943	1104	1015	882	764	50					
9	Число недействительных избирательных бюллетеней	160	15	14	16	10	5	7	17	0	0	10	7	13	0	9	15	15	7	0					
10	Число действительных избирательных бюллетеней	14087	698	656	705	777	680	541	731	960	804	607	1047	953	959	1102	1056	905	856	50					
11	Число полученных открепительных  удостоверений	598	30	30	30	30	30	30	38	40	30	30	40	40	40	40	40	40	40	0					
12	Число выданных открепительных удостоверений	266	13	13	19	13	19	7	17	25	11	7	23	15	17	31	9	14	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	156	3	8	2	2	12	5	6	9	14	11	8	6	3	7	7	5	5	43					
14	Число неиспользованных открепительных удостоверений	332	17	17	11	17	11	23	21	15	19	23	17	25	23	9	31	26	27	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	390	38	19	20	16	18	12	17	27	10	22	35	29	20	29	33	14	31	0					
		2.74%	5.33%	2.84%	2.77%	2.03%	2.63%	2.19%	2.27%	2.81%	1.24%	3.57%	3.32%	3.00%	2.09%	2.61%	3.08%	1.52%	3.59%	0.00%					
19	. Малышкин Олег Александрович	166	6	11	6	9	8	11	9	9	0	7	19	10	10	15	7	15	14	0					
		1.17%	0.84%	1.64%	0.83%	1.14%	1.17%	2.01%	1.20%	0.94%	0.00%	1.13%	1.80%	1.04%	1.04%	1.35%	0.65%	1.63%	1.62%	0.00%					
20	. Миронов Сергей Михайлович	727	48	39	33	33	59	26	46	57	47	36	34	51	36	63	63	29	27	0					
		5.10%	6.73%	5.82%	4.58%	4.19%	8.61%	4.74%	6.15%	5.94%	5.85%	5.83%	3.23%	5.28%	3.75%	5.67%	5.88%	3.15%	3.13%	0.00%					
21	. Путин Владимир Владимирович	10691	488	490	540	569	493	402	546	743	638	451	744	730	819	851	760	760	617	50					
		75.04%	68.44%	73.13%	74.90%	72.30%	71.97%	73.36%	72.99%	77.40%	79.35%	73.10%	70.59%	75.57%	85.40%	76.60%	70.96%	82.61%	71.49%	100.00%					
22	. Хакамада Ирина Муцуовна	343	18	14	17	28	13	19	22	24	22	15	31	20	17	18	28	12	25	0					
		2.41%	2.52%	2.09%	2.36%	3.56%	1.90%	3.47%	2.94%	2.50%	2.74%	2.43%	2.94%	2.07%	1.77%	1.62%	2.61%	1.30%	2.90%	0.00%					
23	. Харитонов Николай Михайлович	1565	86	75	83	111	73	63	81	91	77	64	164	94	44	98	158	69	134	0					
		10.98%	12.06%	11.19%	11.51%	14.10%	10.66%	11.50%	10.83%	9.48%	9.58%	10.37%	15.56%	9.73%	4.59%	8.82%	14.75%	7.50%	15.53%	0.00%					
																									
24	Против всех	205	14	8	6	11	16	8	10	9	10	12	20	19	13	28	7	6	8	0					
		1.44%	1.96%	1.19%	0.83%	1.40%	2.34%	1.46%	1.34%	0.94%	1.24%	1.94%	1.90%	1.97%	1.36%	2.52%	0.65%	0.65%	0.93%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
