Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Балтийская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №761					
1	"Число избирателей, внесенных в список"	30379	691	2429	1396	1029	1006	1980	1593	1575	1106	2341	2523	2257	2045	2690	1932	760	607	1851	529	39					
2	Число полученных избирательных бюллетеней	27553	640	1920	1300	910	900	1780	1430	1400	1020	2130	2360	2100	2160	2280	1660	700	650	1690	480	43					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17480	361	1348	832	592	555	1071	865	911	704	1345	1431	1443	1072	1705	1093	397	402	1070	244	39					
5	"Число избирательных бюллетеней, выданных вне помещения"	413	72	10	18	7	15	22	8	11	7	25	28	19	31	16	15	14	49	0	46	0					
6	Число погашенных избирательных бюллетеней	9660	207	562	450	311	330	687	557	478	309	760	901	638	1057	559	552	289	199	620	190	4					
7	Число избирательных бюллетеней в переносных ящиках	413	72	10	18	7	15	22	8	11	7	25	28	19	31	16	15	14	49	0	46	0					
8	Число бюллетеней в стационарных ящиках для голосования	17458	361	1336	830	592	555	1070	864	911	703	1342	1431	1442	1072	1705	1092	397	402	1070	244	39					
9	Число недействительных избирательных бюллетеней	137	2	10	4	9	3	6	5	3	4	5	11	19	9	8	9	3	11	11	5	0					
10	Число действительных избирательных бюллетеней	17734	431	1336	844	590	567	1086	867	919	706	1362	1448	1442	1094	1713	1098	408	440	1059	285	39					
11	Число полученных открепительных  удостоверений	316	10	25	10	9	15	20	20	17	4	20	15	20	18	34	40	8	5	16	10	0					
12	Число выданных открепительных удостоверений	213	7	20	4	8	5	12	14	16	2	13	10	13	5	30	39	4	3	4	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	5	34	3	5	9	17	6	3	3	16	4	4	22	26	23	2	8	24	1	0					
14	Число неиспользованных открепительных удостоверений	103	3	5	6	1	10	8	6	1	2	7	5	7	13	4	1	4	2	12	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	2	2	0	1	0	0	1	0	0	1	3	0	2	1	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	792	4	27	25	30	35	92	57	49	53	83	90	88	38	28	24	13	11	41	3	1					
		4.43%	0.92%	2.01%	2.95%	5.01%	6.14%	8.42%	6.54%	5.31%	7.46%	6.07%	6.17%	6.02%	3.45%	1.63%	2.17%	3.16%	2.44%	3.83%	1.03%	2.56%					
19	. Малышкин Олег Александрович	387	4	34	27	8	14	16	23	24	8	27	22	30	26	32	34	13	16	22	6	1					
		2.17%	0.92%	2.53%	3.18%	1.34%	2.46%	1.47%	2.64%	2.60%	1.13%	1.98%	1.51%	2.05%	2.36%	1.86%	3.07%	3.16%	3.55%	2.06%	2.07%	2.56%					
20	. Миронов Сергей Михайлович	175	7	9	11	7	8	12	4	14	7	12	22	13	5	10	10	8	2	12	2	0					
		0.98%	1.62%	0.67%	1.30%	1.17%	1.40%	1.10%	0.46%	1.52%	0.99%	0.88%	1.51%	0.89%	0.45%	0.58%	0.90%	1.95%	0.44%	1.12%	0.69%	0.00%					
21	. Путин Владимир Владимирович	13057	352	1042	626	414	390	687	587	651	455	897	958	1045	865	1460	863	328	356	810	240	31					
		73.06%	81.29%	77.41%	73.82%	69.12%	68.42%	62.91%	67.32%	70.61%	64.08%	65.62%	65.66%	71.53%	78.42%	84.83%	77.96%	79.81%	78.94%	75.70%	82.76%	79.49%					
22	. Хакамада Ирина Муцуовна	682	18	31	36	32	22	63	48	42	36	86	51	56	39	32	34	9	9	30	7	1					
		3.82%	4.16%	2.30%	4.25%	5.34%	3.86%	5.77%	5.50%	4.56%	5.07%	6.29%	3.50%	3.83%	3.54%	1.86%	3.07%	2.19%	2.00%	2.80%	2.41%	2.56%					
23	. Харитонов Николай Михайлович	1651	27	93	79	68	73	131	96	68	107	185	224	122	72	76	73	23	23	93	17	1					
		9.24%	6.24%	6.91%	9.32%	11.35%	12.81%	12.00%	11.01%	7.38%	15.07%	13.53%	15.35%	8.35%	6.53%	4.42%	6.59%	5.60%	5.10%	8.69%	5.86%	2.56%					
																											
24	Против всех	990	19	100	40	31	25	85	52	71	40	72	81	88	49	75	60	14	23	51	10	4					
		5.54%	4.39%	7.43%	4.72%	5.18%	4.39%	7.78%	5.96%	7.70%	5.63%	5.27%	5.55%	6.02%	4.44%	4.36%	5.42%	3.41%	5.10%	4.77%	3.45%	10.26%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
