Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Краснозерская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538					
1	"Число избирателей, внесенных в список"	29355	981	554	403	648	266	587	126	516	311	89	362	367	133	878	386	683	152	837	108	535	601	960	615	620	233	190	869	1132	162	584	190	142	283	108	595	788	88	1123	738	306	592	240	579	155	119	2800	2684	2728	209					
2	Число полученных избирательных бюллетеней	28700	990	564	403	647	268	594	127	518	312	82	363	366	134	875	385	693	152	848	109	539	612	965	628	633	229	192	877	1135	163	588	188	145	285	111	597	776	89	1100	739	314	599	241	588	164	123	2500	2400	2500	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20629	720	443	314	411	227	449	107	402	223	72	291	329	108	647	314	496	117	636	96	409	432	792	438	586	215	163	678	776	118	419	166	123	220	105	432	613	79	710	500	231	421	198	438	151	102	1561	1514	1435	202					
5	"Число избирательных бюллетеней, выданных вне помещения"	961	26	19	11	54	0	10	0	0	20	0	0	0	0	40	7	44	8	36	2	23	20	13	27	0	0	0	9	95	11	28	0	0	6	0	25	15	0	50	16	15	42	0	33	2	6	72	103	73	0					
6	Число погашенных избирательных бюллетеней	7110	244	102	78	182	41	135	20	116	69	10	72	37	26	188	64	153	27	176	11	107	160	160	163	47	14	29	190	264	34	141	22	22	59	6	140	148	10	340	223	68	136	43	117	11	15	867	783	992	48					
7	Число избирательных бюллетеней в переносных ящиках	961	26	19	11	54	0	10	0	0	20	0	0	0	0	40	7	44	8	36	2	23	20	13	27	0	0	0	9	95	11	28	0	0	6	0	25	15	0	50	16	15	42	0	33	2	6	72	103	73	0					
8	Число бюллетеней в стационарных ящиках для голосования	20629	720	443	314	411	227	449	107	402	223	72	291	329	108	647	314	496	117	636	96	409	432	792	438	586	215	163	678	776	118	419	166	123	220	105	432	613	79	710	500	231	421	198	438	151	102	1561	1514	1435	202					
9	Число недействительных избирательных бюллетеней	189	3	5	1	7	1	5	1	5	2	0	0	6	0	4	2	4	3	11	0	0	4	9	10	2	3	3	5	12	0	7	0	0	1	3	8	10	0	9	4	2	7	0	2	0	0	5	8	15	0					
10	Число действительных избирательных бюллетеней	21401	743	457	324	458	226	454	106	397	241	72	291	323	108	683	319	536	122	661	98	432	448	796	455	584	212	160	682	859	129	440	166	123	225	102	449	618	79	751	512	244	456	198	469	153	108	1628	1609	1493	202					
11	Число полученных открепительных  удостоверений	489	15	5	10	15	5	10	5	10	10	5	10	5	5	10	10	15	5	10	5	10	10	10	10	10	5	5	10	10	5	10	5	5	5	5	10	10	4	15	10	10	10	5	10	5	5	35	38	40	2					
12	Число выданных открепительных удостоверений	104	1	3	0	2	0	3	0	0	0	0	0	0	0	4	0	6	0	3	0	4	0	1	1	2	0	0	0	3	0	0	0	3	0	0	0	0	0	2	0	1	2	1	6	5	1	25	13	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	1	0	2	0	2	0	0	0	2	2	1	1	1	1	1	0	0	1	0	0	1	0	1	0	4	0	0	0	1	0	2	1	0	1	3	0	0	2	1	0	1	1	2	0	1	3	11	5	42					
14	Число неиспользованных открепительных удостоверений	385	14	2	10	13	5	7	5	10	10	5	10	5	5	6	10	9	5	7	5	6	10	9	9	8	5	5	10	7	5	10	5	2	5	5	10	10	4	13	10	9	8	4	4	0	4	10	25	28	2					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	338	12	4	3	5	2	3	9	10	2	2	4	6	0	6	4	4	2	7	0	1	3	9	0	9	4	1	8	12	4	4	2	1	4	0	3	5	0	6	8	5	5	1	6	0	0	56	41	40	15					
		1.57%	1.61%	0.87%	0.92%	1.08%	0.88%	0.65%	8.41%	2.49%	0.82%	2.78%	1.37%	1.82%	0.00%	0.87%	1.25%	0.74%	1.60%	1.04%	0.00%	0.23%	0.66%	1.12%	0.00%	1.54%	1.86%	0.61%	1.16%	1.38%	3.10%	0.89%	1.20%	0.81%	1.77%	0.00%	0.66%	0.80%	0.00%	0.79%	1.55%	2.03%	1.08%	0.51%	1.27%	0.00%	0.00%	3.43%	2.54%	2.65%	7.43%					
19	. Малышкин Олег Александрович	417	19	8	8	5	4	21	3	10	1	0	12	4	0	20	4	6	2	6	1	13	6	14	9	10	1	3	12	19	1	7	2	1	2	0	4	8	0	13	6	14	13	13	22	6	2	21	30	31	0					
		1.93%	2.55%	1.73%	2.46%	1.08%	1.76%	4.58%	2.80%	2.49%	0.41%	0.00%	4.12%	1.22%	0.00%	2.91%	1.25%	1.11%	1.60%	0.89%	1.02%	3.01%	1.33%	1.74%	1.94%	1.71%	0.47%	1.84%	1.75%	2.18%	0.78%	1.57%	1.20%	0.81%	0.88%	0.00%	0.88%	1.27%	0.00%	1.71%	1.16%	5.69%	2.81%	6.57%	4.67%	3.92%	1.85%	1.29%	1.86%	2.06%	0.00%					
20	. Миронов Сергей Михайлович	65	3	1	0	3	0	1	0	0	0	0	0	2	0	2	1	1	1	1	1	5	4	1	0	2	0	0	3	1	0	0	1	0	0	1	1	0	0	3	2	2	5	1	0	0	0	2	10	4	0					
		0.30%	0.40%	0.22%	0.00%	0.65%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.29%	0.31%	0.19%	0.80%	0.15%	1.02%	1.16%	0.88%	0.12%	0.00%	0.34%	0.00%	0.00%	0.44%	0.11%	0.00%	0.00%	0.60%	0.00%	0.00%	0.95%	0.22%	0.00%	0.00%	0.39%	0.39%	0.81%	1.08%	0.51%	0.00%	0.00%	0.00%	0.12%	0.62%	0.27%	0.00%					
21	. Путин Владимир Владимирович	13483	485	335	185	283	157	318	61	284	158	47	215	222	55	376	224	281	74	377	89	244	163	514	281	338	149	105	436	604	80	294	136	101	180	75	241	318	45	415	284	153	244	133	346	132	98	1075	995	970	108					
		62.45%	65.01%	72.51%	56.92%	60.86%	69.16%	69.28%	57.01%	70.65%	65.02%	65.28%	73.88%	67.48%	50.93%	54.73%	69.78%	52.04%	59.20%	56.10%	90.82%	56.48%	36.06%	63.85%	60.43%	57.68%	69.30%	64.42%	63.46%	69.35%	62.02%	65.77%	81.93%	82.11%	79.65%	71.43%	52.74%	50.64%	56.96%	54.61%	55.04%	62.20%	52.70%	67.17%	73.46%	86.27%	90.74%	65.83%	61.53%	64.32%	53.47%					
22	. Хакамада Ирина Муцуовна	379	8	8	10	4	0	10	0	4	9	1	11	2	4	12	0	17	1	11	0	14	11	7	5	14	5	3	16	5	2	4	1	2	1	2	10	23	4	9	7	3	3	3	8	1	1	30	37	31	5					
		1.76%	1.07%	1.73%	3.08%	0.86%	0.00%	2.18%	0.00%	1.00%	3.70%	1.39%	3.78%	0.61%	3.70%	1.75%	0.00%	3.15%	0.80%	1.64%	0.00%	3.24%	2.43%	0.87%	1.08%	2.39%	2.33%	1.84%	2.33%	0.57%	1.55%	0.89%	0.60%	1.63%	0.44%	1.90%	2.19%	3.66%	5.06%	1.18%	1.36%	1.22%	0.65%	1.52%	1.70%	0.65%	0.93%	1.84%	2.29%	2.06%	2.48%					
23	. Харитонов Николай Михайлович	6502	207	97	113	157	63	98	32	87	71	22	46	87	44	257	83	221	40	258	7	151	256	246	157	206	52	47	202	208	39	126	24	17	37	24	187	263	30	295	202	63	181	38	84	14	6	424	471	394	68					
		30.12%	27.75%	21.00%	34.77%	33.76%	27.75%	21.35%	29.91%	21.64%	29.22%	30.56%	15.81%	26.44%	40.74%	37.41%	25.86%	40.93%	32.00%	38.39%	7.14%	34.95%	56.64%	30.56%	33.76%	35.15%	24.19%	28.83%	29.40%	23.88%	30.23%	28.19%	14.46%	13.82%	16.37%	22.86%	40.92%	41.88%	37.97%	38.82%	39.15%	25.61%	39.09%	19.19%	17.83%	9.15%	5.56%	25.96%	29.13%	26.13%	33.66%					
																																																								
24	Против всех	217	9	4	5	1	0	3	1	2	0	0	3	0	5	10	3	6	2	1	0	4	5	5	3	5	1	1	5	10	3	5	0	1	1	0	3	1	0	10	3	4	5	9	3	0	1	20	25	23	6					
		1.01%	1.21%	0.87%	1.54%	0.22%	0.00%	0.65%	0.93%	0.50%	0.00%	0.00%	1.03%	0.00%	4.63%	1.46%	0.93%	1.11%	1.60%	0.15%	0.00%	0.93%	1.11%	0.62%	0.65%	0.85%	0.47%	0.61%	0.73%	1.15%	2.33%	1.12%	0.00%	0.81%	0.44%	0.00%	0.66%	0.16%	0.00%	1.32%	0.58%	1.63%	1.08%	4.55%	0.64%	0.00%	0.93%	1.22%	1.55%	1.53%	2.97%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
