Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Килемарская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293					
1	"Число избирателей, внесенных в список"	9774	1473	1563	751	290	340	398	376	1405	273	269	512	199	336	134	426	185	191	235	216	202					
2	Число полученных избирательных бюллетеней	9710	1340	1400	780	290	350	400	350	1530	290	310	480	200	340	140	430	180	210	260	230	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5819	889	956	494	186	170	237	155	884	185	203	178	166	176	80	187	123	106	178	149	117					
5	"Число избирательных бюллетеней, выданных вне помещения"	1493	164	79	86	39	94	50	153	113	45	30	154	18	85	25	161	30	49	37	40	41					
6	Число погашенных избирательных бюллетеней	2398	287	365	200	65	86	113	42	533	60	77	148	16	79	35	82	27	55	45	41	42					
7	Число избирательных бюллетеней в переносных ящиках	1493	164	79	86	39	94	50	153	113	45	30	154	18	85	25	161	30	49	37	40	41					
8	Число бюллетеней в стационарных ящиках для голосования	5817	887	956	494	186	170	237	155	884	185	203	178	166	176	80	187	123	106	178	149	117					
9	Число недействительных избирательных бюллетеней	73	9	9	9	3	2	7	1	8	1	3	2	4	2	0	4	3	1	2	1	2					
10	Число действительных избирательных бюллетеней	7237	1042	1026	571	222	262	280	307	989	229	230	330	180	259	105	344	150	154	213	188	156					
11	Число полученных открепительных  удостоверений	355	30	30	15	15	15	15	15	35	15	15	15	15	15	15	35	15	10	15	10	10					
12	Число выданных открепительных удостоверений	129	22	16	0	1	0	4	4	20	2	3	5	9	10	5	15	6	0	2	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	24	14	2	1	0	3	0	6	6	2	4	1	4	1	7	4	3	2	3	2					
14	Число неиспользованных открепительных удостоверений	226	8	14	15	14	15	11	11	15	13	12	10	6	5	10	20	9	10	13	5	10					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	3	0	0	0	1	0	5	0	0	0	0	0	0	4	0	6	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	174	25	19	14	6	7	21	4	20	8	5	8	2	5	3	13	2	0	4	7	1					
		2.38%	2.38%	1.84%	2.41%	2.67%	2.65%	7.32%	1.30%	2.01%	3.48%	2.15%	2.41%	1.09%	1.92%	2.86%	3.74%	1.31%	0.00%	1.86%	3.70%	0.63%					
19	. Малышкин Олег Александрович	120	19	16	8	2	9	5	7	8	0	6	7	3	3	1	18	2	1	4	0	1					
		1.64%	1.81%	1.55%	1.38%	0.89%	3.41%	1.74%	2.27%	0.80%	0.00%	2.58%	2.11%	1.63%	1.15%	0.95%	5.17%	1.31%	0.65%	1.86%	0.00%	0.63%					
20	. Миронов Сергей Михайлович	56	5	6	7	4	3	4	1	6	2	1	3	2	2	0	3	1	0	2	4	0					
		0.77%	0.48%	0.58%	1.21%	1.78%	1.14%	1.39%	0.32%	0.60%	0.87%	0.43%	0.90%	1.09%	0.77%	0.00%	0.86%	0.65%	0.00%	0.93%	2.12%	0.00%					
21	. Путин Владимир Владимирович	5699	807	838	452	185	198	205	259	760	189	193	266	142	205	83	233	131	133	157	134	129					
		77.96%	76.78%	80.97%	77.93%	82.22%	75.00%	71.43%	84.09%	76.23%	82.17%	82.83%	80.12%	77.17%	78.54%	79.05%	66.95%	85.62%	85.81%	73.02%	70.90%	81.65%					
22	. Хакамада Ирина Муцуовна	112	28	10	9	8	5	5	1	14	2	2	2	4	2	1	8	2	1	4	1	3					
		1.53%	2.66%	0.97%	1.55%	3.56%	1.89%	1.74%	0.32%	1.40%	0.87%	0.86%	0.60%	2.17%	0.77%	0.95%	2.30%	1.31%	0.65%	1.86%	0.53%	1.90%					
23	. Харитонов Николай Михайлович	959	146	115	69	16	38	37	34	165	23	18	39	21	36	15	60	10	14	41	42	20					
		13.12%	13.89%	11.11%	11.90%	7.11%	14.39%	12.89%	11.04%	16.55%	10.00%	7.73%	11.75%	11.41%	13.79%	14.29%	17.24%	6.54%	9.03%	19.07%	22.22%	12.66%					
																											
24	Против всех	117	12	22	12	1	2	3	1	16	5	5	5	6	6	2	9	2	5	1	0	2					
		1.60%	1.14%	2.13%	2.07%	0.44%	0.76%	1.05%	0.32%	1.60%	2.17%	2.15%	1.51%	3.26%	2.30%	1.90%	2.59%	1.31%	3.23%	0.47%	0.00%	1.27%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
