Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Павловская №22																
																
Итоги голосования 																
																
		Сумма	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302					
1	"Число избирателей, внесенных в список"	11561	712	1529	1833	1603	1726	1431	376	1197	1154					
2	Число полученных избирательных бюллетеней	11010	650	1500	1800	1500	1635	1350	375	1100	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7410	483	1043	1213	1038	1084	942	185	704	718					
5	"Число избирательных бюллетеней, выданных вне помещения"	656	51	28	57	106	83	64	182	45	40					
6	Число погашенных избирательных бюллетеней	2944	116	429	530	356	468	344	8	351	342					
7	Число избирательных бюллетеней в переносных ящиках	656	51	28	57	106	83	64	182	45	40					
8	Число бюллетеней в стационарных ящиках для голосования	7367	483	1043	1176	1037	1082	942	185	704	715					
9	Число недействительных избирательных бюллетеней	42	3	5	6	4	8	4	3	1	8					
10	Число действительных избирательных бюллетеней	7981	531	1066	1227	1139	1157	1002	364	748	747					
11	Число полученных открепительных  удостоверений	991	91	100	200	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	247	10	56	35	24	31	50	9	11	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	22	31	26	30	43	29	16	14	4					
14	Число неиспользованных открепительных удостоверений	744	81	44	165	76	69	50	91	89	79					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	1	4	2	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	293	20	38	39	42	48	51	13	26	16					
		3.65%	3.75%	3.55%	3.16%	3.67%	4.12%	5.07%	3.54%	3.47%	2.12%					
19	. Малышкин Олег Александрович	80	15	13	8	11	5	17	0	8	3					
		1.00%	2.81%	1.21%	0.65%	0.96%	0.43%	1.69%	0.00%	1.07%	0.40%					
20	. Миронов Сергей Михайлович	106	4	14	23	14	11	16	2	16	6					
		1.32%	0.75%	1.31%	1.87%	1.22%	0.94%	1.59%	0.54%	2.14%	0.79%					
21	. Путин Владимир Владимирович	5952	393	802	912	849	855	727	272	552	590					
		74.19%	73.60%	74.88%	73.97%	74.28%	73.39%	72.27%	74.11%	73.70%	78.15%					
22	. Хакамада Ирина Муцуовна	440	40	69	87	57	67	52	3	42	23					
		5.48%	7.49%	6.44%	7.06%	4.99%	5.75%	5.17%	0.82%	5.61%	3.05%					
23	. Харитонов Николай Михайлович	863	42	96	116	134	127	112	71	78	87					
		10.76%	7.87%	8.96%	9.41%	11.72%	10.90%	11.13%	19.35%	10.41%	11.52%					
																
24	Против всех	247	17	34	42	32	44	27	3	26	22					
		3.08%	3.18%	3.17%	3.41%	2.80%	3.78%	2.68%	0.82%	3.47%	2.91%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
