Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Башмаковская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
1	"Число избирателей, внесенных в список"	19655	545	1766	1282	1016	2023	1476	195	727	471	105	78	353	124	480	187	1146	336	82	289	753	399	422	215	168	106	368	105	1096	97	401	64	242	977	141	467	421	532					
2	Число полученных избирательных бюллетеней	19978	547	1805	1299	1018	2036	1493	200	746	478	106	79	355	128	484	186	1162	351	82	300	767	410	437	220	171	109	381	107	1109	101	408	65	246	994	144	484	432	538					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11137	285	1021	609	488	1011	796	166	596	262	78	62	256	100	329	120	573	254	67	178	406	197	295	127	126	77	225	54	527	33	275	43	129	532	66	286	234	254					
5	"Число избирательных бюллетеней, выданных вне помещения"	2020	30	78	126	106	89	69	8	8	129	11	10	37	14	23	24	179	33	7	42	84	85	26	21	14	11	65	35	152	46	89	16	40	102	27	32	68	84					
6	Число погашенных избирательных бюллетеней	6821	232	706	564	424	936	628	26	142	87	17	7	62	14	132	42	410	64	8	80	277	128	116	72	31	21	91	18	430	22	44	6	77	360	51	166	130	200					
7	Число избирательных бюллетеней в переносных ящиках	2020	30	78	126	106	89	69	8	8	129	11	10	37	14	23	24	179	33	7	42	84	85	26	21	14	11	65	35	152	46	89	16	40	102	27	32	68	84					
8	Число бюллетеней в стационарных ящиках для голосования	11135	285	1021	609	488	1011	796	166	596	262	77	62	256	100	329	120	573	253	67	178	406	197	295	127	126	77	225	54	527	33	275	43	129	532	66	286	234	254					
9	Число недействительных избирательных бюллетеней	153	4	11	9	6	14	4	2	10	2	1	1	1	1	3	0	15	2	0	6	10	5	7	5	3	0	5	1	7	0	0	0	0	5	0	4	4	5					
10	Число действительных избирательных бюллетеней	13002	311	1088	726	588	1086	861	172	594	389	87	71	292	113	349	144	737	284	74	214	480	277	314	143	137	88	285	88	672	79	364	59	169	629	93	314	298	333					
