Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Южно-Сухокумская городская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №1897	УИК №1898	УИК №1899	УИК №1900					
1	"Число избирателей, внесенных в список избирателей"	6654	2346	2162	1826	320					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5700	1950	1880	1550	320					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5303	1827	1794	1436	246					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	397	123	86	114	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5303	1827	1794	1436	246					
9	Число недействительных избирательных бюллетеней	19	6	11	2	0					
10	Число действительных избирательных бюллетеней	5284	1821	1783	1434	246					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	30	8	8	8	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	30	8	8	8	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	42	13	15	11	3					
		0.79%	0.71%	0.84%	0.77%	1.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	15	4	4	5	2					
		0.28%	0.22%	0.22%	0.35%	0.81%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	7	2	5	3					
		0.32%	0.38%	0.11%	0.35%	1.22%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	422	204	96	90	32					
		7.96%	11.17%	5.35%	6.27%	13.01%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	8	12	2	0					
		0.41%	0.44%	0.67%	0.14%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4744	1581	1639	1318	206					
		89.46%	86.54%	91.36%	91.78%	83.74%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	4	15	3	0					
		0.41%	0.22%	0.84%	0.21%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
