Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Мирнинская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324					
1	"Число избирателей, внесенных в список"	55604	1172	1415	695	1622	2251	766	1440	1762	480	2129	2536	1976	2519	2511	2394	936	962	377	229	343	1187	154	2306	1166	623	1864	2371	2344	2561	2386	268	1651	2054	1913	1986	2255					
2	Число полученных избирательных бюллетеней	53785	1050	1250	650	1500	2000	680	1150	1500	480	2050	2150	1900	2400	2700	2250	850	950	380	215	360	1220	160	2300	1140	620	1800	2550	2550	2550	2550	260	1620	1950	1900	2000	2150					
3	"Число избирательных бюллетеней, выданных  досрочно"	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	31	50	0	83	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43707	874	826	412	1126	1674	587	991	1236	357	1273	1679	1345	1633	2257	1575	624	816	269	199	308	920	130	1929	840	418	1220	2292	2164	2503	2327	260	1379	1679	1753	1728	2104					
5	"Число избирательных бюллетеней, выданных вне помещения"	788	8	16	8	9	24	23	54	16	2	18	60	34	37	27	15	9	63	6	11	6	43	0	80	26	10	55	0	6	8	5	0	7	77	6	8	11					
6	Число погашенных избирательных бюллетеней	9089	168	408	230	365	302	70	105	248	121	759	411	521	730	416	660	180	71	105	5	46	257	30	291	274	161	475	258	297	39	218	0	234	194	141	264	35					
7	Число избирательных бюллетеней в переносных ящиках	989	8	16	8	9	24	23	54	16	2	18	60	34	37	27	15	46	63	6	11	6	43	0	80	26	41	105	0	89	8	5	0	7	77	6	8	11					
8	Число бюллетеней в стационарных ящиках для голосования	43685	866	826	412	1126	1674	587	991	1236	355	1273	1679	1342	1633	2252	1575	624	816	269	199	308	920	130	1925	840	418	1220	2292	2164	2503	2327	260	1379	1679	1753	1728	2104					
9	Число недействительных избирательных бюллетеней	263	9	12	2	7	9	12	7	6	2	9	6	7	9	13	10	3	7	5	4	6	5	1	7	10	3	13	9	12	9	6	0	5	6	9	11	12					
10	Число действительных избирательных бюллетеней	44411	865	830	418	1128	1689	598	1038	1246	355	1282	1733	1369	1661	2266	1580	667	872	270	206	308	958	129	1998	856	456	1312	2283	2241	2502	2326	260	1381	1750	1750	1725	2103					
11	Число полученных открепительных  удостоверений	1445	30	30	30	30	40	30	30	30	30	30	30	30	30	50	30	30	45	25	30	45	30	20	150	25	30	35	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	938	15	12	3	16	36	3	11	16	10	29	18	26	17	37	21	14	43	14	12	42	15	1	150	13	23	32	19	15	32	49	8	26	34	44	45	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	308	7	4	3	21	35	50	14	8	6	3	10	7	9	15	9	2	9	1	7	14	2	1	18	2	2	6	0	2	8	1	1	5	14	4	4	4					
14	Число неиспользованных открепительных удостоверений	507	15	18	27	14	4	27	19	14	20	1	12	4	13	13	9	16	2	11	18	3	15	19	0	12	7	3	31	35	18	1	42	24	16	6	5	13					
15	"Число открепительных удостоверений, выданных в ТИК"	37	0	2	2	2	2	1	1	2	1	6	0	2	4	2	5	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	1362	21	16	14	33	56	20	28	33	12	47	58	42	49	52	46	27	26	3	8	5	25	1	79	36	24	49	40	49	52	73	13	56	59	68	87	55					
		3.05%	2.40%	1.90%	3.33%	2.91%	3.30%	3.28%	2.68%	2.64%	3.36%	3.64%	3.34%	3.05%	2.93%	2.28%	2.89%	4.03%	2.96%	1.09%	3.81%	1.59%	2.60%	0.77%	3.94%	4.16%	5.23%	3.70%	1.75%	2.17%	2.07%	3.13%	5.00%	4.04%	3.36%	3.87%	5.01%	2.60%					
19	. Малышкин Олег Александрович	924	16	16	12	21	31	13	20	21	8	24	33	19	16	47	20	18	8	4	1	1	21	3	68	27	21	52	47	56	58	46	7	33	30	32	37	37					
		2.07%	1.83%	1.90%	2.86%	1.85%	1.83%	2.13%	1.91%	1.68%	2.24%	1.86%	1.90%	1.38%	0.96%	2.06%	1.26%	2.69%	0.91%	1.45%	0.48%	0.32%	2.18%	2.31%	3.39%	3.12%	4.58%	3.92%	2.05%	2.49%	2.31%	1.97%	2.69%	2.38%	1.71%	1.82%	2.13%	1.75%					
20	. Миронов Сергей Михайлович	289	2	1	2	7	13	2	6	8	4	4	8	10	12	21	12	6	3	7	3	2	7	2	15	8	8	16	9	23	15	7	1	3	13	9	8	12					
		0.65%	0.23%	0.12%	0.48%	0.62%	0.77%	0.33%	0.57%	0.64%	1.12%	0.31%	0.46%	0.73%	0.72%	0.92%	0.75%	0.90%	0.34%	2.55%	1.43%	0.64%	0.73%	1.54%	0.75%	0.92%	1.74%	1.21%	0.39%	1.02%	0.60%	0.30%	0.38%	0.22%	0.74%	0.51%	0.46%	0.57%					
21	. Путин Владимир Владимирович	34331	709	658	350	857	1321	484	793	1024	270	990	1359	1023	1236	1752	1193	510	643	219	158	205	790	109	1563	595	314	914	1893	1753	2057	1889	183	1036	1309	1293	1236	1643					
		76.85%	81.12%	78.15%	83.33%	75.51%	77.80%	79.34%	75.89%	81.79%	75.63%	76.68%	78.15%	74.35%	74.01%	76.88%	75.03%	76.12%	73.15%	79.64%	75.24%	65.29%	82.04%	83.85%	77.96%	68.71%	68.41%	68.98%	82.59%	77.81%	81.92%	81.00%	70.38%	74.75%	74.54%	73.51%	71.20%	77.68%					
22	. Хакамада Ирина Муцуовна	2458	50	56	16	98	103	16	75	57	28	85	105	105	135	155	118	33	67	6	14	21	36	4	69	55	25	68	63	94	82	99	9	71	117	102	119	102					
		5.50%	5.72%	6.65%	3.81%	8.63%	6.07%	2.62%	7.18%	4.55%	7.84%	6.58%	6.04%	7.63%	8.08%	6.80%	7.42%	4.93%	7.62%	2.18%	6.67%	6.69%	3.74%	3.08%	3.44%	6.35%	5.45%	5.13%	2.75%	4.17%	3.27%	4.25%	3.46%	5.12%	6.66%	5.80%	6.85%	4.82%					
23	. Харитонов Николай Михайлович	2922	40	51	14	66	100	40	80	59	20	67	84	103	134	130	126	38	106	17	21	69	50	8	153	87	29	145	138	144	120	123	32	88	112	107	104	117					
		6.54%	4.58%	6.06%	3.33%	5.81%	5.89%	6.56%	7.66%	4.71%	5.60%	5.19%	4.83%	7.49%	8.02%	5.70%	7.92%	5.67%	12.06%	6.18%	10.00%	21.97%	5.19%	6.15%	7.63%	10.05%	6.32%	10.94%	6.02%	6.39%	4.78%	5.27%	12.31%	6.35%	6.38%	6.08%	5.99%	5.53%					
																																											
24	Против всех	2125	27	32	10	46	65	23	36	44	13	65	86	67	79	109	65	35	19	14	1	5	29	2	51	48	35	68	93	122	118	89	15	94	110	139	134	137					
		4.76%	3.09%	3.80%	2.38%	4.05%	3.83%	3.77%	3.44%	3.51%	3.64%	5.03%	4.95%	4.87%	4.73%	4.78%	4.09%	5.22%	2.16%	5.09%	0.48%	1.59%	3.01%	1.54%	2.54%	5.54%	7.63%	5.13%	4.06%	5.42%	4.70%	3.82%	5.77%	6.78%	6.26%	7.90%	7.72%	6.48%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
