Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Медведевская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377					
1	"Число избирателей, внесенных в список"	39439	2286	2228	1634	2108	1732	1658	453	1582	1683	1537	672	208	194	95	148	1118	335	2052	1584	631	860	804	219	113	345	339	571	210	995	1448	1299	963	2035	909	591	1351	295	647	367	1140					
2	Число полученных избирательных бюллетеней	37500	2100	2000	1550	2000	1600	1580	430	1500	1600	1500	650	201	193	103	157	950	330	1900	1500	650	850	830	210	116	330	340	550	200	750	1350	1250	1050	2000	900	600	1250	300	630	350	1150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23888	1393	1253	1026	1326	1071	1141	231	1047	1147	1028	441	155	130	71	110	804	207	997	941	453	545	499	132	81	174	225	332	116	506	762	807	425	1259	602	315	727	136	310	131	832					
5	"Число избирательных бюллетеней, выданных вне помещения"	3745	61	134	53	37	22	29	78	111	67	128	84	18	38	9	16	60	56	228	157	48	104	107	37	13	92	41	75	59	242	238	110	251	71	29	110	300	86	173	136	37					
6	Число погашенных избирательных бюллетеней	9867	646	613	471	637	507	410	121	342	386	344	125	28	25	23	31	86	67	675	402	149	201	224	41	22	64	74	143	25	2	350	333	374	670	269	175	223	78	147	83	281					
7	Число избирательных бюллетеней в переносных ящиках	3744	61	134	53	37	22	29	78	111	67	128	84	18	38	9	16	60	56	228	157	48	104	107	36	13	92	41	75	59	242	238	110	251	71	29	110	300	86	173	136	37					
8	Число бюллетеней в стационарных ящиках для голосования	23888	1393	1253	1026	1326	1071	1141	231	1047	1147	1028	441	155	130	71	110	804	207	997	941	453	545	499	132	81	174	225	332	116	506	762	807	425	1259	602	315	727	136	310	131	832					
9	Число недействительных избирательных бюллетеней	297	4	8	11	8	4	11	3	7	15	7	10	5	1	0	2	12	4	4	11	5	8	8	2	1	4	6	5	0	9	15	12	8	12	9	7	14	7	6	9	23					
10	Число действительных избирательных бюллетеней	27335	1450	1379	1068	1355	1089	1159	306	1151	1199	1149	515	168	167	80	124	852	259	1221	1087	496	641	598	166	93	262	260	402	175	739	985	905	668	1318	622	418	1013	215	477	258	846					
11	Число полученных открепительных  удостоверений	533	20	24	10	29	19	29	5	11	22	27	10	7	2	1	5	21	5	13	15	16	20	14	5	3	10	15	10	7	25	13	15	19	12	10	10	10	8	11	5	20					
12	Число выданных открепительных удостоверений	503	20	24	10	26	18	26	3	11	21	27	7	7	1	0	4	21	5	11	15	16	20	14	5	3	10	15	8	3	25	13	15	16	12	10	8	10	8	11	4	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	348	9	56	17	20	8	13	5	9	11	12	10	2	4	5	2	17	2	14	9	4	8	8	3	6	5	3	4	2	4	11	10	4	7	4	4	12	6	4	4	10					
